bug.id,project_id,revision.id.buggy,revision.id.fixed,report.id,report.url,buggy_commit_url,fixed_commit_url,compare_url
1,Rocketmq_mqtt_cs,9939eabad05dced3fb202804de8c3942764986cd,22b850d003dc8691430786ca260403512260025c,17,https://github.com/apache/rocketmq-mqtt/issues/17,https://github.com/apache/rocketmq-mq/tree/9939eabad05dced3fb202804de8c3942764986cd,https://github.com/apache/rocketmq-mq/tree/22b850d003dc8691430786ca260403512260025c,https://github.com/apache/rocketmq-mq/compare/9939eabad05dced3fb202804de8c3942764986cd...22b850d003dc8691430786ca260403512260025c
2,Rocketmq_mqtt_cs,97c53a2f43af030f842ea1f09cba352fc92b90bf,f795be8a77c0178fcc5241e0b004a6f74285d361,31,https://github.com/apache/rocketmq-mqtt/issues/31,https://github.com/apache/rocketmq-mq/tree/97c53a2f43af030f842ea1f09cba352fc92b90bf,https://github.com/apache/rocketmq-mq/tree/f795be8a77c0178fcc5241e0b004a6f74285d361,https://github.com/apache/rocketmq-mq/compare/97c53a2f43af030f842ea1f09cba352fc92b90bf...f795be8a77c0178fcc5241e0b004a6f74285d361
3,Rocketmq_mqtt_cs,f795be8a77c0178fcc5241e0b004a6f74285d361,da74925fcc733d3f18cd7cdd41d390256bd462bd,19,https://github.com/apache/rocketmq-mqtt/issues/19,https://github.com/apache/rocketmq-mq/tree/f795be8a77c0178fcc5241e0b004a6f74285d361,https://github.com/apache/rocketmq-mq/tree/da74925fcc733d3f18cd7cdd41d390256bd462bd,https://github.com/apache/rocketmq-mq/compare/f795be8a77c0178fcc5241e0b004a6f74285d361...da74925fcc733d3f18cd7cdd41d390256bd462bd
4,Rocketmq_mqtt_cs,80ad771242a9f675d909b666b5cee7b32c03cdaa,295553678c1cd649675652989f9af8261b02c47b,33,https://github.com/apache/rocketmq-mqtt/issues/33,https://github.com/apache/rocketmq-mq/tree/80ad771242a9f675d909b666b5cee7b32c03cdaa,https://github.com/apache/rocketmq-mq/tree/295553678c1cd649675652989f9af8261b02c47b,https://github.com/apache/rocketmq-mq/compare/80ad771242a9f675d909b666b5cee7b32c03cdaa...295553678c1cd649675652989f9af8261b02c47b
5,Rocketmq_mqtt_cs,0adfa4a69cefc22e5c932ce01fc82957a9d7a749,ab353d08a959796090c8b0d33339fb5c42713b75,38,https://github.com/apache/rocketmq-mqtt/issues/38,https://github.com/apache/rocketmq-mq/tree/0adfa4a69cefc22e5c932ce01fc82957a9d7a749,https://github.com/apache/rocketmq-mq/tree/ab353d08a959796090c8b0d33339fb5c42713b75,https://github.com/apache/rocketmq-mq/compare/0adfa4a69cefc22e5c932ce01fc82957a9d7a749...ab353d08a959796090c8b0d33339fb5c42713b75
6,Rocketmq_mqtt_cs,9d8cabc757cd1459c6290009335f84f8fa00a548,0177b547fdc54588e0893791f417747fa1e5743a,53,https://github.com/apache/rocketmq-mqtt/issues/53,https://github.com/apache/rocketmq-mq/tree/9d8cabc757cd1459c6290009335f84f8fa00a548,https://github.com/apache/rocketmq-mq/tree/0177b547fdc54588e0893791f417747fa1e5743a,https://github.com/apache/rocketmq-mq/compare/9d8cabc757cd1459c6290009335f84f8fa00a548...0177b547fdc54588e0893791f417747fa1e5743a
7,Rocketmq_mqtt_cs,18709f8b4cbf7a81cfc64d4539671280a6f2cb31,f5a8efa3b802ec8f47e54b73570d5ee4baf4eda2,22,https://github.com/apache/rocketmq-mqtt/issues/22,https://github.com/apache/rocketmq-mq/tree/18709f8b4cbf7a81cfc64d4539671280a6f2cb31,https://github.com/apache/rocketmq-mq/tree/f5a8efa3b802ec8f47e54b73570d5ee4baf4eda2,https://github.com/apache/rocketmq-mq/compare/18709f8b4cbf7a81cfc64d4539671280a6f2cb31...f5a8efa3b802ec8f47e54b73570d5ee4baf4eda2
8,Rocketmq_mqtt_cs,f5a8efa3b802ec8f47e54b73570d5ee4baf4eda2,1393642c2397a72077892771883be9d5750611e5,22,https://github.com/apache/rocketmq-mqtt/issues/22,https://github.com/apache/rocketmq-mq/tree/f5a8efa3b802ec8f47e54b73570d5ee4baf4eda2,https://github.com/apache/rocketmq-mq/tree/1393642c2397a72077892771883be9d5750611e5,https://github.com/apache/rocketmq-mq/compare/f5a8efa3b802ec8f47e54b73570d5ee4baf4eda2...1393642c2397a72077892771883be9d5750611e5
9,Rocketmq_mqtt_cs,1393642c2397a72077892771883be9d5750611e5,eba371f83fc3a863b21166bbe88419d7a33bf771,22,https://github.com/apache/rocketmq-mqtt/issues/22,https://github.com/apache/rocketmq-mq/tree/1393642c2397a72077892771883be9d5750611e5,https://github.com/apache/rocketmq-mq/tree/eba371f83fc3a863b21166bbe88419d7a33bf771,https://github.com/apache/rocketmq-mq/compare/1393642c2397a72077892771883be9d5750611e5...eba371f83fc3a863b21166bbe88419d7a33bf771
10,Rocketmq_mqtt_cs,eba371f83fc3a863b21166bbe88419d7a33bf771,9259af6069760d8bcb7a337c4eb67f956877948d,71,https://github.com/apache/rocketmq-mqtt/issues/71,https://github.com/apache/rocketmq-mq/tree/eba371f83fc3a863b21166bbe88419d7a33bf771,https://github.com/apache/rocketmq-mq/tree/9259af6069760d8bcb7a337c4eb67f956877948d,https://github.com/apache/rocketmq-mq/compare/eba371f83fc3a863b21166bbe88419d7a33bf771...9259af6069760d8bcb7a337c4eb67f956877948d
