bug.id,project_id,revision.id.buggy,revision.id.fixed,report.id,report.url,buggy_commit_url,fixed_commit_url,compare_url
1,Rollup,2993d9277683bf524a5c2b1078b479738f6dcdd3,315510f767c0cc26c79a825feca9c06f9d6d9239,12,https://github.com/rollup/rollup/issues/12,https://github.com/rollup/rollup/tree/2993d9277683bf524a5c2b1078b479738f6dcdd3,https://github.com/rollup/rollup/tree/315510f767c0cc26c79a825feca9c06f9d6d9239,https://github.com/rollup/rollup/compare/2993d9277683bf524a5c2b1078b479738f6dcdd3...315510f767c0cc26c79a825feca9c06f9d6d9239
2,Rollup,aa807c7869e0c01e5d23b073dcb77b7244ce6fcb,73a07c5c088156616d6567c64b826ce325d12681,5,https://github.com/rollup/rollup/issues/5,https://github.com/rollup/rollup/tree/aa807c7869e0c01e5d23b073dcb77b7244ce6fcb,https://github.com/rollup/rollup/tree/73a07c5c088156616d6567c64b826ce325d12681,https://github.com/rollup/rollup/compare/aa807c7869e0c01e5d23b073dcb77b7244ce6fcb...73a07c5c088156616d6567c64b826ce325d12681
3,Rollup,f60120bbc632a8aa0a7b50484313ffd546ae02d4,c0a764029f133c9485eee697a62142d6ac340c4a,15,https://github.com/rollup/rollup/issues/15,https://github.com/rollup/rollup/tree/f60120bbc632a8aa0a7b50484313ffd546ae02d4,https://github.com/rollup/rollup/tree/c0a764029f133c9485eee697a62142d6ac340c4a,https://github.com/rollup/rollup/compare/f60120bbc632a8aa0a7b50484313ffd546ae02d4...c0a764029f133c9485eee697a62142d6ac340c4a
4,Rollup,13e91ab4f3c8b030a576dcbde4031fce26dfeb43,f0e78f6d1c0e1bed22308f9170be56b431e50128,20,https://github.com/rollup/rollup/issues/20,https://github.com/rollup/rollup/tree/13e91ab4f3c8b030a576dcbde4031fce26dfeb43,https://github.com/rollup/rollup/tree/f0e78f6d1c0e1bed22308f9170be56b431e50128,https://github.com/rollup/rollup/compare/13e91ab4f3c8b030a576dcbde4031fce26dfeb43...f0e78f6d1c0e1bed22308f9170be56b431e50128
5,Rollup,53655fadb08b81a6c88514249db78c22f296bad0,861325df8e030172e25fb8dc0f02783d93a1144b,23,https://github.com/rollup/rollup/issues/23,https://github.com/rollup/rollup/tree/53655fadb08b81a6c88514249db78c22f296bad0,https://github.com/rollup/rollup/tree/861325df8e030172e25fb8dc0f02783d93a1144b,https://github.com/rollup/rollup/compare/53655fadb08b81a6c88514249db78c22f296bad0...861325df8e030172e25fb8dc0f02783d93a1144b
6,Rollup,ae48cc1691433e588636543218c492cb6fc99265,207cb9dfbab29ae29a0bf9308d18f25af37df099,26,https://github.com/rollup/rollup/issues/26,https://github.com/rollup/rollup/tree/ae48cc1691433e588636543218c492cb6fc99265,https://github.com/rollup/rollup/tree/207cb9dfbab29ae29a0bf9308d18f25af37df099,https://github.com/rollup/rollup/compare/ae48cc1691433e588636543218c492cb6fc99265...207cb9dfbab29ae29a0bf9308d18f25af37df099
7,Rollup,e62ca94a6f8e1dcb61cefc8d0662266fc403303b,69509da0ad6d4e02fc291a3ee6c96bb56ec5748e,28,https://github.com/rollup/rollup/issues/28,https://github.com/rollup/rollup/tree/e62ca94a6f8e1dcb61cefc8d0662266fc403303b,https://github.com/rollup/rollup/tree/69509da0ad6d4e02fc291a3ee6c96bb56ec5748e,https://github.com/rollup/rollup/compare/e62ca94a6f8e1dcb61cefc8d0662266fc403303b...69509da0ad6d4e02fc291a3ee6c96bb56ec5748e
8,Rollup,5a8b2d5e2c36f09a16283b57699a59b731ab8cb6,f031ccc53a32cfac8649421f53f023749bbb498e,29,https://github.com/rollup/rollup/issues/29,https://github.com/rollup/rollup/tree/5a8b2d5e2c36f09a16283b57699a59b731ab8cb6,https://github.com/rollup/rollup/tree/f031ccc53a32cfac8649421f53f023749bbb498e,https://github.com/rollup/rollup/compare/5a8b2d5e2c36f09a16283b57699a59b731ab8cb6...f031ccc53a32cfac8649421f53f023749bbb498e
9,Rollup,0988db927d6ee65c147717df762f059dc5761b94,1111e144a87c3bbf30b9607d8c1f3cdde907b310,24,https://github.com/rollup/rollup/issues/24,https://github.com/rollup/rollup/tree/0988db927d6ee65c147717df762f059dc5761b94,https://github.com/rollup/rollup/tree/1111e144a87c3bbf30b9607d8c1f3cdde907b310,https://github.com/rollup/rollup/compare/0988db927d6ee65c147717df762f059dc5761b94...1111e144a87c3bbf30b9607d8c1f3cdde907b310
10,Rollup,65535409930c170e5862f6dfced1af540f4ecc96,5be634f20e39c110da6013b8a8d7ab00845c5e12,33,https://github.com/rollup/rollup/issues/33,https://github.com/rollup/rollup/tree/65535409930c170e5862f6dfced1af540f4ecc96,https://github.com/rollup/rollup/tree/5be634f20e39c110da6013b8a8d7ab00845c5e12,https://github.com/rollup/rollup/compare/65535409930c170e5862f6dfced1af540f4ecc96...5be634f20e39c110da6013b8a8d7ab00845c5e12
11,Rollup,5be634f20e39c110da6013b8a8d7ab00845c5e12,b0eca6740282b236af9fc599c29061fef7e511d5,32,https://github.com/rollup/rollup/issues/32,https://github.com/rollup/rollup/tree/5be634f20e39c110da6013b8a8d7ab00845c5e12,https://github.com/rollup/rollup/tree/b0eca6740282b236af9fc599c29061fef7e511d5,https://github.com/rollup/rollup/compare/5be634f20e39c110da6013b8a8d7ab00845c5e12...b0eca6740282b236af9fc599c29061fef7e511d5
12,Rollup,e1195bdd87220d9e44c1eec7d851b6c8e5b7d326,1f2d719b89c49186eb200f34be828aa733297a00,34,https://github.com/rollup/rollup/issues/34,https://github.com/rollup/rollup/tree/e1195bdd87220d9e44c1eec7d851b6c8e5b7d326,https://github.com/rollup/rollup/tree/1f2d719b89c49186eb200f34be828aa733297a00,https://github.com/rollup/rollup/compare/e1195bdd87220d9e44c1eec7d851b6c8e5b7d326...1f2d719b89c49186eb200f34be828aa733297a00
