bug.id,project_id,revision.id.buggy,revision.id.fixed,report.id,report.url,buggy_commit_url,fixed_commit_url,compare_url
1,RspecCore,72be374084e793f92f6f7f8956d0f4e22de3c496,c1d600cd4367fb24a333c3f27f3b27693745ad14,13,https://github.com/rspec/rspec-core/issues/13,https://github.com/rspec/rspec-core/tree/72be374084e793f92f6f7f8956d0f4e22de3c496,https://github.com/rspec/rspec-core/tree/c1d600cd4367fb24a333c3f27f3b27693745ad14,https://github.com/rspec/rspec-core/compare/72be374084e793f92f6f7f8956d0f4e22de3c496...c1d600cd4367fb24a333c3f27f3b27693745ad14
2,RspecCore,0aca341a315e82e5a5a670d14d550e351b793104,3b1a992bcd8de3fd51b793a30fa3537a2366f91d,17,https://github.com/rspec/rspec-core/issues/17,https://github.com/rspec/rspec-core/tree/0aca341a315e82e5a5a670d14d550e351b793104,https://github.com/rspec/rspec-core/tree/3b1a992bcd8de3fd51b793a30fa3537a2366f91d,https://github.com/rspec/rspec-core/compare/0aca341a315e82e5a5a670d14d550e351b793104...3b1a992bcd8de3fd51b793a30fa3537a2366f91d
3,RspecCore,21d6f6bc600886a89bfc7b58eeb569dbf5c990cf,5fa50304dea6d73cca91a0b3eed76aeaaeeb670d,7,https://github.com/rspec/rspec-core/issues/7,https://github.com/rspec/rspec-core/tree/21d6f6bc600886a89bfc7b58eeb569dbf5c990cf,https://github.com/rspec/rspec-core/tree/5fa50304dea6d73cca91a0b3eed76aeaaeeb670d,https://github.com/rspec/rspec-core/compare/21d6f6bc600886a89bfc7b58eeb569dbf5c990cf...5fa50304dea6d73cca91a0b3eed76aeaaeeb670d
4,RspecCore,9ffc8c7bff065fc313390dc6b65458ec170ea3e6,5443fa859bc1912f9c1fcb377d3da51354c2a11c,24,https://github.com/rspec/rspec-core/issues/24,https://github.com/rspec/rspec-core/tree/9ffc8c7bff065fc313390dc6b65458ec170ea3e6,https://github.com/rspec/rspec-core/tree/5443fa859bc1912f9c1fcb377d3da51354c2a11c,https://github.com/rspec/rspec-core/compare/9ffc8c7bff065fc313390dc6b65458ec170ea3e6...5443fa859bc1912f9c1fcb377d3da51354c2a11c
5,RspecCore,99727ba70461ee921fbdff5b84e514a6dca83635,036872758ab90b131ffd6cdf7310414c664ed7bf,5,https://github.com/rspec/rspec-core/issues/5,https://github.com/rspec/rspec-core/tree/99727ba70461ee921fbdff5b84e514a6dca83635,https://github.com/rspec/rspec-core/tree/036872758ab90b131ffd6cdf7310414c664ed7bf,https://github.com/rspec/rspec-core/compare/99727ba70461ee921fbdff5b84e514a6dca83635...036872758ab90b131ffd6cdf7310414c664ed7bf
6,RspecCore,98909a2c83299fd2e48c40cef1c508fe5620ff10,bcea9dc3c6468b8eb62c50ab9e9873c5acf73172,14,https://github.com/rspec/rspec-core/issues/14,https://github.com/rspec/rspec-core/tree/98909a2c83299fd2e48c40cef1c508fe5620ff10,https://github.com/rspec/rspec-core/tree/bcea9dc3c6468b8eb62c50ab9e9873c5acf73172,https://github.com/rspec/rspec-core/compare/98909a2c83299fd2e48c40cef1c508fe5620ff10...bcea9dc3c6468b8eb62c50ab9e9873c5acf73172
7,RspecCore,e6f2bb3894243c40df6b0f0c7309e9878b90a94c,c2df11a01d408a2f89305c88a17e8ccf94fc3cd8,22,https://github.com/rspec/rspec-core/issues/22,https://github.com/rspec/rspec-core/tree/e6f2bb3894243c40df6b0f0c7309e9878b90a94c,https://github.com/rspec/rspec-core/tree/c2df11a01d408a2f89305c88a17e8ccf94fc3cd8,https://github.com/rspec/rspec-core/compare/e6f2bb3894243c40df6b0f0c7309e9878b90a94c...c2df11a01d408a2f89305c88a17e8ccf94fc3cd8
8,RspecCore,d35c6b0c7dec204590c547b5ac3cc38b864c2e3e,768e4f9b78d19afe4a33d423d0d2937eecd72df1,28,https://github.com/rspec/rspec-core/issues/28,https://github.com/rspec/rspec-core/tree/d35c6b0c7dec204590c547b5ac3cc38b864c2e3e,https://github.com/rspec/rspec-core/tree/768e4f9b78d19afe4a33d423d0d2937eecd72df1,https://github.com/rspec/rspec-core/compare/d35c6b0c7dec204590c547b5ac3cc38b864c2e3e...768e4f9b78d19afe4a33d423d0d2937eecd72df1
9,RspecCore,c47a5b8d2bf29b9acd940ce0843ede4b05ae7a7f,c1542d010661c6ebf3926e29e0d4f106fe6762a7,33,https://github.com/rspec/rspec-core/issues/33,https://github.com/rspec/rspec-core/tree/c47a5b8d2bf29b9acd940ce0843ede4b05ae7a7f,https://github.com/rspec/rspec-core/tree/c1542d010661c6ebf3926e29e0d4f106fe6762a7,https://github.com/rspec/rspec-core/compare/c47a5b8d2bf29b9acd940ce0843ede4b05ae7a7f...c1542d010661c6ebf3926e29e0d4f106fe6762a7
10,RspecCore,4d4d0cf4e878d5260b5c8fee403fcdae831ba975,3642323cf6a2238f447e31bd53932a18a7afd35d,31,https://github.com/rspec/rspec-core/issues/31,https://github.com/rspec/rspec-core/tree/4d4d0cf4e878d5260b5c8fee403fcdae831ba975,https://github.com/rspec/rspec-core/tree/3642323cf6a2238f447e31bd53932a18a7afd35d,https://github.com/rspec/rspec-core/compare/4d4d0cf4e878d5260b5c8fee403fcdae831ba975...3642323cf6a2238f447e31bd53932a18a7afd35d
11,RspecCore,2a5e5104ccf12b6d9f466ab3c86bc60951c42721,8df905484472128457a3d42d206e79077b6dc031,27,https://github.com/rspec/rspec-core/issues/27,https://github.com/rspec/rspec-core/tree/2a5e5104ccf12b6d9f466ab3c86bc60951c42721,https://github.com/rspec/rspec-core/tree/8df905484472128457a3d42d206e79077b6dc031,https://github.com/rspec/rspec-core/compare/2a5e5104ccf12b6d9f466ab3c86bc60951c42721...8df905484472128457a3d42d206e79077b6dc031
12,RspecCore,cb09092303ae51a9845c66290d31f5fe4a21f0e4,bed699bf362c248d3231e21c37f086eef6e16512,38,https://github.com/rspec/rspec-core/issues/38,https://github.com/rspec/rspec-core/tree/cb09092303ae51a9845c66290d31f5fe4a21f0e4,https://github.com/rspec/rspec-core/tree/bed699bf362c248d3231e21c37f086eef6e16512,https://github.com/rspec/rspec-core/compare/cb09092303ae51a9845c66290d31f5fe4a21f0e4...bed699bf362c248d3231e21c37f086eef6e16512
13,RspecCore,bed699bf362c248d3231e21c37f086eef6e16512,0e850f757580d54df8f669f4790aa661a6f841fa,36,https://github.com/rspec/rspec-core/issues/36,https://github.com/rspec/rspec-core/tree/bed699bf362c248d3231e21c37f086eef6e16512,https://github.com/rspec/rspec-core/tree/0e850f757580d54df8f669f4790aa661a6f841fa,https://github.com/rspec/rspec-core/compare/bed699bf362c248d3231e21c37f086eef6e16512...0e850f757580d54df8f669f4790aa661a6f841fa
14,RspecCore,dddb3fdb63ab2a901b8b607b963147a5fdfac800,a9ff5a83a37b2c42dfa2ce54c162bf2318a4f73a,74,https://github.com/rspec/rspec-core/issues/74,https://github.com/rspec/rspec-core/tree/dddb3fdb63ab2a901b8b607b963147a5fdfac800,https://github.com/rspec/rspec-core/tree/a9ff5a83a37b2c42dfa2ce54c162bf2318a4f73a,https://github.com/rspec/rspec-core/compare/dddb3fdb63ab2a901b8b607b963147a5fdfac800...a9ff5a83a37b2c42dfa2ce54c162bf2318a4f73a
