bug.id,project_id,revision.id.buggy,revision.id.fixed,report.id,report.url,buggy_commit_url,fixed_commit_url,compare_url
1,RxJava,212cec5b96b7d2babc52650afac6b2aa8c1571aa,fcb76576f9d2ca4207f595b3cae187ebeace714f,544,https://github.com/ReactiveX/RxJava/issues/544,https://github.com/ReactiveX/RxJava/tree/212cec5b96b7d2babc52650afac6b2aa8c1571aa,https://github.com/ReactiveX/RxJava/tree/fcb76576f9d2ca4207f595b3cae187ebeace714f,https://github.com/ReactiveX/RxJava/compare/212cec5b96b7d2babc52650afac6b2aa8c1571aa...fcb76576f9d2ca4207f595b3cae187ebeace714f
2,RxJava,ccac9e7e1bc3c2cd780bbd0324e84f092ee28a4d,b07bae9669e5e6e20ded9dcec8a4a6328969d277,1044,https://github.com/ReactiveX/RxJava/issues/1044,https://github.com/ReactiveX/RxJava/tree/ccac9e7e1bc3c2cd780bbd0324e84f092ee28a4d,https://github.com/ReactiveX/RxJava/tree/b07bae9669e5e6e20ded9dcec8a4a6328969d277,https://github.com/ReactiveX/RxJava/compare/ccac9e7e1bc3c2cd780bbd0324e84f092ee28a4d...b07bae9669e5e6e20ded9dcec8a4a6328969d277
3,RxJava,50b618e426075ff3267788ccfd1c78c039234bab,8cf821abe664b2b0ef29c1a70c3355bec1a7b712,1173,https://github.com/ReactiveX/RxJava/issues/1173,https://github.com/ReactiveX/RxJava/tree/50b618e426075ff3267788ccfd1c78c039234bab,https://github.com/ReactiveX/RxJava/tree/8cf821abe664b2b0ef29c1a70c3355bec1a7b712,https://github.com/ReactiveX/RxJava/compare/50b618e426075ff3267788ccfd1c78c039234bab...8cf821abe664b2b0ef29c1a70c3355bec1a7b712
4,RxJava,50b618e426075ff3267788ccfd1c78c039234bab,c948a266fd7ec9fe154a2c1bd9d858d20a426f84,1187,https://github.com/ReactiveX/RxJava/issues/1187,https://github.com/ReactiveX/RxJava/tree/50b618e426075ff3267788ccfd1c78c039234bab,https://github.com/ReactiveX/RxJava/tree/c948a266fd7ec9fe154a2c1bd9d858d20a426f84,https://github.com/ReactiveX/RxJava/compare/50b618e426075ff3267788ccfd1c78c039234bab...c948a266fd7ec9fe154a2c1bd9d858d20a426f84
5,RxJava,9b9e5d00f7278cb18aea90dad17743b190647001,a26b21d0485c32b870846b018a60fc9cbc1c792e,1196,https://github.com/ReactiveX/RxJava/issues/1196,https://github.com/ReactiveX/RxJava/tree/9b9e5d00f7278cb18aea90dad17743b190647001,https://github.com/ReactiveX/RxJava/tree/a26b21d0485c32b870846b018a60fc9cbc1c792e,https://github.com/ReactiveX/RxJava/compare/9b9e5d00f7278cb18aea90dad17743b190647001...a26b21d0485c32b870846b018a60fc9cbc1c792e
6,RxJava,07d65839bf1a78850621aae5420648f402fd0905,5996b9dd628a3d3f1047209918b6f6bf9fb7ff54,1220,https://github.com/ReactiveX/RxJava/issues/1220,https://github.com/ReactiveX/RxJava/tree/07d65839bf1a78850621aae5420648f402fd0905,https://github.com/ReactiveX/RxJava/tree/5996b9dd628a3d3f1047209918b6f6bf9fb7ff54,https://github.com/ReactiveX/RxJava/compare/07d65839bf1a78850621aae5420648f402fd0905...5996b9dd628a3d3f1047209918b6f6bf9fb7ff54
7,RxJava,b76f507c3f4eeff97bf4e4dd8685ed745c1fde0d,a2701658d5f9a78eb53af594a1b509f49ca018ae,1322,https://github.com/ReactiveX/RxJava/issues/1322,https://github.com/ReactiveX/RxJava/tree/b76f507c3f4eeff97bf4e4dd8685ed745c1fde0d,https://github.com/ReactiveX/RxJava/tree/a2701658d5f9a78eb53af594a1b509f49ca018ae,https://github.com/ReactiveX/RxJava/compare/b76f507c3f4eeff97bf4e4dd8685ed745c1fde0d...a2701658d5f9a78eb53af594a1b509f49ca018ae
8,RxJava,cb75b975fcf49f3014ad71973dbe9dad8e465052,53b46595de4711b3fa6a2d8c5a8750efd341882d,1451,https://github.com/ReactiveX/RxJava/issues/1451,https://github.com/ReactiveX/RxJava/tree/cb75b975fcf49f3014ad71973dbe9dad8e465052,https://github.com/ReactiveX/RxJava/tree/53b46595de4711b3fa6a2d8c5a8750efd341882d,https://github.com/ReactiveX/RxJava/compare/cb75b975fcf49f3014ad71973dbe9dad8e465052...53b46595de4711b3fa6a2d8c5a8750efd341882d
9,RxJava,4f1b09c65068eedf73f404267f6acb439a5e359d,212af0a0f2fbcaaac792de4c4041eff35127437f,1522,https://github.com/ReactiveX/RxJava/issues/1522,https://github.com/ReactiveX/RxJava/tree/4f1b09c65068eedf73f404267f6acb439a5e359d,https://github.com/ReactiveX/RxJava/tree/212af0a0f2fbcaaac792de4c4041eff35127437f,https://github.com/ReactiveX/RxJava/compare/4f1b09c65068eedf73f404267f6acb439a5e359d...212af0a0f2fbcaaac792de4c4041eff35127437f
10,RxJava,6a402dabeebf44ae76c2f20294da058b7ab74560,d8edc166bb29906d9e0a40fdaa362224013a0ab8,1550,https://github.com/ReactiveX/RxJava/issues/1550,https://github.com/ReactiveX/RxJava/tree/6a402dabeebf44ae76c2f20294da058b7ab74560,https://github.com/ReactiveX/RxJava/tree/d8edc166bb29906d9e0a40fdaa362224013a0ab8,https://github.com/ReactiveX/RxJava/compare/6a402dabeebf44ae76c2f20294da058b7ab74560...d8edc166bb29906d9e0a40fdaa362224013a0ab8
