bug.id,project_id,revision.id.buggy,revision.id.fixed,report.id,report.url,buggy_commit_url,fixed_commit_url,compare_url
1,SFML,ba8a36990f367d6f0a364e4669ee3fbf92a3e15c,f6bbbb6e6df18afea2134e2150f2e1a253822e15,3,https://github.com/SFML/SFML/issues/3,https://github.com/SFML/SFML/tree/ba8a36990f367d6f0a364e4669ee3fbf92a3e15c,https://github.com/SFML/SFML/tree/f6bbbb6e6df18afea2134e2150f2e1a253822e15,https://github.com/SFML/SFML/compare/ba8a36990f367d6f0a364e4669ee3fbf92a3e15c...f6bbbb6e6df18afea2134e2150f2e1a253822e15
2,SFML,e7958987e9b51801658d710c6ec402394cde8d3e,cb1f9385825c4645dae1c233684699c6fcb6c0a7,19,https://github.com/SFML/SFML/issues/19,https://github.com/SFML/SFML/tree/e7958987e9b51801658d710c6ec402394cde8d3e,https://github.com/SFML/SFML/tree/cb1f9385825c4645dae1c233684699c6fcb6c0a7,https://github.com/SFML/SFML/compare/e7958987e9b51801658d710c6ec402394cde8d3e...cb1f9385825c4645dae1c233684699c6fcb6c0a7
3,SFML,fd0d18f12e0793911ea560f7afc4c79f4421f70c,6e04a02b07ee74d53ecd3e3b29d3b04a52412ccf,27,https://github.com/SFML/SFML/issues/27,https://github.com/SFML/SFML/tree/fd0d18f12e0793911ea560f7afc4c79f4421f70c,https://github.com/SFML/SFML/tree/6e04a02b07ee74d53ecd3e3b29d3b04a52412ccf,https://github.com/SFML/SFML/compare/fd0d18f12e0793911ea560f7afc4c79f4421f70c...6e04a02b07ee74d53ecd3e3b29d3b04a52412ccf
4,SFML,816a36ea0d9700df8e50e6a318406a5c3ba50559,e3c8fd6586e68b8108c474308657ad01cd66ae72,16,https://github.com/SFML/SFML/issues/16,https://github.com/SFML/SFML/tree/816a36ea0d9700df8e50e6a318406a5c3ba50559,https://github.com/SFML/SFML/tree/e3c8fd6586e68b8108c474308657ad01cd66ae72,https://github.com/SFML/SFML/compare/816a36ea0d9700df8e50e6a318406a5c3ba50559...e3c8fd6586e68b8108c474308657ad01cd66ae72
5,SFML,67455e1a16f797a6e724c701cd9e6a2481384442,e952f945a05edad78f39a69d4da205b02de26f09,42,https://github.com/SFML/SFML/issues/42,https://github.com/SFML/SFML/tree/67455e1a16f797a6e724c701cd9e6a2481384442,https://github.com/SFML/SFML/tree/e952f945a05edad78f39a69d4da205b02de26f09,https://github.com/SFML/SFML/compare/67455e1a16f797a6e724c701cd9e6a2481384442...e952f945a05edad78f39a69d4da205b02de26f09
6,SFML,e952f945a05edad78f39a69d4da205b02de26f09,7498b5bc275774752747a737ba0880d6381232e2,43,https://github.com/SFML/SFML/issues/43,https://github.com/SFML/SFML/tree/e952f945a05edad78f39a69d4da205b02de26f09,https://github.com/SFML/SFML/tree/7498b5bc275774752747a737ba0880d6381232e2,https://github.com/SFML/SFML/compare/e952f945a05edad78f39a69d4da205b02de26f09...7498b5bc275774752747a737ba0880d6381232e2
7,SFML,6383f0c8000eb34ee59af74ce5bfd319722f3f56,c1ce16f4d6272936e51c554c17c532926ffef8da,46,https://github.com/SFML/SFML/issues/46,https://github.com/SFML/SFML/tree/6383f0c8000eb34ee59af74ce5bfd319722f3f56,https://github.com/SFML/SFML/tree/c1ce16f4d6272936e51c554c17c532926ffef8da,https://github.com/SFML/SFML/compare/6383f0c8000eb34ee59af74ce5bfd319722f3f56...c1ce16f4d6272936e51c554c17c532926ffef8da
8,SFML,e5d635350e0fad382117cc3fc3be82db7bf824a9,e09db44906022fdb208fe1fff915864ed476d55a,12,https://github.com/SFML/SFML/issues/12,https://github.com/SFML/SFML/tree/e5d635350e0fad382117cc3fc3be82db7bf824a9,https://github.com/SFML/SFML/tree/e09db44906022fdb208fe1fff915864ed476d55a,https://github.com/SFML/SFML/compare/e5d635350e0fad382117cc3fc3be82db7bf824a9...e09db44906022fdb208fe1fff915864ed476d55a
9,SFML,95a01263713bf9f29fc62744f6e7a8a793061f80,ecaafa9a18dda57dc99d88caad16ae14be40f043,86,https://github.com/SFML/SFML/issues/86,https://github.com/SFML/SFML/tree/95a01263713bf9f29fc62744f6e7a8a793061f80,https://github.com/SFML/SFML/tree/ecaafa9a18dda57dc99d88caad16ae14be40f043,https://github.com/SFML/SFML/compare/95a01263713bf9f29fc62744f6e7a8a793061f80...ecaafa9a18dda57dc99d88caad16ae14be40f043
10,SFML,537e8c9e8d87ddf939f5888ef438f34a65830b84,167618a89ed0639b8df61ca0c298280fb0388373,138,https://github.com/SFML/SFML/issues/138,https://github.com/SFML/SFML/tree/537e8c9e8d87ddf939f5888ef438f34a65830b84,https://github.com/SFML/SFML/tree/167618a89ed0639b8df61ca0c298280fb0388373,https://github.com/SFML/SFML/compare/537e8c9e8d87ddf939f5888ef438f34a65830b84...167618a89ed0639b8df61ca0c298280fb0388373
