bug.id,project_id,revision.id.buggy,revision.id.fixed,report.id,report.url,buggy_commit_url,fixed_commit_url,compare_url
1,Sass,bd815f56f88e614bca91e96275202190adcff672,9efb9678a9c4db9c2310e096958f25850eb36208,1,https://github.com/sass/sass/issues/1,https://github.com/sass/sass/tree/bd815f56f88e614bca91e96275202190adcff672,https://github.com/sass/sass/tree/9efb9678a9c4db9c2310e096958f25850eb36208,https://github.com/sass/sass/compare/bd815f56f88e614bca91e96275202190adcff672...9efb9678a9c4db9c2310e096958f25850eb36208
2,Sass,37c3e343182674df11e7b7539ad2cec4ee921b89,c9dfbd8273c09c6e6f329f88358af7010aa6ed60,15,https://github.com/sass/sass/issues/15,https://github.com/sass/sass/tree/37c3e343182674df11e7b7539ad2cec4ee921b89,https://github.com/sass/sass/tree/c9dfbd8273c09c6e6f329f88358af7010aa6ed60,https://github.com/sass/sass/compare/37c3e343182674df11e7b7539ad2cec4ee921b89...c9dfbd8273c09c6e6f329f88358af7010aa6ed60
3,Sass,c9dfbd8273c09c6e6f329f88358af7010aa6ed60,190e6bf94ac59e638f6b869c3e8bf2ad0cb2e07a,17,https://github.com/sass/sass/issues/17,https://github.com/sass/sass/tree/c9dfbd8273c09c6e6f329f88358af7010aa6ed60,https://github.com/sass/sass/tree/190e6bf94ac59e638f6b869c3e8bf2ad0cb2e07a,https://github.com/sass/sass/compare/c9dfbd8273c09c6e6f329f88358af7010aa6ed60...190e6bf94ac59e638f6b869c3e8bf2ad0cb2e07a
4,Sass,0570aa7799216acf194e8fb37df91cd5ddb60429,1e98df943431e911f6885d2da9d8fd4dc7f55299,16,https://github.com/sass/sass/issues/16,https://github.com/sass/sass/tree/0570aa7799216acf194e8fb37df91cd5ddb60429,https://github.com/sass/sass/tree/1e98df943431e911f6885d2da9d8fd4dc7f55299,https://github.com/sass/sass/compare/0570aa7799216acf194e8fb37df91cd5ddb60429...1e98df943431e911f6885d2da9d8fd4dc7f55299
5,Sass,7c04b5e250f30cde5bb346b24fbda276742d2b5a,ca90d4d46bc5700ad38a881e9a9477b9d796dedc,12,https://github.com/sass/sass/issues/12,https://github.com/sass/sass/tree/7c04b5e250f30cde5bb346b24fbda276742d2b5a,https://github.com/sass/sass/tree/ca90d4d46bc5700ad38a881e9a9477b9d796dedc,https://github.com/sass/sass/compare/7c04b5e250f30cde5bb346b24fbda276742d2b5a...ca90d4d46bc5700ad38a881e9a9477b9d796dedc
6,Sass,ca90d4d46bc5700ad38a881e9a9477b9d796dedc,ef197203e2ed9ebf1c282ab68b6f2f6d7cbaa398,13,https://github.com/sass/sass/issues/13,https://github.com/sass/sass/tree/ca90d4d46bc5700ad38a881e9a9477b9d796dedc,https://github.com/sass/sass/tree/ef197203e2ed9ebf1c282ab68b6f2f6d7cbaa398,https://github.com/sass/sass/compare/ca90d4d46bc5700ad38a881e9a9477b9d796dedc...ef197203e2ed9ebf1c282ab68b6f2f6d7cbaa398
7,Sass,97196bec95ea1fdaf28e154e9199741b523e3d56,d6cda129c0072f70c6993cdcc7379f23c6bdf900,11,https://github.com/sass/sass/issues/11,https://github.com/sass/sass/tree/97196bec95ea1fdaf28e154e9199741b523e3d56,https://github.com/sass/sass/tree/d6cda129c0072f70c6993cdcc7379f23c6bdf900,https://github.com/sass/sass/compare/97196bec95ea1fdaf28e154e9199741b523e3d56...d6cda129c0072f70c6993cdcc7379f23c6bdf900
8,Sass,0af70a2c9530b3317d8e28cefc76800552187766,de2c0b168dfa5e92a69c3c8cc7665796fcf85275,18,https://github.com/sass/sass/issues/18,https://github.com/sass/sass/tree/0af70a2c9530b3317d8e28cefc76800552187766,https://github.com/sass/sass/tree/de2c0b168dfa5e92a69c3c8cc7665796fcf85275,https://github.com/sass/sass/compare/0af70a2c9530b3317d8e28cefc76800552187766...de2c0b168dfa5e92a69c3c8cc7665796fcf85275
9,Sass,de2c0b168dfa5e92a69c3c8cc7665796fcf85275,7d342e9f5038defe00108bdde470a7a38dfa4751,20,https://github.com/sass/sass/issues/20,https://github.com/sass/sass/tree/de2c0b168dfa5e92a69c3c8cc7665796fcf85275,https://github.com/sass/sass/tree/7d342e9f5038defe00108bdde470a7a38dfa4751,https://github.com/sass/sass/compare/de2c0b168dfa5e92a69c3c8cc7665796fcf85275...7d342e9f5038defe00108bdde470a7a38dfa4751
10,Sass,9b11ac6908d6e3bc08485fe9fe8dcee87622bbfc,e7491da6be9bbb6babece007270ae7d465c9109c,33,https://github.com/sass/sass/issues/33,https://github.com/sass/sass/tree/9b11ac6908d6e3bc08485fe9fe8dcee87622bbfc,https://github.com/sass/sass/tree/e7491da6be9bbb6babece007270ae7d465c9109c,https://github.com/sass/sass/compare/9b11ac6908d6e3bc08485fe9fe8dcee87622bbfc...e7491da6be9bbb6babece007270ae7d465c9109c
11,Sass,e7491da6be9bbb6babece007270ae7d465c9109c,d09e9eeebc36e12b290b8d985580c9a1d1295002,34,https://github.com/sass/sass/issues/34,https://github.com/sass/sass/tree/e7491da6be9bbb6babece007270ae7d465c9109c,https://github.com/sass/sass/tree/d09e9eeebc36e12b290b8d985580c9a1d1295002,https://github.com/sass/sass/compare/e7491da6be9bbb6babece007270ae7d465c9109c...d09e9eeebc36e12b290b8d985580c9a1d1295002
12,Sass,d09e9eeebc36e12b290b8d985580c9a1d1295002,2c4e04ed51f20050af659980186a277ad3e25851,24,https://github.com/sass/sass/issues/24,https://github.com/sass/sass/tree/d09e9eeebc36e12b290b8d985580c9a1d1295002,https://github.com/sass/sass/tree/2c4e04ed51f20050af659980186a277ad3e25851,https://github.com/sass/sass/compare/d09e9eeebc36e12b290b8d985580c9a1d1295002...2c4e04ed51f20050af659980186a277ad3e25851
13,Sass,ac8007da1978facbd4524f351797f3d05b044287,c72733b46a7f858f2fbbb7ce7a18282a9cfff9b8,49,https://github.com/sass/sass/issues/49,https://github.com/sass/sass/tree/ac8007da1978facbd4524f351797f3d05b044287,https://github.com/sass/sass/tree/c72733b46a7f858f2fbbb7ce7a18282a9cfff9b8,https://github.com/sass/sass/compare/ac8007da1978facbd4524f351797f3d05b044287...c72733b46a7f858f2fbbb7ce7a18282a9cfff9b8
14,Sass,850ae800dddab59ff20c1f651e05ee98363d6262,31aa5833ec93e0d59fff0848f91bb01009b18b38,51,https://github.com/sass/sass/issues/51,https://github.com/sass/sass/tree/850ae800dddab59ff20c1f651e05ee98363d6262,https://github.com/sass/sass/tree/31aa5833ec93e0d59fff0848f91bb01009b18b38,https://github.com/sass/sass/compare/850ae800dddab59ff20c1f651e05ee98363d6262...31aa5833ec93e0d59fff0848f91bb01009b18b38
15,Sass,31aa5833ec93e0d59fff0848f91bb01009b18b38,2e8c2b7462af9262254bdaa6b9ba342dff217221,52,https://github.com/sass/sass/issues/52,https://github.com/sass/sass/tree/31aa5833ec93e0d59fff0848f91bb01009b18b38,https://github.com/sass/sass/tree/2e8c2b7462af9262254bdaa6b9ba342dff217221,https://github.com/sass/sass/compare/31aa5833ec93e0d59fff0848f91bb01009b18b38...2e8c2b7462af9262254bdaa6b9ba342dff217221
16,Sass,2e8c2b7462af9262254bdaa6b9ba342dff217221,bfdb6d8758996b4e6ecf8305f8fad8b8b66e57d5,54,https://github.com/sass/sass/issues/54,https://github.com/sass/sass/tree/2e8c2b7462af9262254bdaa6b9ba342dff217221,https://github.com/sass/sass/tree/bfdb6d8758996b4e6ecf8305f8fad8b8b66e57d5,https://github.com/sass/sass/compare/2e8c2b7462af9262254bdaa6b9ba342dff217221...bfdb6d8758996b4e6ecf8305f8fad8b8b66e57d5
17,Sass,bfdb6d8758996b4e6ecf8305f8fad8b8b66e57d5,7a46445dd12b28f84c3c955a9f3dfe8bdbe2033b,58,https://github.com/sass/sass/issues/58,https://github.com/sass/sass/tree/bfdb6d8758996b4e6ecf8305f8fad8b8b66e57d5,https://github.com/sass/sass/tree/7a46445dd12b28f84c3c955a9f3dfe8bdbe2033b,https://github.com/sass/sass/compare/bfdb6d8758996b4e6ecf8305f8fad8b8b66e57d5...7a46445dd12b28f84c3c955a9f3dfe8bdbe2033b
18,Sass,7a46445dd12b28f84c3c955a9f3dfe8bdbe2033b,3d46ea12dd47f5851d7e2c21e899365bd5bc5f39,59,https://github.com/sass/sass/issues/59,https://github.com/sass/sass/tree/7a46445dd12b28f84c3c955a9f3dfe8bdbe2033b,https://github.com/sass/sass/tree/3d46ea12dd47f5851d7e2c21e899365bd5bc5f39,https://github.com/sass/sass/compare/7a46445dd12b28f84c3c955a9f3dfe8bdbe2033b...3d46ea12dd47f5851d7e2c21e899365bd5bc5f39
19,Sass,3d46ea12dd47f5851d7e2c21e899365bd5bc5f39,5921ac35fdaacb24fce9d07f5fadf376497ad921,66,https://github.com/sass/sass/issues/66,https://github.com/sass/sass/tree/3d46ea12dd47f5851d7e2c21e899365bd5bc5f39,https://github.com/sass/sass/tree/5921ac35fdaacb24fce9d07f5fadf376497ad921,https://github.com/sass/sass/compare/3d46ea12dd47f5851d7e2c21e899365bd5bc5f39...5921ac35fdaacb24fce9d07f5fadf376497ad921
20,Sass,5921ac35fdaacb24fce9d07f5fadf376497ad921,b129059579d943b51afd4042c7e9df2aef649d9e,60,https://github.com/sass/sass/issues/60,https://github.com/sass/sass/tree/5921ac35fdaacb24fce9d07f5fadf376497ad921,https://github.com/sass/sass/tree/b129059579d943b51afd4042c7e9df2aef649d9e,https://github.com/sass/sass/compare/5921ac35fdaacb24fce9d07f5fadf376497ad921...b129059579d943b51afd4042c7e9df2aef649d9e
21,Sass,e7b32c17e770db2d02679c7e7bc033892f3a4ef2,e98307a48164c979f8ffabfe3871a9871e210a9b,67,https://github.com/sass/sass/issues/67,https://github.com/sass/sass/tree/e7b32c17e770db2d02679c7e7bc033892f3a4ef2,https://github.com/sass/sass/tree/e98307a48164c979f8ffabfe3871a9871e210a9b,https://github.com/sass/sass/compare/e7b32c17e770db2d02679c7e7bc033892f3a4ef2...e98307a48164c979f8ffabfe3871a9871e210a9b
22,Sass,e98307a48164c979f8ffabfe3871a9871e210a9b,0d48b428c36826cda4f1fef6e8a44099c4e4e3c8,69,https://github.com/sass/sass/issues/69,https://github.com/sass/sass/tree/e98307a48164c979f8ffabfe3871a9871e210a9b,https://github.com/sass/sass/tree/0d48b428c36826cda4f1fef6e8a44099c4e4e3c8,https://github.com/sass/sass/compare/e98307a48164c979f8ffabfe3871a9871e210a9b...0d48b428c36826cda4f1fef6e8a44099c4e4e3c8
