bug.id,project_id,revision.id.buggy,revision.id.fixed,report.id,report.url,buggy_commit_url,fixed_commit_url,compare_url
1,Semux_core,a64a2fe8930231b5f29584e147b77ee2197aa9fd,9eed1afcdf5f17a689bf40b46dffbe7c97f97031,1,https://github.com/semuxproject/semux-core/issues/1,https://github.com/semuxproject/semux-core/tree/a64a2fe8930231b5f29584e147b77ee2197aa9fd,https://github.com/semuxproject/semux-core/tree/9eed1afcdf5f17a689bf40b46dffbe7c97f97031,https://github.com/semuxproject/semux-core/compare/a64a2fe8930231b5f29584e147b77ee2197aa9fd...9eed1afcdf5f17a689bf40b46dffbe7c97f97031
2,Semux_core,8c5cfd4904fe30348287e78c1406b82e3c42d490,5500ed6ab370ab6a8ccea84556e3b60d07519ad8,9,https://github.com/semuxproject/semux-core/issues/9,https://github.com/semuxproject/semux-core/tree/8c5cfd4904fe30348287e78c1406b82e3c42d490,https://github.com/semuxproject/semux-core/tree/5500ed6ab370ab6a8ccea84556e3b60d07519ad8,https://github.com/semuxproject/semux-core/compare/8c5cfd4904fe30348287e78c1406b82e3c42d490...5500ed6ab370ab6a8ccea84556e3b60d07519ad8
3,Semux_core,ca7c66a5de03523cb34c3922dfb7d1fc9ff6d790,c974a97a257392c6e23ade7223f6caebb6e9b68d,11,https://github.com/semuxproject/semux-core/issues/11,https://github.com/semuxproject/semux-core/tree/ca7c66a5de03523cb34c3922dfb7d1fc9ff6d790,https://github.com/semuxproject/semux-core/tree/c974a97a257392c6e23ade7223f6caebb6e9b68d,https://github.com/semuxproject/semux-core/compare/ca7c66a5de03523cb34c3922dfb7d1fc9ff6d790...c974a97a257392c6e23ade7223f6caebb6e9b68d
4,Semux_core,84d8dd86aca5e50564affd9b7c49ec91a1246948,e9e77b11d68b1e6407bf3febf4430fb97721a035,10,https://github.com/semuxproject/semux-core/issues/10,https://github.com/semuxproject/semux-core/tree/84d8dd86aca5e50564affd9b7c49ec91a1246948,https://github.com/semuxproject/semux-core/tree/e9e77b11d68b1e6407bf3febf4430fb97721a035,https://github.com/semuxproject/semux-core/compare/84d8dd86aca5e50564affd9b7c49ec91a1246948...e9e77b11d68b1e6407bf3febf4430fb97721a035
5,Semux_core,adac00ca28f2953cfeb14eff75bedde5cd57a450,eb911bb666abaca5e11eab636c767a2e4e74c85d,11,https://github.com/semuxproject/semux-core/issues/11,https://github.com/semuxproject/semux-core/tree/adac00ca28f2953cfeb14eff75bedde5cd57a450,https://github.com/semuxproject/semux-core/tree/eb911bb666abaca5e11eab636c767a2e4e74c85d,https://github.com/semuxproject/semux-core/compare/adac00ca28f2953cfeb14eff75bedde5cd57a450...eb911bb666abaca5e11eab636c767a2e4e74c85d
6,Semux_core,145cc555391c7f3af4be0e067aca25f99d045007,63838cdeb6b82a278950ecfae9418b427749ae46,13,https://github.com/semuxproject/semux-core/issues/13,https://github.com/semuxproject/semux-core/tree/145cc555391c7f3af4be0e067aca25f99d045007,https://github.com/semuxproject/semux-core/tree/63838cdeb6b82a278950ecfae9418b427749ae46,https://github.com/semuxproject/semux-core/compare/145cc555391c7f3af4be0e067aca25f99d045007...63838cdeb6b82a278950ecfae9418b427749ae46
7,Semux_core,1aee586a360244e684ebe1cdc5664d834fd05e21,9ac17c6365a6d464af46cc50e087c009af29cb2c,18,https://github.com/semuxproject/semux-core/issues/18,https://github.com/semuxproject/semux-core/tree/1aee586a360244e684ebe1cdc5664d834fd05e21,https://github.com/semuxproject/semux-core/tree/9ac17c6365a6d464af46cc50e087c009af29cb2c,https://github.com/semuxproject/semux-core/compare/1aee586a360244e684ebe1cdc5664d834fd05e21...9ac17c6365a6d464af46cc50e087c009af29cb2c
8,Semux_core,43f8f0cc6a17294f95cd84b2c4df80ed1b0922c5,28883b40283cbb556d6c135f9740ec86a47aee3f,29,https://github.com/semuxproject/semux-core/issues/29,https://github.com/semuxproject/semux-core/tree/43f8f0cc6a17294f95cd84b2c4df80ed1b0922c5,https://github.com/semuxproject/semux-core/tree/28883b40283cbb556d6c135f9740ec86a47aee3f,https://github.com/semuxproject/semux-core/compare/43f8f0cc6a17294f95cd84b2c4df80ed1b0922c5...28883b40283cbb556d6c135f9740ec86a47aee3f
9,Semux_core,04975f39e83bfc0ee959af902822d89687e93683,c16b1534f8d83253539e126e7bfae8ef39a332a8,32,https://github.com/semuxproject/semux-core/issues/32,https://github.com/semuxproject/semux-core/tree/04975f39e83bfc0ee959af902822d89687e93683,https://github.com/semuxproject/semux-core/tree/c16b1534f8d83253539e126e7bfae8ef39a332a8,https://github.com/semuxproject/semux-core/compare/04975f39e83bfc0ee959af902822d89687e93683...c16b1534f8d83253539e126e7bfae8ef39a332a8
10,Semux_core,c16b1534f8d83253539e126e7bfae8ef39a332a8,ef4b6558f27f1b088b19f22b4354d309231e3705,30,https://github.com/semuxproject/semux-core/issues/30,https://github.com/semuxproject/semux-core/tree/c16b1534f8d83253539e126e7bfae8ef39a332a8,https://github.com/semuxproject/semux-core/tree/ef4b6558f27f1b088b19f22b4354d309231e3705,https://github.com/semuxproject/semux-core/compare/c16b1534f8d83253539e126e7bfae8ef39a332a8...ef4b6558f27f1b088b19f22b4354d309231e3705
