bug.id,project_id,revision.id.buggy,revision.id.fixed,report.id,report.url,buggy_commit_url,fixed_commit_url,compare_url
1,Serilog,6b3ea5e4de4f05bb7c60f12c395822f679aabc78,d79c5cd05219565f2f28bccdabb1092e7c656703,13,https://github.com/serilog/serilog/issues/13,https://github.com/serilog/serilo/tree/6b3ea5e4de4f05bb7c60f12c395822f679aabc78,https://github.com/serilog/serilo/tree/d79c5cd05219565f2f28bccdabb1092e7c656703,https://github.com/serilog/serilo/compare/6b3ea5e4de4f05bb7c60f12c395822f679aabc78...d79c5cd05219565f2f28bccdabb1092e7c656703
2,Serilog,05998cd06db0f2d70aef9579a5cc9906958f8227,4958bb4bb00b36ab0537f5e493cde979321683ed,15,https://github.com/serilog/serilog/issues/15,https://github.com/serilog/serilo/tree/05998cd06db0f2d70aef9579a5cc9906958f8227,https://github.com/serilog/serilo/tree/4958bb4bb00b36ab0537f5e493cde979321683ed,https://github.com/serilog/serilo/compare/05998cd06db0f2d70aef9579a5cc9906958f8227...4958bb4bb00b36ab0537f5e493cde979321683ed
3,Serilog,f311989fb6692113c5050d47addd3f0639d87a53,1daad274c21ceeaa5bf49eb92d885b75bfd2f27c,43,https://github.com/serilog/serilog/issues/43,https://github.com/serilog/serilo/tree/f311989fb6692113c5050d47addd3f0639d87a53,https://github.com/serilog/serilo/tree/1daad274c21ceeaa5bf49eb92d885b75bfd2f27c,https://github.com/serilog/serilo/compare/f311989fb6692113c5050d47addd3f0639d87a53...1daad274c21ceeaa5bf49eb92d885b75bfd2f27c
4,Serilog,9267e6ca6e4605a43a771a7b193509c84bf5c4a6,ffa9c9347d9b9ad2df1008d614b8dfc8098872a0,45,https://github.com/serilog/serilog/issues/45,https://github.com/serilog/serilo/tree/9267e6ca6e4605a43a771a7b193509c84bf5c4a6,https://github.com/serilog/serilo/tree/ffa9c9347d9b9ad2df1008d614b8dfc8098872a0,https://github.com/serilog/serilo/compare/9267e6ca6e4605a43a771a7b193509c84bf5c4a6...ffa9c9347d9b9ad2df1008d614b8dfc8098872a0
5,Serilog,34ae6366cd9fbef9970c08c4c03e26a8be936df3,357ba47233d6f117d1cdb7b137661b8a56e2b24d,52,https://github.com/serilog/serilog/issues/52,https://github.com/serilog/serilo/tree/34ae6366cd9fbef9970c08c4c03e26a8be936df3,https://github.com/serilog/serilo/tree/357ba47233d6f117d1cdb7b137661b8a56e2b24d,https://github.com/serilog/serilo/compare/34ae6366cd9fbef9970c08c4c03e26a8be936df3...357ba47233d6f117d1cdb7b137661b8a56e2b24d
6,Serilog,357ba47233d6f117d1cdb7b137661b8a56e2b24d,e27a4a31c820cf9ca0bc8679d92cc7a90f1c429e,53,https://github.com/serilog/serilog/issues/53,https://github.com/serilog/serilo/tree/357ba47233d6f117d1cdb7b137661b8a56e2b24d,https://github.com/serilog/serilo/tree/e27a4a31c820cf9ca0bc8679d92cc7a90f1c429e,https://github.com/serilog/serilo/compare/357ba47233d6f117d1cdb7b137661b8a56e2b24d...e27a4a31c820cf9ca0bc8679d92cc7a90f1c429e
7,Serilog,d39839e2c8ef2dbe62517918bf0066b5cb962279,176f6af8fc2f949c4fcf5fa9bada23a92e22c3fe,33,https://github.com/serilog/serilog/issues/33,https://github.com/serilog/serilo/tree/d39839e2c8ef2dbe62517918bf0066b5cb962279,https://github.com/serilog/serilo/tree/176f6af8fc2f949c4fcf5fa9bada23a92e22c3fe,https://github.com/serilog/serilo/compare/d39839e2c8ef2dbe62517918bf0066b5cb962279...176f6af8fc2f949c4fcf5fa9bada23a92e22c3fe
8,Serilog,414e0e235570671ff9e77832dff4f5ceb30364ed,22652cdc99b6b0f0b13b6713b1f67c107aca7e51,59,https://github.com/serilog/serilog/issues/59,https://github.com/serilog/serilo/tree/414e0e235570671ff9e77832dff4f5ceb30364ed,https://github.com/serilog/serilo/tree/22652cdc99b6b0f0b13b6713b1f67c107aca7e51,https://github.com/serilog/serilo/compare/414e0e235570671ff9e77832dff4f5ceb30364ed...22652cdc99b6b0f0b13b6713b1f67c107aca7e51
9,Serilog,b6a33d823fec9ef4f10e3f20aca2866cc0a9f32f,0ee30fdeffdd31880d8d69f26f68ff517ed85d8d,67,https://github.com/serilog/serilog/issues/67,https://github.com/serilog/serilo/tree/b6a33d823fec9ef4f10e3f20aca2866cc0a9f32f,https://github.com/serilog/serilo/tree/0ee30fdeffdd31880d8d69f26f68ff517ed85d8d,https://github.com/serilog/serilo/compare/b6a33d823fec9ef4f10e3f20aca2866cc0a9f32f...0ee30fdeffdd31880d8d69f26f68ff517ed85d8d
10,Serilog,455d6ac623b30313041b9691593c32a69afe73ed,4614d5b415937a26ce148ed050ba985773aa04ca,75,https://github.com/serilog/serilog/issues/75,https://github.com/serilog/serilo/tree/455d6ac623b30313041b9691593c32a69afe73ed,https://github.com/serilog/serilo/tree/4614d5b415937a26ce148ed050ba985773aa04ca,https://github.com/serilog/serilo/compare/455d6ac623b30313041b9691593c32a69afe73ed...4614d5b415937a26ce148ed050ba985773aa04ca
