bug.id,project_id,revision.id.buggy,revision.id.fixed,report.id,report.url,buggy_commit_url,fixed_commit_url,compare_url
1,Shiro_core,4c94e5393c72811ae29d21abf5d2745b3579a75e,ea4ab3ba4c520007a19417da0117ce2c87e5be3c,SHIRO-85,https://issues.apache.org/jira/browse/SHIRO-85,https://github.com/apache/shiro/tree/4c94e5393c72811ae29d21abf5d2745b3579a75e,https://github.com/apache/shiro/tree/ea4ab3ba4c520007a19417da0117ce2c87e5be3c,https://github.com/apache/shiro/compare/4c94e5393c72811ae29d21abf5d2745b3579a75e...ea4ab3ba4c520007a19417da0117ce2c87e5be3c
2,Shiro_core,240f16be909458ca3b3a5b0883eb4f9bf7d40893,bebfafc9e53620510784397c17f79b6b150cd123,SHIRO-87,https://issues.apache.org/jira/browse/SHIRO-87,https://github.com/apache/shiro/tree/240f16be909458ca3b3a5b0883eb4f9bf7d40893,https://github.com/apache/shiro/tree/bebfafc9e53620510784397c17f79b6b150cd123,https://github.com/apache/shiro/compare/240f16be909458ca3b3a5b0883eb4f9bf7d40893...bebfafc9e53620510784397c17f79b6b150cd123
3,Shiro_core,7a147803322f7e15bdc846884fcfe7a8f702607e,3d0b1b2c91ceb3a0c4c06072acf5de93f9f25f7d,SHIRO-10,https://issues.apache.org/jira/browse/SHIRO-10,https://github.com/apache/shiro/tree/7a147803322f7e15bdc846884fcfe7a8f702607e,https://github.com/apache/shiro/tree/3d0b1b2c91ceb3a0c4c06072acf5de93f9f25f7d,https://github.com/apache/shiro/compare/7a147803322f7e15bdc846884fcfe7a8f702607e...3d0b1b2c91ceb3a0c4c06072acf5de93f9f25f7d
4,Shiro_core,656e3b2ec11b6e5966604a983dfd67066d95c160,c6037cdc5e3cb2072adb0a29cbe6041041ca8532,SHIRO-115,https://issues.apache.org/jira/browse/SHIRO-115,https://github.com/apache/shiro/tree/656e3b2ec11b6e5966604a983dfd67066d95c160,https://github.com/apache/shiro/tree/c6037cdc5e3cb2072adb0a29cbe6041041ca8532,https://github.com/apache/shiro/compare/656e3b2ec11b6e5966604a983dfd67066d95c160...c6037cdc5e3cb2072adb0a29cbe6041041ca8532
5,Shiro_core,a814fb2ce26237a8958b520f0ed5f601bbf71bb8,11077e7cfe6c9aafe040a8541d03cd64e6051db8,SHIRO-120,https://issues.apache.org/jira/browse/SHIRO-120,https://github.com/apache/shiro/tree/a814fb2ce26237a8958b520f0ed5f601bbf71bb8,https://github.com/apache/shiro/tree/11077e7cfe6c9aafe040a8541d03cd64e6051db8,https://github.com/apache/shiro/compare/a814fb2ce26237a8958b520f0ed5f601bbf71bb8...11077e7cfe6c9aafe040a8541d03cd64e6051db8
6,Shiro_core,bd2244b2ea3c40f596e0f51d6a3e1c586e0bf2cf,1f233b81a03b8ab9c0a964be8a58db843d9f3c27,SHIRO-135,https://issues.apache.org/jira/browse/SHIRO-135,https://github.com/apache/shiro/tree/bd2244b2ea3c40f596e0f51d6a3e1c586e0bf2cf,https://github.com/apache/shiro/tree/1f233b81a03b8ab9c0a964be8a58db843d9f3c27,https://github.com/apache/shiro/compare/bd2244b2ea3c40f596e0f51d6a3e1c586e0bf2cf...1f233b81a03b8ab9c0a964be8a58db843d9f3c27
7,Shiro_core,cf986d47c5d7c5ff6c8c3b5126d6dcb0e9ed3014,dcd98954b60f57876ba564cb721be54010f27a9c,SHIRO-138,https://issues.apache.org/jira/browse/SHIRO-138,https://github.com/apache/shiro/tree/cf986d47c5d7c5ff6c8c3b5126d6dcb0e9ed3014,https://github.com/apache/shiro/tree/dcd98954b60f57876ba564cb721be54010f27a9c,https://github.com/apache/shiro/compare/cf986d47c5d7c5ff6c8c3b5126d6dcb0e9ed3014...dcd98954b60f57876ba564cb721be54010f27a9c
8,Shiro_core,0296b893ebf33a78b378e7c3912600786b598eaa,399e775821df636ecc7fd76c635a8934a6b875a3,SHIRO-124,https://issues.apache.org/jira/browse/SHIRO-124,https://github.com/apache/shiro/tree/0296b893ebf33a78b378e7c3912600786b598eaa,https://github.com/apache/shiro/tree/399e775821df636ecc7fd76c635a8934a6b875a3,https://github.com/apache/shiro/compare/0296b893ebf33a78b378e7c3912600786b598eaa...399e775821df636ecc7fd76c635a8934a6b875a3
9,Shiro_core,399e775821df636ecc7fd76c635a8934a6b875a3,cf5f50013311013909c92ddc8cabf45ea6729dc5,SHIRO-142,https://issues.apache.org/jira/browse/SHIRO-142,https://github.com/apache/shiro/tree/399e775821df636ecc7fd76c635a8934a6b875a3,https://github.com/apache/shiro/tree/cf5f50013311013909c92ddc8cabf45ea6729dc5,https://github.com/apache/shiro/compare/399e775821df636ecc7fd76c635a8934a6b875a3...cf5f50013311013909c92ddc8cabf45ea6729dc5
10,Shiro_core,d18f050c31f0e0a2fc1e3a19ee7c1637b297e2f5,96894a0c4701b9ab404a2b62730c1835a56ee68f,SHIRO-141,https://issues.apache.org/jira/browse/SHIRO-141,https://github.com/apache/shiro/tree/d18f050c31f0e0a2fc1e3a19ee7c1637b297e2f5,https://github.com/apache/shiro/tree/96894a0c4701b9ab404a2b62730c1835a56ee68f,https://github.com/apache/shiro/compare/d18f050c31f0e0a2fc1e3a19ee7c1637b297e2f5...96894a0c4701b9ab404a2b62730c1835a56ee68f
