bug.id,project_id,revision.id.buggy,revision.id.fixed,report.id,report.url,buggy_commit_url,fixed_commit_url,compare_url
1,Shiro_web,26525a83ec8f7a6485bb21bf0e611d9ed7c52826,61c15427f6b1204706b3d10131efda813043e3cf,SHIRO-106,https://issues.apache.org/jira/browse/SHIRO-106,https://github.com/apache/shiro/tree/26525a83ec8f7a6485bb21bf0e611d9ed7c52826,https://github.com/apache/shiro/tree/61c15427f6b1204706b3d10131efda813043e3cf,https://github.com/apache/shiro/compare/26525a83ec8f7a6485bb21bf0e611d9ed7c52826...61c15427f6b1204706b3d10131efda813043e3cf
2,Shiro_web,bb8e265e814c39510386623a42f6316d9248e786,c3b8d18f09900e5c928913b3abfc1b9c97070700,SHIRO-108,https://issues.apache.org/jira/browse/SHIRO-108,https://github.com/apache/shiro/tree/bb8e265e814c39510386623a42f6316d9248e786,https://github.com/apache/shiro/tree/c3b8d18f09900e5c928913b3abfc1b9c97070700,https://github.com/apache/shiro/compare/bb8e265e814c39510386623a42f6316d9248e786...c3b8d18f09900e5c928913b3abfc1b9c97070700
3,Shiro_web,c3b8d18f09900e5c928913b3abfc1b9c97070700,92aaa75fcfb6cd93348fbd0e3c72916bff7052b0,SHIRO-108,https://issues.apache.org/jira/browse/SHIRO-108,https://github.com/apache/shiro/tree/c3b8d18f09900e5c928913b3abfc1b9c97070700,https://github.com/apache/shiro/tree/92aaa75fcfb6cd93348fbd0e3c72916bff7052b0,https://github.com/apache/shiro/compare/c3b8d18f09900e5c928913b3abfc1b9c97070700...92aaa75fcfb6cd93348fbd0e3c72916bff7052b0
4,Shiro_web,1b06e0a78c529e049ed22c016533157ede1a617d,34fb74cbc8c55c094c2004e969b6ec404719b1ca,SHIRO-130,https://issues.apache.org/jira/browse/SHIRO-130,https://github.com/apache/shiro/tree/1b06e0a78c529e049ed22c016533157ede1a617d,https://github.com/apache/shiro/tree/34fb74cbc8c55c094c2004e969b6ec404719b1ca,https://github.com/apache/shiro/compare/1b06e0a78c529e049ed22c016533157ede1a617d...34fb74cbc8c55c094c2004e969b6ec404719b1ca
5,Shiro_web,399e775821df636ecc7fd76c635a8934a6b875a3,cf5f50013311013909c92ddc8cabf45ea6729dc5,SHIRO-142,https://issues.apache.org/jira/browse/SHIRO-142,https://github.com/apache/shiro/tree/399e775821df636ecc7fd76c635a8934a6b875a3,https://github.com/apache/shiro/tree/cf5f50013311013909c92ddc8cabf45ea6729dc5,https://github.com/apache/shiro/compare/399e775821df636ecc7fd76c635a8934a6b875a3...cf5f50013311013909c92ddc8cabf45ea6729dc5
6,Shiro_web,d2f053733eabf5c1587a9e5e9fb642d554fb5fed,350391aaa402b16530c4f043d0db2bb5484ca13e,SHIRO-141,https://issues.apache.org/jira/browse/SHIRO-141,https://github.com/apache/shiro/tree/d2f053733eabf5c1587a9e5e9fb642d554fb5fed,https://github.com/apache/shiro/tree/350391aaa402b16530c4f043d0db2bb5484ca13e,https://github.com/apache/shiro/compare/d2f053733eabf5c1587a9e5e9fb642d554fb5fed...350391aaa402b16530c4f043d0db2bb5484ca13e
7,Shiro_web,e6adcfb9efca5b431b5c298243300caa7d8f0045,2b2d6114e2ad5859bdda5a3734ddf2470021ff9a,SHIRO-159,https://issues.apache.org/jira/browse/SHIRO-159,https://github.com/apache/shiro/tree/e6adcfb9efca5b431b5c298243300caa7d8f0045,https://github.com/apache/shiro/tree/2b2d6114e2ad5859bdda5a3734ddf2470021ff9a,https://github.com/apache/shiro/compare/e6adcfb9efca5b431b5c298243300caa7d8f0045...2b2d6114e2ad5859bdda5a3734ddf2470021ff9a
8,Shiro_web,2b2d6114e2ad5859bdda5a3734ddf2470021ff9a,4e1f25a7068138f10aafc60b066b353335300869,SHIRO-159,https://issues.apache.org/jira/browse/SHIRO-159,https://github.com/apache/shiro/tree/2b2d6114e2ad5859bdda5a3734ddf2470021ff9a,https://github.com/apache/shiro/tree/4e1f25a7068138f10aafc60b066b353335300869,https://github.com/apache/shiro/compare/2b2d6114e2ad5859bdda5a3734ddf2470021ff9a...4e1f25a7068138f10aafc60b066b353335300869
9,Shiro_web,afd18476dacc67dd06f367a63a57141fbacd4113,b53571b128518ff235e22cdea1370382d63118fb,SHIRO-159,https://issues.apache.org/jira/browse/SHIRO-159,https://github.com/apache/shiro/tree/afd18476dacc67dd06f367a63a57141fbacd4113,https://github.com/apache/shiro/tree/b53571b128518ff235e22cdea1370382d63118fb,https://github.com/apache/shiro/compare/afd18476dacc67dd06f367a63a57141fbacd4113...b53571b128518ff235e22cdea1370382d63118fb
10,Shiro_web,9d9d5032e5d121be2ee009df5863a83905debc12,cae736a84db09f1343f8d06b20cc038878091552,SHIRO-164,https://issues.apache.org/jira/browse/SHIRO-164,https://github.com/apache/shiro/tree/9d9d5032e5d121be2ee009df5863a83905debc12,https://github.com/apache/shiro/tree/cae736a84db09f1343f8d06b20cc038878091552,https://github.com/apache/shiro/compare/9d9d5032e5d121be2ee009df5863a83905debc12...cae736a84db09f1343f8d06b20cc038878091552
11,Shiro_web,8d1242a57dd2f5a3e43b48fa5187b56f5591fcbd,cad2fcbf64f5f26fdf7bfc6be989f024c2251fd1,SHIRO-172,https://issues.apache.org/jira/browse/SHIRO-172,https://github.com/apache/shiro/tree/8d1242a57dd2f5a3e43b48fa5187b56f5591fcbd,https://github.com/apache/shiro/tree/cad2fcbf64f5f26fdf7bfc6be989f024c2251fd1,https://github.com/apache/shiro/compare/8d1242a57dd2f5a3e43b48fa5187b56f5591fcbd...cad2fcbf64f5f26fdf7bfc6be989f024c2251fd1
12,Shiro_web,92695a11a3a9a7eb6adc3422708560dfeebe56fe,27fb02c315106cc4d1c93433510676df036c5491,SHIRO-181,https://issues.apache.org/jira/browse/SHIRO-181,https://github.com/apache/shiro/tree/92695a11a3a9a7eb6adc3422708560dfeebe56fe,https://github.com/apache/shiro/tree/27fb02c315106cc4d1c93433510676df036c5491,https://github.com/apache/shiro/compare/92695a11a3a9a7eb6adc3422708560dfeebe56fe...27fb02c315106cc4d1c93433510676df036c5491
13,Shiro_web,27fb02c315106cc4d1c93433510676df036c5491,c9a3ff4f843ad87c9efa303ecf8823ccbd07698f,SHIRO-177,https://issues.apache.org/jira/browse/SHIRO-177,https://github.com/apache/shiro/tree/27fb02c315106cc4d1c93433510676df036c5491,https://github.com/apache/shiro/tree/c9a3ff4f843ad87c9efa303ecf8823ccbd07698f,https://github.com/apache/shiro/compare/27fb02c315106cc4d1c93433510676df036c5491...c9a3ff4f843ad87c9efa303ecf8823ccbd07698f
