bug.id,project_id,revision.id.buggy,revision.id.fixed,report.id,report.url,buggy_commit_url,fixed_commit_url,compare_url
1,Sidekiq,2d42f3df42d6b4e5a91d720ad793abf3e31590b6,62045af3d50087c288ed7a9feab9dc3e8fc0bdcc,4,https://github.com/sidekiq/sidekiq/issues/4,https://github.com/sidekiq/sidekiq/tree/2d42f3df42d6b4e5a91d720ad793abf3e31590b6,https://github.com/sidekiq/sidekiq/tree/62045af3d50087c288ed7a9feab9dc3e8fc0bdcc,https://github.com/sidekiq/sidekiq/compare/2d42f3df42d6b4e5a91d720ad793abf3e31590b6...62045af3d50087c288ed7a9feab9dc3e8fc0bdcc
2,Sidekiq,4c1a859d181fd543b3b288fba5a3de896a37612d,8c6537a675ada55d6ab07701e8eda156390d03ee,5,https://github.com/sidekiq/sidekiq/issues/5,https://github.com/sidekiq/sidekiq/tree/4c1a859d181fd543b3b288fba5a3de896a37612d,https://github.com/sidekiq/sidekiq/tree/8c6537a675ada55d6ab07701e8eda156390d03ee,https://github.com/sidekiq/sidekiq/compare/4c1a859d181fd543b3b288fba5a3de896a37612d...8c6537a675ada55d6ab07701e8eda156390d03ee
3,Sidekiq,8c6537a675ada55d6ab07701e8eda156390d03ee,aa9514cde03881331c01407e5896e6b5a8c5f682,7,https://github.com/sidekiq/sidekiq/issues/7,https://github.com/sidekiq/sidekiq/tree/8c6537a675ada55d6ab07701e8eda156390d03ee,https://github.com/sidekiq/sidekiq/tree/aa9514cde03881331c01407e5896e6b5a8c5f682,https://github.com/sidekiq/sidekiq/compare/8c6537a675ada55d6ab07701e8eda156390d03ee...aa9514cde03881331c01407e5896e6b5a8c5f682
4,Sidekiq,15b1a0cca95a7a27618dbb17da8d1369d5caa311,f400b4ba4f618cc25cdda0b35cb1f64c2847a1a6,13,https://github.com/sidekiq/sidekiq/issues/13,https://github.com/sidekiq/sidekiq/tree/15b1a0cca95a7a27618dbb17da8d1369d5caa311,https://github.com/sidekiq/sidekiq/tree/f400b4ba4f618cc25cdda0b35cb1f64c2847a1a6,https://github.com/sidekiq/sidekiq/compare/15b1a0cca95a7a27618dbb17da8d1369d5caa311...f400b4ba4f618cc25cdda0b35cb1f64c2847a1a6
5,Sidekiq,25928c657eccdd420af376c95551793baa40369a,0ced9e623e16955f07a1e841e9f2fb849f2c3512,77,https://github.com/sidekiq/sidekiq/issues/77,https://github.com/sidekiq/sidekiq/tree/25928c657eccdd420af376c95551793baa40369a,https://github.com/sidekiq/sidekiq/tree/0ced9e623e16955f07a1e841e9f2fb849f2c3512,https://github.com/sidekiq/sidekiq/compare/25928c657eccdd420af376c95551793baa40369a...0ced9e623e16955f07a1e841e9f2fb849f2c3512
6,Sidekiq,d2263cbfe17d5e1c33dc8639280edbdd523d6a9e,8ca2fb57d6b3b0a73c1ffe14fa897c9a8c3f6a1c,78,https://github.com/sidekiq/sidekiq/issues/78,https://github.com/sidekiq/sidekiq/tree/d2263cbfe17d5e1c33dc8639280edbdd523d6a9e,https://github.com/sidekiq/sidekiq/tree/8ca2fb57d6b3b0a73c1ffe14fa897c9a8c3f6a1c,https://github.com/sidekiq/sidekiq/compare/d2263cbfe17d5e1c33dc8639280edbdd523d6a9e...8ca2fb57d6b3b0a73c1ffe14fa897c9a8c3f6a1c
7,Sidekiq,74d0e5ec3598a29143f14f701470535ce2086661,63fcb7d3b27905d1e03ec0a5a7f80bae64696099,79,https://github.com/sidekiq/sidekiq/issues/79,https://github.com/sidekiq/sidekiq/tree/74d0e5ec3598a29143f14f701470535ce2086661,https://github.com/sidekiq/sidekiq/tree/63fcb7d3b27905d1e03ec0a5a7f80bae64696099,https://github.com/sidekiq/sidekiq/compare/74d0e5ec3598a29143f14f701470535ce2086661...63fcb7d3b27905d1e03ec0a5a7f80bae64696099
8,Sidekiq,727c5af21b60b3e69b84573ef998ebbd998bd11b,18a458bf1fa64d24baf226aa9647fd8100342ef5,81,https://github.com/sidekiq/sidekiq/issues/81,https://github.com/sidekiq/sidekiq/tree/727c5af21b60b3e69b84573ef998ebbd998bd11b,https://github.com/sidekiq/sidekiq/tree/18a458bf1fa64d24baf226aa9647fd8100342ef5,https://github.com/sidekiq/sidekiq/compare/727c5af21b60b3e69b84573ef998ebbd998bd11b...18a458bf1fa64d24baf226aa9647fd8100342ef5
9,Sidekiq,2e58b1d9d8f3f06ec8d2499238121fc2ec6b1ed6,efb22734615d7d3d1fd3fb4240f2b1e2ff42aec1,109,https://github.com/sidekiq/sidekiq/issues/109,https://github.com/sidekiq/sidekiq/tree/2e58b1d9d8f3f06ec8d2499238121fc2ec6b1ed6,https://github.com/sidekiq/sidekiq/tree/efb22734615d7d3d1fd3fb4240f2b1e2ff42aec1,https://github.com/sidekiq/sidekiq/compare/2e58b1d9d8f3f06ec8d2499238121fc2ec6b1ed6...efb22734615d7d3d1fd3fb4240f2b1e2ff42aec1
10,Sidekiq,efb22734615d7d3d1fd3fb4240f2b1e2ff42aec1,92c61e7601f4dc5d22f78985ca4eac48e39f6c58,106,https://github.com/sidekiq/sidekiq/issues/106,https://github.com/sidekiq/sidekiq/tree/efb22734615d7d3d1fd3fb4240f2b1e2ff42aec1,https://github.com/sidekiq/sidekiq/tree/92c61e7601f4dc5d22f78985ca4eac48e39f6c58,https://github.com/sidekiq/sidekiq/compare/efb22734615d7d3d1fd3fb4240f2b1e2ff42aec1...92c61e7601f4dc5d22f78985ca4eac48e39f6c58
