bug.id,project_id,revision.id.buggy,revision.id.fixed,report.id,report.url,buggy_commit_url,fixed_commit_url,compare_url
1,Slim,f6e0283be9cf96313655f5d01474250b7817ad18,457cf4a7721241d41c4bd44cf00bd22a04d3f633,209,https://github.com/slimphp/Slim/issues/209,https://github.com/slimphp/Slim/tree/f6e0283be9cf96313655f5d01474250b7817ad18,https://github.com/slimphp/Slim/tree/457cf4a7721241d41c4bd44cf00bd22a04d3f633,https://github.com/slimphp/Slim/compare/f6e0283be9cf96313655f5d01474250b7817ad18...457cf4a7721241d41c4bd44cf00bd22a04d3f633
2,Slim,457cf4a7721241d41c4bd44cf00bd22a04d3f633,de6eda6b3a0747ce2960f2e828affdca350bdca0,210,https://github.com/slimphp/Slim/issues/210,https://github.com/slimphp/Slim/tree/457cf4a7721241d41c4bd44cf00bd22a04d3f633,https://github.com/slimphp/Slim/tree/de6eda6b3a0747ce2960f2e828affdca350bdca0,https://github.com/slimphp/Slim/compare/457cf4a7721241d41c4bd44cf00bd22a04d3f633...de6eda6b3a0747ce2960f2e828affdca350bdca0
3,Slim,de6eda6b3a0747ce2960f2e828affdca350bdca0,faad796b0976f65f7163d7a53dfd6e9dc8e4ffdf,175,https://github.com/slimphp/Slim/issues/175,https://github.com/slimphp/Slim/tree/de6eda6b3a0747ce2960f2e828affdca350bdca0,https://github.com/slimphp/Slim/tree/faad796b0976f65f7163d7a53dfd6e9dc8e4ffdf,https://github.com/slimphp/Slim/compare/de6eda6b3a0747ce2960f2e828affdca350bdca0...faad796b0976f65f7163d7a53dfd6e9dc8e4ffdf
4,Slim,faad796b0976f65f7163d7a53dfd6e9dc8e4ffdf,7ff77b1f0ef4c76cf3b18d61d426ddec7d818fb5,219,https://github.com/slimphp/Slim/issues/219,https://github.com/slimphp/Slim/tree/faad796b0976f65f7163d7a53dfd6e9dc8e4ffdf,https://github.com/slimphp/Slim/tree/7ff77b1f0ef4c76cf3b18d61d426ddec7d818fb5,https://github.com/slimphp/Slim/compare/faad796b0976f65f7163d7a53dfd6e9dc8e4ffdf...7ff77b1f0ef4c76cf3b18d61d426ddec7d818fb5
5,Slim,0e0b794ec9c3897099fe2583c1c43dde3ac72a74,44efd6296be9df53101d8f70b14155a8c8b00057,222,https://github.com/slimphp/Slim/issues/222,https://github.com/slimphp/Slim/tree/0e0b794ec9c3897099fe2583c1c43dde3ac72a74,https://github.com/slimphp/Slim/tree/44efd6296be9df53101d8f70b14155a8c8b00057,https://github.com/slimphp/Slim/compare/0e0b794ec9c3897099fe2583c1c43dde3ac72a74...44efd6296be9df53101d8f70b14155a8c8b00057
6,Slim,9ede10cd1af4f86a8dca8ea0f8eb500afb65d517,0f61e8555fd0f1bf53d23dfacfcb89cdfea93a86,224,https://github.com/slimphp/Slim/issues/224,https://github.com/slimphp/Slim/tree/9ede10cd1af4f86a8dca8ea0f8eb500afb65d517,https://github.com/slimphp/Slim/tree/0f61e8555fd0f1bf53d23dfacfcb89cdfea93a86,https://github.com/slimphp/Slim/compare/9ede10cd1af4f86a8dca8ea0f8eb500afb65d517...0f61e8555fd0f1bf53d23dfacfcb89cdfea93a86
7,Slim,0f61e8555fd0f1bf53d23dfacfcb89cdfea93a86,98b3f01b1b641eabafcae25ef45ad5987bf1c76d,225,https://github.com/slimphp/Slim/issues/225,https://github.com/slimphp/Slim/tree/0f61e8555fd0f1bf53d23dfacfcb89cdfea93a86,https://github.com/slimphp/Slim/tree/98b3f01b1b641eabafcae25ef45ad5987bf1c76d,https://github.com/slimphp/Slim/compare/0f61e8555fd0f1bf53d23dfacfcb89cdfea93a86...98b3f01b1b641eabafcae25ef45ad5987bf1c76d
8,Slim,b23a2ff8ffd8f0ccc353621422a82628e651a6b0,dd55838d0890dcd36bb6c7b87901572d4f259492,281,https://github.com/slimphp/Slim/issues/281,https://github.com/slimphp/Slim/tree/b23a2ff8ffd8f0ccc353621422a82628e651a6b0,https://github.com/slimphp/Slim/tree/dd55838d0890dcd36bb6c7b87901572d4f259492,https://github.com/slimphp/Slim/compare/b23a2ff8ffd8f0ccc353621422a82628e651a6b0...dd55838d0890dcd36bb6c7b87901572d4f259492
9,Slim,822a25077d305da485782863c4e116e2676d70d7,c2e81f5e5e4aab1191a59591d1e94b33ad7076b6,212,https://github.com/slimphp/Slim/issues/212,https://github.com/slimphp/Slim/tree/822a25077d305da485782863c4e116e2676d70d7,https://github.com/slimphp/Slim/tree/c2e81f5e5e4aab1191a59591d1e94b33ad7076b6,https://github.com/slimphp/Slim/compare/822a25077d305da485782863c4e116e2676d70d7...c2e81f5e5e4aab1191a59591d1e94b33ad7076b6
10,Slim,c2e81f5e5e4aab1191a59591d1e94b33ad7076b6,dd4caa8646900de30a3a285c4f82e03d7e714cd4,271,https://github.com/slimphp/Slim/issues/271,https://github.com/slimphp/Slim/tree/c2e81f5e5e4aab1191a59591d1e94b33ad7076b6,https://github.com/slimphp/Slim/tree/dd4caa8646900de30a3a285c4f82e03d7e714cd4,https://github.com/slimphp/Slim/compare/c2e81f5e5e4aab1191a59591d1e94b33ad7076b6...dd4caa8646900de30a3a285c4f82e03d7e714cd4
11,Slim,dd4caa8646900de30a3a285c4f82e03d7e714cd4,ea6e77f56b175998892350df25c6b75dd3bc5b2a,284,https://github.com/slimphp/Slim/issues/284,https://github.com/slimphp/Slim/tree/dd4caa8646900de30a3a285c4f82e03d7e714cd4,https://github.com/slimphp/Slim/tree/ea6e77f56b175998892350df25c6b75dd3bc5b2a,https://github.com/slimphp/Slim/compare/dd4caa8646900de30a3a285c4f82e03d7e714cd4...ea6e77f56b175998892350df25c6b75dd3bc5b2a
12,Slim,f2444b33d573c6d607f6aae28622993d25144cc7,4581b5382b868ed5ecbd499bb2f87f58d5e9e11a,288,https://github.com/slimphp/Slim/issues/288,https://github.com/slimphp/Slim/tree/f2444b33d573c6d607f6aae28622993d25144cc7,https://github.com/slimphp/Slim/tree/4581b5382b868ed5ecbd499bb2f87f58d5e9e11a,https://github.com/slimphp/Slim/compare/f2444b33d573c6d607f6aae28622993d25144cc7...4581b5382b868ed5ecbd499bb2f87f58d5e9e11a
13,Slim,aa7e919c454b4e4f0bd27aa28288b18202d5557e,95ccf1a7a9e98d1259497228b097de8c9a211b2b,289,https://github.com/slimphp/Slim/issues/289,https://github.com/slimphp/Slim/tree/aa7e919c454b4e4f0bd27aa28288b18202d5557e,https://github.com/slimphp/Slim/tree/95ccf1a7a9e98d1259497228b097de8c9a211b2b,https://github.com/slimphp/Slim/compare/aa7e919c454b4e4f0bd27aa28288b18202d5557e...95ccf1a7a9e98d1259497228b097de8c9a211b2b
14,Slim,c88d62663a85d787caeafc202538ea013bbcaf5e,d5b0f916a641dbb390f29b81a803a9893cb6ecf5,297,https://github.com/slimphp/Slim/issues/297,https://github.com/slimphp/Slim/tree/c88d62663a85d787caeafc202538ea013bbcaf5e,https://github.com/slimphp/Slim/tree/d5b0f916a641dbb390f29b81a803a9893cb6ecf5,https://github.com/slimphp/Slim/compare/c88d62663a85d787caeafc202538ea013bbcaf5e...d5b0f916a641dbb390f29b81a803a9893cb6ecf5
15,Slim,1413a4b1aa2eedf55f342bcedbfd3a90b2d631a6,1f02d310f8bae5fe6e8beb88cc8c7ef713ac0b85,313,https://github.com/slimphp/Slim/issues/313,https://github.com/slimphp/Slim/tree/1413a4b1aa2eedf55f342bcedbfd3a90b2d631a6,https://github.com/slimphp/Slim/tree/1f02d310f8bae5fe6e8beb88cc8c7ef713ac0b85,https://github.com/slimphp/Slim/compare/1413a4b1aa2eedf55f342bcedbfd3a90b2d631a6...1f02d310f8bae5fe6e8beb88cc8c7ef713ac0b85
16,Slim,5606b17916a96561f39ac367e7102f84117328bd,37fecec562545aafe2b470ab9a997ae410307ab8,318,https://github.com/slimphp/Slim/issues/318,https://github.com/slimphp/Slim/tree/5606b17916a96561f39ac367e7102f84117328bd,https://github.com/slimphp/Slim/tree/37fecec562545aafe2b470ab9a997ae410307ab8,https://github.com/slimphp/Slim/compare/5606b17916a96561f39ac367e7102f84117328bd...37fecec562545aafe2b470ab9a997ae410307ab8
17,Slim,9a98d6b3f154f083db3c6e54a284bad90cdc789d,0fc344025e98adc88acb3c43e36071dae0dc6e47,215,https://github.com/slimphp/Slim/issues/215,https://github.com/slimphp/Slim/tree/9a98d6b3f154f083db3c6e54a284bad90cdc789d,https://github.com/slimphp/Slim/tree/0fc344025e98adc88acb3c43e36071dae0dc6e47,https://github.com/slimphp/Slim/compare/9a98d6b3f154f083db3c6e54a284bad90cdc789d...0fc344025e98adc88acb3c43e36071dae0dc6e47
18,Slim,1175f3e432f54a920257346a0bb98c0f8383e983,e5cc374b150c41c5c69a7df72eb06fac5c9b987f,364,https://github.com/slimphp/Slim/issues/364,https://github.com/slimphp/Slim/tree/1175f3e432f54a920257346a0bb98c0f8383e983,https://github.com/slimphp/Slim/tree/e5cc374b150c41c5c69a7df72eb06fac5c9b987f,https://github.com/slimphp/Slim/compare/1175f3e432f54a920257346a0bb98c0f8383e983...e5cc374b150c41c5c69a7df72eb06fac5c9b987f
19,Slim,e5cc374b150c41c5c69a7df72eb06fac5c9b987f,5821444f44614968d0352385bdac1ede44e0ab64,364,https://github.com/slimphp/Slim/issues/364,https://github.com/slimphp/Slim/tree/e5cc374b150c41c5c69a7df72eb06fac5c9b987f,https://github.com/slimphp/Slim/tree/5821444f44614968d0352385bdac1ede44e0ab64,https://github.com/slimphp/Slim/compare/e5cc374b150c41c5c69a7df72eb06fac5c9b987f...5821444f44614968d0352385bdac1ede44e0ab64
20,Slim,5821444f44614968d0352385bdac1ede44e0ab64,de215c5618f5c3287a918b368b5606313dcaec69,364,https://github.com/slimphp/Slim/issues/364,https://github.com/slimphp/Slim/tree/5821444f44614968d0352385bdac1ede44e0ab64,https://github.com/slimphp/Slim/tree/de215c5618f5c3287a918b368b5606313dcaec69,https://github.com/slimphp/Slim/compare/5821444f44614968d0352385bdac1ede44e0ab64...de215c5618f5c3287a918b368b5606313dcaec69
21,Slim,de215c5618f5c3287a918b368b5606313dcaec69,14df0cf145f6840e4febe307e3ba50bf6148d410,364,https://github.com/slimphp/Slim/issues/364,https://github.com/slimphp/Slim/tree/de215c5618f5c3287a918b368b5606313dcaec69,https://github.com/slimphp/Slim/tree/14df0cf145f6840e4febe307e3ba50bf6148d410,https://github.com/slimphp/Slim/compare/de215c5618f5c3287a918b368b5606313dcaec69...14df0cf145f6840e4febe307e3ba50bf6148d410
22,Slim,14df0cf145f6840e4febe307e3ba50bf6148d410,4f3b5720b16c51a23fb105e42009b398da3b1da9,364,https://github.com/slimphp/Slim/issues/364,https://github.com/slimphp/Slim/tree/14df0cf145f6840e4febe307e3ba50bf6148d410,https://github.com/slimphp/Slim/tree/4f3b5720b16c51a23fb105e42009b398da3b1da9,https://github.com/slimphp/Slim/compare/14df0cf145f6840e4febe307e3ba50bf6148d410...4f3b5720b16c51a23fb105e42009b398da3b1da9
23,Slim,4f3b5720b16c51a23fb105e42009b398da3b1da9,11be5c8aefa9f642d7153645ba28843486948168,364,https://github.com/slimphp/Slim/issues/364,https://github.com/slimphp/Slim/tree/4f3b5720b16c51a23fb105e42009b398da3b1da9,https://github.com/slimphp/Slim/tree/11be5c8aefa9f642d7153645ba28843486948168,https://github.com/slimphp/Slim/compare/4f3b5720b16c51a23fb105e42009b398da3b1da9...11be5c8aefa9f642d7153645ba28843486948168
24,Slim,11be5c8aefa9f642d7153645ba28843486948168,1886074e7f8f6f144e696d874f15f307541a8fd5,364,https://github.com/slimphp/Slim/issues/364,https://github.com/slimphp/Slim/tree/11be5c8aefa9f642d7153645ba28843486948168,https://github.com/slimphp/Slim/tree/1886074e7f8f6f144e696d874f15f307541a8fd5,https://github.com/slimphp/Slim/compare/11be5c8aefa9f642d7153645ba28843486948168...1886074e7f8f6f144e696d874f15f307541a8fd5
25,Slim,1886074e7f8f6f144e696d874f15f307541a8fd5,989f599e3914b29fff32e0cff78e666360789674,364,https://github.com/slimphp/Slim/issues/364,https://github.com/slimphp/Slim/tree/1886074e7f8f6f144e696d874f15f307541a8fd5,https://github.com/slimphp/Slim/tree/989f599e3914b29fff32e0cff78e666360789674,https://github.com/slimphp/Slim/compare/1886074e7f8f6f144e696d874f15f307541a8fd5...989f599e3914b29fff32e0cff78e666360789674
26,Slim,989f599e3914b29fff32e0cff78e666360789674,849428b64ec0f791be2005390924bcdcb4fe41ef,364,https://github.com/slimphp/Slim/issues/364,https://github.com/slimphp/Slim/tree/989f599e3914b29fff32e0cff78e666360789674,https://github.com/slimphp/Slim/tree/849428b64ec0f791be2005390924bcdcb4fe41ef,https://github.com/slimphp/Slim/compare/989f599e3914b29fff32e0cff78e666360789674...849428b64ec0f791be2005390924bcdcb4fe41ef
27,Slim,849428b64ec0f791be2005390924bcdcb4fe41ef,360c39820a67697aae1851450bbe3462348f4217,364,https://github.com/slimphp/Slim/issues/364,https://github.com/slimphp/Slim/tree/849428b64ec0f791be2005390924bcdcb4fe41ef,https://github.com/slimphp/Slim/tree/360c39820a67697aae1851450bbe3462348f4217,https://github.com/slimphp/Slim/compare/849428b64ec0f791be2005390924bcdcb4fe41ef...360c39820a67697aae1851450bbe3462348f4217
28,Slim,360c39820a67697aae1851450bbe3462348f4217,a3aaa93c0ab49dcd3ca0f140e2fcc4ea734e0b7b,364,https://github.com/slimphp/Slim/issues/364,https://github.com/slimphp/Slim/tree/360c39820a67697aae1851450bbe3462348f4217,https://github.com/slimphp/Slim/tree/a3aaa93c0ab49dcd3ca0f140e2fcc4ea734e0b7b,https://github.com/slimphp/Slim/compare/360c39820a67697aae1851450bbe3462348f4217...a3aaa93c0ab49dcd3ca0f140e2fcc4ea734e0b7b
29,Slim,a3aaa93c0ab49dcd3ca0f140e2fcc4ea734e0b7b,eca042fcf7a036fe4e4a6d9de73d4bc502e1e860,364,https://github.com/slimphp/Slim/issues/364,https://github.com/slimphp/Slim/tree/a3aaa93c0ab49dcd3ca0f140e2fcc4ea734e0b7b,https://github.com/slimphp/Slim/tree/eca042fcf7a036fe4e4a6d9de73d4bc502e1e860,https://github.com/slimphp/Slim/compare/a3aaa93c0ab49dcd3ca0f140e2fcc4ea734e0b7b...eca042fcf7a036fe4e4a6d9de73d4bc502e1e860
30,Slim,eca042fcf7a036fe4e4a6d9de73d4bc502e1e860,6fdf55ccafbf307ca84814ac3ce1be617614f149,364,https://github.com/slimphp/Slim/issues/364,https://github.com/slimphp/Slim/tree/eca042fcf7a036fe4e4a6d9de73d4bc502e1e860,https://github.com/slimphp/Slim/tree/6fdf55ccafbf307ca84814ac3ce1be617614f149,https://github.com/slimphp/Slim/compare/eca042fcf7a036fe4e4a6d9de73d4bc502e1e860...6fdf55ccafbf307ca84814ac3ce1be617614f149
31,Slim,6fdf55ccafbf307ca84814ac3ce1be617614f149,2c5a4fc4d6c28f576100c4ccd1cf4a02e481776b,364,https://github.com/slimphp/Slim/issues/364,https://github.com/slimphp/Slim/tree/6fdf55ccafbf307ca84814ac3ce1be617614f149,https://github.com/slimphp/Slim/tree/2c5a4fc4d6c28f576100c4ccd1cf4a02e481776b,https://github.com/slimphp/Slim/compare/6fdf55ccafbf307ca84814ac3ce1be617614f149...2c5a4fc4d6c28f576100c4ccd1cf4a02e481776b
32,Slim,2c5a4fc4d6c28f576100c4ccd1cf4a02e481776b,4614afa044783f84e57c22f2be923b27fba8742f,364,https://github.com/slimphp/Slim/issues/364,https://github.com/slimphp/Slim/tree/2c5a4fc4d6c28f576100c4ccd1cf4a02e481776b,https://github.com/slimphp/Slim/tree/4614afa044783f84e57c22f2be923b27fba8742f,https://github.com/slimphp/Slim/compare/2c5a4fc4d6c28f576100c4ccd1cf4a02e481776b...4614afa044783f84e57c22f2be923b27fba8742f
33,Slim,4614afa044783f84e57c22f2be923b27fba8742f,8361801798028c5daaabb751e299af7285f456b8,364,https://github.com/slimphp/Slim/issues/364,https://github.com/slimphp/Slim/tree/4614afa044783f84e57c22f2be923b27fba8742f,https://github.com/slimphp/Slim/tree/8361801798028c5daaabb751e299af7285f456b8,https://github.com/slimphp/Slim/compare/4614afa044783f84e57c22f2be923b27fba8742f...8361801798028c5daaabb751e299af7285f456b8
34,Slim,8361801798028c5daaabb751e299af7285f456b8,cb60e0a586027adcf1b37500ad2a317a2fa6dfba,364,https://github.com/slimphp/Slim/issues/364,https://github.com/slimphp/Slim/tree/8361801798028c5daaabb751e299af7285f456b8,https://github.com/slimphp/Slim/tree/cb60e0a586027adcf1b37500ad2a317a2fa6dfba,https://github.com/slimphp/Slim/compare/8361801798028c5daaabb751e299af7285f456b8...cb60e0a586027adcf1b37500ad2a317a2fa6dfba
35,Slim,cb60e0a586027adcf1b37500ad2a317a2fa6dfba,ab7ecdc7aabda71a473a38006b8be8075765be1b,364,https://github.com/slimphp/Slim/issues/364,https://github.com/slimphp/Slim/tree/cb60e0a586027adcf1b37500ad2a317a2fa6dfba,https://github.com/slimphp/Slim/tree/ab7ecdc7aabda71a473a38006b8be8075765be1b,https://github.com/slimphp/Slim/compare/cb60e0a586027adcf1b37500ad2a317a2fa6dfba...ab7ecdc7aabda71a473a38006b8be8075765be1b
36,Slim,ab7ecdc7aabda71a473a38006b8be8075765be1b,5d76c5680d14c9f479fe3ce610e60f5c795ac72d,364,https://github.com/slimphp/Slim/issues/364,https://github.com/slimphp/Slim/tree/ab7ecdc7aabda71a473a38006b8be8075765be1b,https://github.com/slimphp/Slim/tree/5d76c5680d14c9f479fe3ce610e60f5c795ac72d,https://github.com/slimphp/Slim/compare/ab7ecdc7aabda71a473a38006b8be8075765be1b...5d76c5680d14c9f479fe3ce610e60f5c795ac72d
