bug.id,project_id,revision.id.buggy,revision.id.fixed,report.id,report.url,buggy_commit_url,fixed_commit_url,compare_url
1,Solr,9e4cbff310282030b9f75789a6539feb2542676e,20711a92272feb54475ce166ba729794870ab75a,SOLR-6,https://issues.apache.org/jira/browse/SOLR-6,https://github.com/apache/solr/tree/9e4cbff310282030b9f75789a6539feb2542676e,https://github.com/apache/solr/tree/20711a92272feb54475ce166ba729794870ab75a,https://github.com/apache/solr/compare/9e4cbff310282030b9f75789a6539feb2542676e...20711a92272feb54475ce166ba729794870ab75a
2,Solr,10d32f1c7b5aeed11f6a98a885cceaa3e6d32a98,1451c6ca7c2ae26aed6d4a04d18f608b26177d83,SOLR-32,https://issues.apache.org/jira/browse/SOLR-32,https://github.com/apache/solr/tree/10d32f1c7b5aeed11f6a98a885cceaa3e6d32a98,https://github.com/apache/solr/tree/1451c6ca7c2ae26aed6d4a04d18f608b26177d83,https://github.com/apache/solr/compare/10d32f1c7b5aeed11f6a98a885cceaa3e6d32a98...1451c6ca7c2ae26aed6d4a04d18f608b26177d83
3,Solr,9de4ebb4fe061d8be65543c0b4fc4aca6f4f21a0,163f926c44d0275e96045c0fab930657f0879e26,SOLR-34,https://issues.apache.org/jira/browse/SOLR-34,https://github.com/apache/solr/tree/9de4ebb4fe061d8be65543c0b4fc4aca6f4f21a0,https://github.com/apache/solr/tree/163f926c44d0275e96045c0fab930657f0879e26,https://github.com/apache/solr/compare/9de4ebb4fe061d8be65543c0b4fc4aca6f4f21a0...163f926c44d0275e96045c0fab930657f0879e26
4,Solr,929d0d332ec2a7a96734072e8e66b5a519d8bbbf,70c8fc4b46b90e23236286d82624f08ceaa69ed8,SOLR-35,https://issues.apache.org/jira/browse/SOLR-35,https://github.com/apache/solr/tree/929d0d332ec2a7a96734072e8e66b5a519d8bbbf,https://github.com/apache/solr/tree/70c8fc4b46b90e23236286d82624f08ceaa69ed8,https://github.com/apache/solr/compare/929d0d332ec2a7a96734072e8e66b5a519d8bbbf...70c8fc4b46b90e23236286d82624f08ceaa69ed8
5,Solr,70c8fc4b46b90e23236286d82624f08ceaa69ed8,2cd520cf2b3b6e2821205e2f8af5fbc453e219ab,SOLR-35,https://issues.apache.org/jira/browse/SOLR-35,https://github.com/apache/solr/tree/70c8fc4b46b90e23236286d82624f08ceaa69ed8,https://github.com/apache/solr/tree/2cd520cf2b3b6e2821205e2f8af5fbc453e219ab,https://github.com/apache/solr/compare/70c8fc4b46b90e23236286d82624f08ceaa69ed8...2cd520cf2b3b6e2821205e2f8af5fbc453e219ab
6,Solr,0d60aba6240b49b72d07ec75e9c019adb757dbd4,ecddbc6337ee5d20da37d066f46c7813390fedf2,SOLR-39,https://issues.apache.org/jira/browse/SOLR-39,https://github.com/apache/solr/tree/0d60aba6240b49b72d07ec75e9c019adb757dbd4,https://github.com/apache/solr/tree/ecddbc6337ee5d20da37d066f46c7813390fedf2,https://github.com/apache/solr/compare/0d60aba6240b49b72d07ec75e9c019adb757dbd4...ecddbc6337ee5d20da37d066f46c7813390fedf2
7,Solr,0fcfe874c9444bbb63e70ce768f8c3d782bb90d8,202004d64910e65327019fbd5aae4b7f2451733b,SOLR-47,https://issues.apache.org/jira/browse/SOLR-47,https://github.com/apache/solr/tree/0fcfe874c9444bbb63e70ce768f8c3d782bb90d8,https://github.com/apache/solr/tree/202004d64910e65327019fbd5aae4b7f2451733b,https://github.com/apache/solr/compare/0fcfe874c9444bbb63e70ce768f8c3d782bb90d8...202004d64910e65327019fbd5aae4b7f2451733b
8,Solr,0e8037a9a6b15cfba7ae086e9d020bfc86ee9b31,afe77428f2a3f4ddf52fa1217566b8880ddb9ae7,solr-48,https://issues.apache.org/jira/browse/SOLR-48,https://github.com/apache/solr/tree/0e8037a9a6b15cfba7ae086e9d020bfc86ee9b31,https://github.com/apache/solr/tree/afe77428f2a3f4ddf52fa1217566b8880ddb9ae7,https://github.com/apache/solr/compare/0e8037a9a6b15cfba7ae086e9d020bfc86ee9b31...afe77428f2a3f4ddf52fa1217566b8880ddb9ae7
9,Solr,afe77428f2a3f4ddf52fa1217566b8880ddb9ae7,8926e178fc45c928f7a691b81d56e419d4511576,SOLR-48,https://issues.apache.org/jira/browse/SOLR-48,https://github.com/apache/solr/tree/afe77428f2a3f4ddf52fa1217566b8880ddb9ae7,https://github.com/apache/solr/tree/8926e178fc45c928f7a691b81d56e419d4511576,https://github.com/apache/solr/compare/afe77428f2a3f4ddf52fa1217566b8880ddb9ae7...8926e178fc45c928f7a691b81d56e419d4511576
10,Solr,d2fbaf889f3c62a5b63faecfc92844635e62e2a7,4ffd204da6535f6713091b77700d2517243f6426,SOLR-63,https://issues.apache.org/jira/browse/SOLR-63,https://github.com/apache/solr/tree/d2fbaf889f3c62a5b63faecfc92844635e62e2a7,https://github.com/apache/solr/tree/4ffd204da6535f6713091b77700d2517243f6426,https://github.com/apache/solr/compare/d2fbaf889f3c62a5b63faecfc92844635e62e2a7...4ffd204da6535f6713091b77700d2517243f6426
11,Solr,62989cd49bf34fc5d4e4515ffe11bf02654317cf,b2fcbed95bfd60dbbd791b7d96e341db937eb1d3,SOLR-70,https://issues.apache.org/jira/browse/SOLR-70,https://github.com/apache/solr/tree/62989cd49bf34fc5d4e4515ffe11bf02654317cf,https://github.com/apache/solr/tree/b2fcbed95bfd60dbbd791b7d96e341db937eb1d3,https://github.com/apache/solr/compare/62989cd49bf34fc5d4e4515ffe11bf02654317cf...b2fcbed95bfd60dbbd791b7d96e341db937eb1d3
12,Solr,c45fc39d2da816e88cfd33ff7596226afeebb885,6c995edfc2591d76ffc0940fdd26d6744a311c49,SOLR-74,https://issues.apache.org/jira/browse/SOLR-74,https://github.com/apache/solr/tree/c45fc39d2da816e88cfd33ff7596226afeebb885,https://github.com/apache/solr/tree/6c995edfc2591d76ffc0940fdd26d6744a311c49,https://github.com/apache/solr/compare/c45fc39d2da816e88cfd33ff7596226afeebb885...6c995edfc2591d76ffc0940fdd26d6744a311c49
