bug.id,project_id,revision.id.buggy,revision.id.fixed,report.id,report.url,buggy_commit_url,fixed_commit_url,compare_url
1,Spatial4j,9bc6dba0a9712477691b4f800469bfc9dced583f,5e7227546ba8a592096bddb7ed72f4efbc4ff2e2,111,https://github.com/locationtech/spatial4j/issues/111,https://github.com/locationtech/spatial4j/tree/9bc6dba0a9712477691b4f800469bfc9dced583f,https://github.com/locationtech/spatial4j/tree/5e7227546ba8a592096bddb7ed72f4efbc4ff2e2,https://github.com/locationtech/spatial4j/compare/9bc6dba0a9712477691b4f800469bfc9dced583f...5e7227546ba8a592096bddb7ed72f4efbc4ff2e2
2,Spatial4j,5dfc7d7bc18529f725359da4d8b7b5b805e466cf,440d0286e17b126677220c79e342557f83fcd594,113,https://github.com/locationtech/spatial4j/issues/113,https://github.com/locationtech/spatial4j/tree/5dfc7d7bc18529f725359da4d8b7b5b805e466cf,https://github.com/locationtech/spatial4j/tree/440d0286e17b126677220c79e342557f83fcd594,https://github.com/locationtech/spatial4j/compare/5dfc7d7bc18529f725359da4d8b7b5b805e466cf...440d0286e17b126677220c79e342557f83fcd594
3,Spatial4j,932e31fa2fdd7d1b93a701689c5938ca9d407dcd,4125810d0db3ada12a98ec19691403acf971e4d2,77,https://github.com/locationtech/spatial4j/issues/77,https://github.com/locationtech/spatial4j/tree/932e31fa2fdd7d1b93a701689c5938ca9d407dcd,https://github.com/locationtech/spatial4j/tree/4125810d0db3ada12a98ec19691403acf971e4d2,https://github.com/locationtech/spatial4j/compare/932e31fa2fdd7d1b93a701689c5938ca9d407dcd...4125810d0db3ada12a98ec19691403acf971e4d2
4,Spatial4j,e0c4b1c586b8ce3e19482225164274a2e8d9875c,f78a126ebde9367e7cd592263e32f58bda711f30,76,https://github.com/locationtech/spatial4j/issues/76,https://github.com/locationtech/spatial4j/tree/e0c4b1c586b8ce3e19482225164274a2e8d9875c,https://github.com/locationtech/spatial4j/tree/f78a126ebde9367e7cd592263e32f58bda711f30,https://github.com/locationtech/spatial4j/compare/e0c4b1c586b8ce3e19482225164274a2e8d9875c...f78a126ebde9367e7cd592263e32f58bda711f30
5,Spatial4j,ae8a90fe7d878f759fc319cb940595f86b087c83,bf35bdc25d4a3dbe5a97fd73f79e0c5950e57643,127,https://github.com/locationtech/spatial4j/issues/127,https://github.com/locationtech/spatial4j/tree/ae8a90fe7d878f759fc319cb940595f86b087c83,https://github.com/locationtech/spatial4j/tree/bf35bdc25d4a3dbe5a97fd73f79e0c5950e57643,https://github.com/locationtech/spatial4j/compare/ae8a90fe7d878f759fc319cb940595f86b087c83...bf35bdc25d4a3dbe5a97fd73f79e0c5950e57643
6,Spatial4j,bf35bdc25d4a3dbe5a97fd73f79e0c5950e57643,404414ae5ad2ecea1a6171495639368b9f11b3d1,127,https://github.com/locationtech/spatial4j/issues/127,https://github.com/locationtech/spatial4j/tree/bf35bdc25d4a3dbe5a97fd73f79e0c5950e57643,https://github.com/locationtech/spatial4j/tree/404414ae5ad2ecea1a6171495639368b9f11b3d1,https://github.com/locationtech/spatial4j/compare/bf35bdc25d4a3dbe5a97fd73f79e0c5950e57643...404414ae5ad2ecea1a6171495639368b9f11b3d1
7,Spatial4j,b908f2fbcdd40d1a7b8c4655e60f26dbb35b5b50,ef33657b3d8b3372c8dc8620a351d81f2314b1ec,132,https://github.com/locationtech/spatial4j/issues/132,https://github.com/locationtech/spatial4j/tree/b908f2fbcdd40d1a7b8c4655e60f26dbb35b5b50,https://github.com/locationtech/spatial4j/tree/ef33657b3d8b3372c8dc8620a351d81f2314b1ec,https://github.com/locationtech/spatial4j/compare/b908f2fbcdd40d1a7b8c4655e60f26dbb35b5b50...ef33657b3d8b3372c8dc8620a351d81f2314b1ec
8,Spatial4j,f1683daeded6dbbb028c1d0049554f44990f6eef,d7c7160bceee91db06bdbe1406d4366e9b629097,145,https://github.com/locationtech/spatial4j/issues/145,https://github.com/locationtech/spatial4j/tree/f1683daeded6dbbb028c1d0049554f44990f6eef,https://github.com/locationtech/spatial4j/tree/d7c7160bceee91db06bdbe1406d4366e9b629097,https://github.com/locationtech/spatial4j/compare/f1683daeded6dbbb028c1d0049554f44990f6eef...d7c7160bceee91db06bdbe1406d4366e9b629097
9,Spatial4j,84d8294e15eda14ea9826c5ee56a574c15b0b19a,7cea4115fd105c7d31aacbfad31d4f88106960b3,150,https://github.com/locationtech/spatial4j/issues/150,https://github.com/locationtech/spatial4j/tree/84d8294e15eda14ea9826c5ee56a574c15b0b19a,https://github.com/locationtech/spatial4j/tree/7cea4115fd105c7d31aacbfad31d4f88106960b3,https://github.com/locationtech/spatial4j/compare/84d8294e15eda14ea9826c5ee56a574c15b0b19a...7cea4115fd105c7d31aacbfad31d4f88106960b3
10,Spatial4j,079b79fc27e7f72b5cfccda7ebe6c32439dda97c,236b633204888318ae7906362e190333e5f766ce,147,https://github.com/locationtech/spatial4j/issues/147,https://github.com/locationtech/spatial4j/tree/079b79fc27e7f72b5cfccda7ebe6c32439dda97c,https://github.com/locationtech/spatial4j/tree/236b633204888318ae7906362e190333e5f766ce,https://github.com/locationtech/spatial4j/compare/079b79fc27e7f72b5cfccda7ebe6c32439dda97c...236b633204888318ae7906362e190333e5f766ce
11,Spatial4j,5bcf8a4dd9d36e6a4a428661b2c683635b21193f,fbc615bea45166aa07a69b183f8a9519c62d5145,157,https://github.com/locationtech/spatial4j/issues/157,https://github.com/locationtech/spatial4j/tree/5bcf8a4dd9d36e6a4a428661b2c683635b21193f,https://github.com/locationtech/spatial4j/tree/fbc615bea45166aa07a69b183f8a9519c62d5145,https://github.com/locationtech/spatial4j/compare/5bcf8a4dd9d36e6a4a428661b2c683635b21193f...fbc615bea45166aa07a69b183f8a9519c62d5145
12,Spatial4j,a6173aad3a3152e11bd48b0ceced085406b20e22,165d6116d5b35710f1179e9e700af1edc498e5c2,168,https://github.com/locationtech/spatial4j/issues/168,https://github.com/locationtech/spatial4j/tree/a6173aad3a3152e11bd48b0ceced085406b20e22,https://github.com/locationtech/spatial4j/tree/165d6116d5b35710f1179e9e700af1edc498e5c2,https://github.com/locationtech/spatial4j/compare/a6173aad3a3152e11bd48b0ceced085406b20e22...165d6116d5b35710f1179e9e700af1edc498e5c2
13,Spatial4j,d97b5656e726bffd17a90ccf24c03e60aab55e25,5d8bac2836a90f8daf246d621f26b92c89d36546,163,https://github.com/locationtech/spatial4j/issues/163,https://github.com/locationtech/spatial4j/tree/d97b5656e726bffd17a90ccf24c03e60aab55e25,https://github.com/locationtech/spatial4j/tree/5d8bac2836a90f8daf246d621f26b92c89d36546,https://github.com/locationtech/spatial4j/compare/d97b5656e726bffd17a90ccf24c03e60aab55e25...5d8bac2836a90f8daf246d621f26b92c89d36546
14,Spatial4j,6a4382895a5cf181fb49738791859a3ae166d0bc,63b318368ce7eca0e090af64cd49d134c8619c29,175,https://github.com/locationtech/spatial4j/issues/175,https://github.com/locationtech/spatial4j/tree/6a4382895a5cf181fb49738791859a3ae166d0bc,https://github.com/locationtech/spatial4j/tree/63b318368ce7eca0e090af64cd49d134c8619c29,https://github.com/locationtech/spatial4j/compare/6a4382895a5cf181fb49738791859a3ae166d0bc...63b318368ce7eca0e090af64cd49d134c8619c29
15,Spatial4j,6e4bf7a6af41f9f5a58c61fc936e51d866eccc7a,9d75547c183f14b2bf5490394d06164d1d4f823b,205,https://github.com/locationtech/spatial4j/issues/205,https://github.com/locationtech/spatial4j/tree/6e4bf7a6af41f9f5a58c61fc936e51d866eccc7a,https://github.com/locationtech/spatial4j/tree/9d75547c183f14b2bf5490394d06164d1d4f823b,https://github.com/locationtech/spatial4j/compare/6e4bf7a6af41f9f5a58c61fc936e51d866eccc7a...9d75547c183f14b2bf5490394d06164d1d4f823b
