bug.id,project_id,revision.id.buggy,revision.id.fixed,report.id,report.url,buggy_commit_url,fixed_commit_url,compare_url
1,Spdlog,3556c87a51bc89696f6230b4c6c76f88c18d5990,6fe03c778066b98193fdcf90bb7a5e34438692bc,64,https://github.com/gabime/spdlog/issues/64,https://github.com/gabime/spdlo/tree/3556c87a51bc89696f6230b4c6c76f88c18d5990,https://github.com/gabime/spdlo/tree/6fe03c778066b98193fdcf90bb7a5e34438692bc,https://github.com/gabime/spdlo/compare/3556c87a51bc89696f6230b4c6c76f88c18d5990...6fe03c778066b98193fdcf90bb7a5e34438692bc
2,Spdlog,da8024854e6ca7b9fd2fdd254e0d00558279fc7d,285a47dedb633d63b9e91468be209bab66527159,84,https://github.com/gabime/spdlog/issues/84,https://github.com/gabime/spdlo/tree/da8024854e6ca7b9fd2fdd254e0d00558279fc7d,https://github.com/gabime/spdlo/tree/285a47dedb633d63b9e91468be209bab66527159,https://github.com/gabime/spdlo/compare/da8024854e6ca7b9fd2fdd254e0d00558279fc7d...285a47dedb633d63b9e91468be209bab66527159
3,Spdlog,83d47aa6457fd27646dffe8f0030c38429c727f6,1c13f5d7ff3025c49fa2fdb76f460fa717085b11,110,https://github.com/gabime/spdlog/issues/110,https://github.com/gabime/spdlo/tree/83d47aa6457fd27646dffe8f0030c38429c727f6,https://github.com/gabime/spdlo/tree/1c13f5d7ff3025c49fa2fdb76f460fa717085b11,https://github.com/gabime/spdlo/compare/83d47aa6457fd27646dffe8f0030c38429c727f6...1c13f5d7ff3025c49fa2fdb76f460fa717085b11
4,Spdlog,e5376c3c0fb9b84f626d2c211c9bdd08876aed52,cd90e3911ec7ca6cb9d9a04529f593531d6155b3,189,https://github.com/gabime/spdlog/issues/189,https://github.com/gabime/spdlo/tree/e5376c3c0fb9b84f626d2c211c9bdd08876aed52,https://github.com/gabime/spdlo/tree/cd90e3911ec7ca6cb9d9a04529f593531d6155b3,https://github.com/gabime/spdlo/compare/e5376c3c0fb9b84f626d2c211c9bdd08876aed52...cd90e3911ec7ca6cb9d9a04529f593531d6155b3
5,Spdlog,b642482432ed845b650bc490cb9e9c269e7ff36f,ca928bc1b09bb3636a18819dad5c31619a1d9e59,295,https://github.com/gabime/spdlog/issues/295,https://github.com/gabime/spdlo/tree/b642482432ed845b650bc490cb9e9c269e7ff36f,https://github.com/gabime/spdlo/tree/ca928bc1b09bb3636a18819dad5c31619a1d9e59,https://github.com/gabime/spdlo/compare/b642482432ed845b650bc490cb9e9c269e7ff36f...ca928bc1b09bb3636a18819dad5c31619a1d9e59
6,Spdlog,698783861c9e402af4736993918e617b39964caa,6128a87da239228603758fef9dfcb9ea0ab47f3f,300,https://github.com/gabime/spdlog/issues/300,https://github.com/gabime/spdlo/tree/698783861c9e402af4736993918e617b39964caa,https://github.com/gabime/spdlo/tree/6128a87da239228603758fef9dfcb9ea0ab47f3f,https://github.com/gabime/spdlo/compare/698783861c9e402af4736993918e617b39964caa...6128a87da239228603758fef9dfcb9ea0ab47f3f
7,Spdlog,4e768c146bd5cd69f9012589baa6617c6e2b96a8,9eee823041f3e48904c2a0fbc26d97bb88ff3d62,315,https://github.com/gabime/spdlog/issues/315,https://github.com/gabime/spdlo/tree/4e768c146bd5cd69f9012589baa6617c6e2b96a8,https://github.com/gabime/spdlo/tree/9eee823041f3e48904c2a0fbc26d97bb88ff3d62,https://github.com/gabime/spdlo/compare/4e768c146bd5cd69f9012589baa6617c6e2b96a8...9eee823041f3e48904c2a0fbc26d97bb88ff3d62
8,Spdlog,fced34e3d8c31c9f9e69bbad79271f93c989457e,cb02b344a389c89843a2dc6bf91d6b1a574cd8d6,510,https://github.com/gabime/spdlog/issues/510,https://github.com/gabime/spdlo/tree/fced34e3d8c31c9f9e69bbad79271f93c989457e,https://github.com/gabime/spdlo/tree/cb02b344a389c89843a2dc6bf91d6b1a574cd8d6,https://github.com/gabime/spdlo/compare/fced34e3d8c31c9f9e69bbad79271f93c989457e...cb02b344a389c89843a2dc6bf91d6b1a574cd8d6
9,Spdlog,8ca1d84a324f93d67fea535fa13e53065719c5be,ecec210d0eb371a40758bf86d9ba62ed9ac0bdba,554,https://github.com/gabime/spdlog/issues/554,https://github.com/gabime/spdlo/tree/8ca1d84a324f93d67fea535fa13e53065719c5be,https://github.com/gabime/spdlo/tree/ecec210d0eb371a40758bf86d9ba62ed9ac0bdba,https://github.com/gabime/spdlo/compare/8ca1d84a324f93d67fea535fa13e53065719c5be...ecec210d0eb371a40758bf86d9ba62ed9ac0bdba
10,Spdlog,d460c3026a886c761eee35a5a143978eaf56d1d0,de595fe2b782763109d9a3b64aaf8b070a7420ed,529,https://github.com/gabime/spdlog/issues/529,https://github.com/gabime/spdlo/tree/d460c3026a886c761eee35a5a143978eaf56d1d0,https://github.com/gabime/spdlo/tree/de595fe2b782763109d9a3b64aaf8b070a7420ed,https://github.com/gabime/spdlo/compare/d460c3026a886c761eee35a5a143978eaf56d1d0...de595fe2b782763109d9a3b64aaf8b070a7420ed
11,Spdlog,de595fe2b782763109d9a3b64aaf8b070a7420ed,6dd928dc3cae630448854d05cfdbb61e7212e160,529,https://github.com/gabime/spdlog/issues/529,https://github.com/gabime/spdlo/tree/de595fe2b782763109d9a3b64aaf8b070a7420ed,https://github.com/gabime/spdlo/tree/6dd928dc3cae630448854d05cfdbb61e7212e160,https://github.com/gabime/spdlo/compare/de595fe2b782763109d9a3b64aaf8b070a7420ed...6dd928dc3cae630448854d05cfdbb61e7212e160
