bug.id,project_id,revision.id.buggy,revision.id.fixed,report.id,report.url,buggy_commit_url,fixed_commit_url,compare_url
1,Spoon,07e5785b62dfd5720d6f71cc2024eb7027f45e63,47b8de228c696405673e153be0bd4b3fe22a5be9,17,https://github.com/INRIA/spoon/issues/17,https://www.github.com/INRIA/spoon/tree/07e5785b62dfd5720d6f71cc2024eb7027f45e63,https://www.github.com/INRIA/spoon/tree/47b8de228c696405673e153be0bd4b3fe22a5be9,https://www.github.com/INRIA/spoon/compare/07e5785b62dfd5720d6f71cc2024eb7027f45e63...47b8de228c696405673e153be0bd4b3fe22a5be9
2,Spoon,e1d2a19b55a962c04c9cf04752a5eb262707efa6,55626f0c8f7a3f88413a8e3561d7c205aa9fa0c2,82,https://github.com/INRIA/spoon/issues/82,https://www.github.com/INRIA/spoon/tree/e1d2a19b55a962c04c9cf04752a5eb262707efa6,https://www.github.com/INRIA/spoon/tree/55626f0c8f7a3f88413a8e3561d7c205aa9fa0c2,https://www.github.com/INRIA/spoon/compare/e1d2a19b55a962c04c9cf04752a5eb262707efa6...55626f0c8f7a3f88413a8e3561d7c205aa9fa0c2
3,Spoon,f62136f1034a4d0d42050839d8dbdbc5cf091a1f,7bd8e517856fe1477d8f8f52721df968a838cc21,81,https://github.com/INRIA/spoon/issues/81,https://www.github.com/INRIA/spoon/tree/f62136f1034a4d0d42050839d8dbdbc5cf091a1f,https://www.github.com/INRIA/spoon/tree/7bd8e517856fe1477d8f8f52721df968a838cc21,https://www.github.com/INRIA/spoon/compare/f62136f1034a4d0d42050839d8dbdbc5cf091a1f...7bd8e517856fe1477d8f8f52721df968a838cc21
4,Spoon,2df459fd75b562d9127aa2a9349ccc5c8ddc1bfe,d04ae07bc658a2fc89efecf11fbab019d51bb13d,63,https://github.com/INRIA/spoon/issues/63,https://www.github.com/INRIA/spoon/tree/2df459fd75b562d9127aa2a9349ccc5c8ddc1bfe,https://www.github.com/INRIA/spoon/tree/d04ae07bc658a2fc89efecf11fbab019d51bb13d,https://www.github.com/INRIA/spoon/compare/2df459fd75b562d9127aa2a9349ccc5c8ddc1bfe...d04ae07bc658a2fc89efecf11fbab019d51bb13d
5,Spoon,ecbd88a570cda8a0cd6131190b83b65ae802bccf,1c88e924f30c75d62705c74b2544662649d7b51d,112,https://github.com/INRIA/spoon/issues/112,https://www.github.com/INRIA/spoon/tree/ecbd88a570cda8a0cd6131190b83b65ae802bccf,https://www.github.com/INRIA/spoon/tree/1c88e924f30c75d62705c74b2544662649d7b51d,https://www.github.com/INRIA/spoon/compare/ecbd88a570cda8a0cd6131190b83b65ae802bccf...1c88e924f30c75d62705c74b2544662649d7b51d
6,Spoon,26bbaf9508cd644124d0bb59e2c7d7a78ce9bd98,29e24527673f64be9e8b88218491a6bdf69395a6,106,https://github.com/INRIA/spoon/issues/106,https://www.github.com/INRIA/spoon/tree/26bbaf9508cd644124d0bb59e2c7d7a78ce9bd98,https://www.github.com/INRIA/spoon/tree/29e24527673f64be9e8b88218491a6bdf69395a6,https://www.github.com/INRIA/spoon/compare/26bbaf9508cd644124d0bb59e2c7d7a78ce9bd98...29e24527673f64be9e8b88218491a6bdf69395a6
7,Spoon,5d66e7ef3903cf30f5526843baf7654ce9c25e95,a8c907f73918bd3816a86a1de97b3a4e482727b5,114,https://github.com/INRIA/spoon/issues/114,https://www.github.com/INRIA/spoon/tree/5d66e7ef3903cf30f5526843baf7654ce9c25e95,https://www.github.com/INRIA/spoon/tree/a8c907f73918bd3816a86a1de97b3a4e482727b5,https://www.github.com/INRIA/spoon/compare/5d66e7ef3903cf30f5526843baf7654ce9c25e95...a8c907f73918bd3816a86a1de97b3a4e482727b5
8,Spoon,5d66e7ef3903cf30f5526843baf7654ce9c25e95,ee57709591d1b64b8f371fb205ba4ae9122f0e95,60,https://github.com/INRIA/spoon/issues/60,https://www.github.com/INRIA/spoon/tree/5d66e7ef3903cf30f5526843baf7654ce9c25e95,https://www.github.com/INRIA/spoon/tree/ee57709591d1b64b8f371fb205ba4ae9122f0e95,https://www.github.com/INRIA/spoon/compare/5d66e7ef3903cf30f5526843baf7654ce9c25e95...ee57709591d1b64b8f371fb205ba4ae9122f0e95
9,Spoon,25d8756cbc85b64f5c1235acdf8cc02a36b1adb8,99f54ed4845c9e2df157f0b94d9ff1ddf218d58a,132,https://github.com/INRIA/spoon/issues/132,https://www.github.com/INRIA/spoon/tree/25d8756cbc85b64f5c1235acdf8cc02a36b1adb8,https://www.github.com/INRIA/spoon/tree/99f54ed4845c9e2df157f0b94d9ff1ddf218d58a,https://www.github.com/INRIA/spoon/compare/25d8756cbc85b64f5c1235acdf8cc02a36b1adb8...99f54ed4845c9e2df157f0b94d9ff1ddf218d58a
10,Spoon,48ece517d6d0a8f78279163ff8beb4bea191aa83,448e63a5961a61cd1ebacc03fe7fbd536476a8f1,138,https://github.com/INRIA/spoon/issues/138,https://www.github.com/INRIA/spoon/tree/48ece517d6d0a8f78279163ff8beb4bea191aa83,https://www.github.com/INRIA/spoon/tree/448e63a5961a61cd1ebacc03fe7fbd536476a8f1,https://www.github.com/INRIA/spoon/compare/48ece517d6d0a8f78279163ff8beb4bea191aa83...448e63a5961a61cd1ebacc03fe7fbd536476a8f1
11,Spoon,5d66e7ef3903cf30f5526843baf7654ce9c25e95,68a343d3836c8dd5fc8f93b81fc001205be41867,126,https://github.com/INRIA/spoon/issues/126,https://www.github.com/INRIA/spoon/tree/5d66e7ef3903cf30f5526843baf7654ce9c25e95,https://www.github.com/INRIA/spoon/tree/68a343d3836c8dd5fc8f93b81fc001205be41867,https://www.github.com/INRIA/spoon/compare/5d66e7ef3903cf30f5526843baf7654ce9c25e95...68a343d3836c8dd5fc8f93b81fc001205be41867
12,Spoon,c67a13ece82c5dc70ce80bf76d2a21728ff6d89f,d04891a567b389f3b00a46d2ceaefe3beb85a945,114,https://github.com/INRIA/spoon/issues/114,https://www.github.com/INRIA/spoon/tree/c67a13ece82c5dc70ce80bf76d2a21728ff6d89f,https://www.github.com/INRIA/spoon/tree/d04891a567b389f3b00a46d2ceaefe3beb85a945,https://www.github.com/INRIA/spoon/compare/c67a13ece82c5dc70ce80bf76d2a21728ff6d89f...d04891a567b389f3b00a46d2ceaefe3beb85a945
13,Spoon,eebcefbf06ef045fd2dd275ecd28d4269b2638c1,5377f7095b55baed8ec0a3972183d35f7fdee839,125,https://github.com/INRIA/spoon/issues/125,https://www.github.com/INRIA/spoon/tree/eebcefbf06ef045fd2dd275ecd28d4269b2638c1,https://www.github.com/INRIA/spoon/tree/5377f7095b55baed8ec0a3972183d35f7fdee839,https://www.github.com/INRIA/spoon/compare/eebcefbf06ef045fd2dd275ecd28d4269b2638c1...5377f7095b55baed8ec0a3972183d35f7fdee839
14,Spoon,c1674b680568b56f9e72886fa1fc11852a78cddc,ca15389a96807c7a6c7eca1fdfc5837dd07dd3bf,156,https://github.com/INRIA/spoon/issues/156,https://www.github.com/INRIA/spoon/tree/c1674b680568b56f9e72886fa1fc11852a78cddc,https://www.github.com/INRIA/spoon/tree/ca15389a96807c7a6c7eca1fdfc5837dd07dd3bf,https://www.github.com/INRIA/spoon/compare/c1674b680568b56f9e72886fa1fc11852a78cddc...ca15389a96807c7a6c7eca1fdfc5837dd07dd3bf
15,Spoon,d9e0d7aeccdd409a8b7c70813ba22275c1026254,39ca4b48147510eddd4c109b227b6a12d80faf50,163,https://github.com/INRIA/spoon/issues/163,https://www.github.com/INRIA/spoon/tree/d9e0d7aeccdd409a8b7c70813ba22275c1026254,https://www.github.com/INRIA/spoon/tree/39ca4b48147510eddd4c109b227b6a12d80faf50,https://www.github.com/INRIA/spoon/compare/d9e0d7aeccdd409a8b7c70813ba22275c1026254...39ca4b48147510eddd4c109b227b6a12d80faf50
16,Spoon,af112d3d925f3d18867df84b0e359595085cc7d3,a5ed26aebbd125440b7c467fcf4dc726cdacb7fd,166,https://github.com/INRIA/spoon/issues/166,https://www.github.com/INRIA/spoon/tree/af112d3d925f3d18867df84b0e359595085cc7d3,https://www.github.com/INRIA/spoon/tree/a5ed26aebbd125440b7c467fcf4dc726cdacb7fd,https://www.github.com/INRIA/spoon/compare/af112d3d925f3d18867df84b0e359595085cc7d3...a5ed26aebbd125440b7c467fcf4dc726cdacb7fd
17,Spoon,d9e0d7aeccdd409a8b7c70813ba22275c1026254,c3ba56b82c969b67d1201a74254f38df7dda8fc4,162,https://github.com/INRIA/spoon/issues/162,https://www.github.com/INRIA/spoon/tree/d9e0d7aeccdd409a8b7c70813ba22275c1026254,https://www.github.com/INRIA/spoon/tree/c3ba56b82c969b67d1201a74254f38df7dda8fc4,https://www.github.com/INRIA/spoon/compare/d9e0d7aeccdd409a8b7c70813ba22275c1026254...c3ba56b82c969b67d1201a74254f38df7dda8fc4
18,Spoon,af112d3d925f3d18867df84b0e359595085cc7d3,c4cbc6cda2b62a5b6b1a15d42675654b703be511,188,https://github.com/INRIA/spoon/issues/188,https://www.github.com/INRIA/spoon/tree/af112d3d925f3d18867df84b0e359595085cc7d3,https://www.github.com/INRIA/spoon/tree/c4cbc6cda2b62a5b6b1a15d42675654b703be511,https://www.github.com/INRIA/spoon/compare/af112d3d925f3d18867df84b0e359595085cc7d3...c4cbc6cda2b62a5b6b1a15d42675654b703be511
19,Spoon,d9e0d7aeccdd409a8b7c70813ba22275c1026254,778c57c1b6b5b2298f1a7e1605cdc7e0f39f3b26,174,https://github.com/INRIA/spoon/issues/174,https://www.github.com/INRIA/spoon/tree/d9e0d7aeccdd409a8b7c70813ba22275c1026254,https://www.github.com/INRIA/spoon/tree/778c57c1b6b5b2298f1a7e1605cdc7e0f39f3b26,https://www.github.com/INRIA/spoon/compare/d9e0d7aeccdd409a8b7c70813ba22275c1026254...778c57c1b6b5b2298f1a7e1605cdc7e0f39f3b26
20,Spoon,beb46d9349f3e7d83e0d137989c4dac5ccdbfa7d,891ba05fe6549c21cef7fbf4312339ad92b1d182,146,https://github.com/INRIA/spoon/issues/146,https://www.github.com/INRIA/spoon/tree/beb46d9349f3e7d83e0d137989c4dac5ccdbfa7d,https://www.github.com/INRIA/spoon/tree/891ba05fe6549c21cef7fbf4312339ad92b1d182,https://www.github.com/INRIA/spoon/compare/beb46d9349f3e7d83e0d137989c4dac5ccdbfa7d...891ba05fe6549c21cef7fbf4312339ad92b1d182
21,Spoon,43c725af851db39a03e2b3be71dfd1c6a50b5a40,f44fa404f152554577ef88ed7518019edff298d4,227,https://github.com/INRIA/spoon/issues/227,https://www.github.com/INRIA/spoon/tree/43c725af851db39a03e2b3be71dfd1c6a50b5a40,https://www.github.com/INRIA/spoon/tree/f44fa404f152554577ef88ed7518019edff298d4,https://www.github.com/INRIA/spoon/compare/43c725af851db39a03e2b3be71dfd1c6a50b5a40...f44fa404f152554577ef88ed7518019edff298d4
22,Spoon,e66ce6b8bdca438a5e8a846111975afddfbd255c,5ecbb216ad38d0b6d7bcb9d4f7e098e3d2f1d9d1,223,https://github.com/INRIA/spoon/issues/223,https://www.github.com/INRIA/spoon/tree/e66ce6b8bdca438a5e8a846111975afddfbd255c,https://www.github.com/INRIA/spoon/tree/5ecbb216ad38d0b6d7bcb9d4f7e098e3d2f1d9d1,https://www.github.com/INRIA/spoon/compare/e66ce6b8bdca438a5e8a846111975afddfbd255c...5ecbb216ad38d0b6d7bcb9d4f7e098e3d2f1d9d1
23,Spoon,8820664f174da74751520c18b38c96b52fe40fb2,8b65f59e144ae746f83124e06747d68ce24508ec,237,https://github.com/INRIA/spoon/issues/237,https://www.github.com/INRIA/spoon/tree/8820664f174da74751520c18b38c96b52fe40fb2,https://www.github.com/INRIA/spoon/tree/8b65f59e144ae746f83124e06747d68ce24508ec,https://www.github.com/INRIA/spoon/compare/8820664f174da74751520c18b38c96b52fe40fb2...8b65f59e144ae746f83124e06747d68ce24508ec
