bug.id,project_id,revision.id.buggy,revision.id.fixed,report.id,report.url,buggy_commit_url,fixed_commit_url,compare_url
1,Starship,bab69c01c4013699c48647eeffb21d1827c53828,d296432908560bce63dde00be074a3723210b782,148,https://github.com/starship/starship/issues/148,https://github.com/starship/starship/tree/bab69c01c4013699c48647eeffb21d1827c53828,https://github.com/starship/starship/tree/d296432908560bce63dde00be074a3723210b782,https://github.com/starship/starship/compare/bab69c01c4013699c48647eeffb21d1827c53828...d296432908560bce63dde00be074a3723210b782
2,Starship,e0c90a6502b1acd4454f150e0003c63c4fac5208,aa260899d452bde337e5e1a42e92ea6331ec9fc7,204,https://github.com/starship/starship/issues/204,https://github.com/starship/starship/tree/e0c90a6502b1acd4454f150e0003c63c4fac5208,https://github.com/starship/starship/tree/aa260899d452bde337e5e1a42e92ea6331ec9fc7,https://github.com/starship/starship/compare/e0c90a6502b1acd4454f150e0003c63c4fac5208...aa260899d452bde337e5e1a42e92ea6331ec9fc7
3,Starship,2475f54459be3d67ca933e385b480b01410bb3e6,e560927c71db3cf6436e2bcef208825a5fd7a7f0,667,https://github.com/starship/starship/issues/667,https://github.com/starship/starship/tree/2475f54459be3d67ca933e385b480b01410bb3e6,https://github.com/starship/starship/tree/e560927c71db3cf6436e2bcef208825a5fd7a7f0,https://github.com/starship/starship/compare/2475f54459be3d67ca933e385b480b01410bb3e6...e560927c71db3cf6436e2bcef208825a5fd7a7f0
4,Starship,edc62f45188b742a4d20b601170ba8b9bdb5c803,1558b22bb04dfb0f60094c2f488ea94290b27846,656,https://github.com/starship/starship/issues/656,https://github.com/starship/starship/tree/edc62f45188b742a4d20b601170ba8b9bdb5c803,https://github.com/starship/starship/tree/1558b22bb04dfb0f60094c2f488ea94290b27846,https://github.com/starship/starship/compare/edc62f45188b742a4d20b601170ba8b9bdb5c803...1558b22bb04dfb0f60094c2f488ea94290b27846
5,Starship,d71373b26583a2175765ac3337be3492e1978243,b2ebd245063d8d0f5319b9de436e9d8564fb2d5e,661,https://github.com/starship/starship/issues/661,https://github.com/starship/starship/tree/d71373b26583a2175765ac3337be3492e1978243,https://github.com/starship/starship/tree/b2ebd245063d8d0f5319b9de436e9d8564fb2d5e,https://github.com/starship/starship/compare/d71373b26583a2175765ac3337be3492e1978243...b2ebd245063d8d0f5319b9de436e9d8564fb2d5e
6,Starship,f267b3debe66da6d94ba3e4a329eb524f81e946c,bbba4e1657f518fdddb2cf2f3e8769e72c706255,1020,https://github.com/starship/starship/issues/1020,https://github.com/starship/starship/tree/f267b3debe66da6d94ba3e4a329eb524f81e946c,https://github.com/starship/starship/tree/bbba4e1657f518fdddb2cf2f3e8769e72c706255,https://github.com/starship/starship/compare/f267b3debe66da6d94ba3e4a329eb524f81e946c...bbba4e1657f518fdddb2cf2f3e8769e72c706255
7,Starship,b9057433645e5c0087f63fbad11c2957cc7fd9de,8d90baf0eb299710585c12bb9629b20fd696c3ff,686,https://github.com/starship/starship/issues/686,https://github.com/starship/starship/tree/b9057433645e5c0087f63fbad11c2957cc7fd9de,https://github.com/starship/starship/tree/8d90baf0eb299710585c12bb9629b20fd696c3ff,https://github.com/starship/starship/compare/b9057433645e5c0087f63fbad11c2957cc7fd9de...8d90baf0eb299710585c12bb9629b20fd696c3ff
8,Starship,8d90baf0eb299710585c12bb9629b20fd696c3ff,77184503111e5d2e95a9874ab7ce0d5d2ecdc139,1048,https://github.com/starship/starship/issues/1048,https://github.com/starship/starship/tree/8d90baf0eb299710585c12bb9629b20fd696c3ff,https://github.com/starship/starship/tree/77184503111e5d2e95a9874ab7ce0d5d2ecdc139,https://github.com/starship/starship/compare/8d90baf0eb299710585c12bb9629b20fd696c3ff...77184503111e5d2e95a9874ab7ce0d5d2ecdc139
9,Starship,329b3c791d321f95e484c1c62fc46b314016a309,ab1c3d1c5431a4fbc9a7e2d268feb28c0c2b8e5f,1065,https://github.com/starship/starship/issues/1065,https://github.com/starship/starship/tree/329b3c791d321f95e484c1c62fc46b314016a309,https://github.com/starship/starship/tree/ab1c3d1c5431a4fbc9a7e2d268feb28c0c2b8e5f,https://github.com/starship/starship/compare/329b3c791d321f95e484c1c62fc46b314016a309...ab1c3d1c5431a4fbc9a7e2d268feb28c0c2b8e5f
10,Starship,ee3c0ec9d540898de27b747946764fd8410874eb,d21cb62e3aa1fa6384c58b21a274254416d085e1,1319,https://github.com/starship/starship/issues/1319,https://github.com/starship/starship/tree/ee3c0ec9d540898de27b747946764fd8410874eb,https://github.com/starship/starship/tree/d21cb62e3aa1fa6384c58b21a274254416d085e1,https://github.com/starship/starship/compare/ee3c0ec9d540898de27b747946764fd8410874eb...d21cb62e3aa1fa6384c58b21a274254416d085e1
11,Starship,021d82a224ffe6d3bfc4802fe0178c2f0a92f113,489838e6a24ea1c08be6abe56d066724a1d59abd,1327,https://github.com/starship/starship/issues/1327,https://github.com/starship/starship/tree/021d82a224ffe6d3bfc4802fe0178c2f0a92f113,https://github.com/starship/starship/tree/489838e6a24ea1c08be6abe56d066724a1d59abd,https://github.com/starship/starship/compare/021d82a224ffe6d3bfc4802fe0178c2f0a92f113...489838e6a24ea1c08be6abe56d066724a1d59abd
12,Starship,57c39437bc50992dfe11b104229db854cb912a18,08b74c1672d886de2112223e0e57d3e36f376f15,1371,https://github.com/starship/starship/issues/1371,https://github.com/starship/starship/tree/57c39437bc50992dfe11b104229db854cb912a18,https://github.com/starship/starship/tree/08b74c1672d886de2112223e0e57d3e36f376f15,https://github.com/starship/starship/compare/57c39437bc50992dfe11b104229db854cb912a18...08b74c1672d886de2112223e0e57d3e36f376f15
13,Starship,7c15b26ac977dc2f703f516cfe5cb4002c7d2032,ce73f6347fc3a2b07d67ae72854f442573296fd9,1706,https://github.com/starship/starship/issues/1706,https://github.com/starship/starship/tree/7c15b26ac977dc2f703f516cfe5cb4002c7d2032,https://github.com/starship/starship/tree/ce73f6347fc3a2b07d67ae72854f442573296fd9,https://github.com/starship/starship/compare/7c15b26ac977dc2f703f516cfe5cb4002c7d2032...ce73f6347fc3a2b07d67ae72854f442573296fd9
14,Starship,2693d125a8bcf30efab2441139d5c3a898f56a07,1673d565f424331d599d8c4bfba75b1250c02508,1162,https://github.com/starship/starship/issues/1162,https://github.com/starship/starship/tree/2693d125a8bcf30efab2441139d5c3a898f56a07,https://github.com/starship/starship/tree/1673d565f424331d599d8c4bfba75b1250c02508,https://github.com/starship/starship/compare/2693d125a8bcf30efab2441139d5c3a898f56a07...1673d565f424331d599d8c4bfba75b1250c02508
15,Starship,8cd4850ab6c293f72af7b35416ba2bc638fed1f4,f03c3f1de9ddf47844d3cf02ddca2c282f7e3465,894,https://github.com/starship/starship/issues/894,https://github.com/starship/starship/tree/8cd4850ab6c293f72af7b35416ba2bc638fed1f4,https://github.com/starship/starship/tree/f03c3f1de9ddf47844d3cf02ddca2c282f7e3465,https://github.com/starship/starship/compare/8cd4850ab6c293f72af7b35416ba2bc638fed1f4...f03c3f1de9ddf47844d3cf02ddca2c282f7e3465
16,Starship,851cf22caab1461ff74848998fb81a077ac932dd,be11c735079d69a7ee52791fa297caaa78304e3b,2063,https://github.com/starship/starship/issues/2063,https://github.com/starship/starship/tree/851cf22caab1461ff74848998fb81a077ac932dd,https://github.com/starship/starship/tree/be11c735079d69a7ee52791fa297caaa78304e3b,https://github.com/starship/starship/compare/851cf22caab1461ff74848998fb81a077ac932dd...be11c735079d69a7ee52791fa297caaa78304e3b
17,Starship,383d2df580dab30c56e9589b4033b7e2f867bc1d,3127a9aa871342e295e4fc83c01b6bd04a4957ed,2241,https://github.com/starship/starship/issues/2241,https://github.com/starship/starship/tree/383d2df580dab30c56e9589b4033b7e2f867bc1d,https://github.com/starship/starship/tree/3127a9aa871342e295e4fc83c01b6bd04a4957ed,https://github.com/starship/starship/compare/383d2df580dab30c56e9589b4033b7e2f867bc1d...3127a9aa871342e295e4fc83c01b6bd04a4957ed
18,Starship,22dc8b842e721c440aa98035dd2dff30c7fe6497,c9c3455e23321212b0ece0ba49d5e412beef06db,2254,https://github.com/starship/starship/issues/2254,https://github.com/starship/starship/tree/22dc8b842e721c440aa98035dd2dff30c7fe6497,https://github.com/starship/starship/tree/c9c3455e23321212b0ece0ba49d5e412beef06db,https://github.com/starship/starship/compare/22dc8b842e721c440aa98035dd2dff30c7fe6497...c9c3455e23321212b0ece0ba49d5e412beef06db
19,Starship,0a091bd236421cc36a8aba015915c28cdb4d0323,3513aae3ed1c58670de110eaf71e6f21c330416c,2474,https://github.com/starship/starship/issues/2474,https://github.com/starship/starship/tree/0a091bd236421cc36a8aba015915c28cdb4d0323,https://github.com/starship/starship/tree/3513aae3ed1c58670de110eaf71e6f21c330416c,https://github.com/starship/starship/compare/0a091bd236421cc36a8aba015915c28cdb4d0323...3513aae3ed1c58670de110eaf71e6f21c330416c
