bug.id,project_id,revision.id.buggy,revision.id.fixed,report.id,report.url,buggy_commit_url,fixed_commit_url,compare_url
1,Stash_jenkins_postreceive_webhook,8efa5a80db491c23f9ec01737096119966b6e104,f9e18702d08c2161d519586fa82b8cb05cab4207,16,https://github.com/mohamicorp/stash-jenkins-postreceive-webhook/issues/16,https://github.com/mohamicorp/stash-jenkins-postreceive-webhook/tree/8efa5a80db491c23f9ec01737096119966b6e104,https://github.com/mohamicorp/stash-jenkins-postreceive-webhook/tree/f9e18702d08c2161d519586fa82b8cb05cab4207,https://github.com/mohamicorp/stash-jenkins-postreceive-webhook/compare/8efa5a80db491c23f9ec01737096119966b6e104...f9e18702d08c2161d519586fa82b8cb05cab4207
2,Stash_jenkins_postreceive_webhook,aff76f952c400c008b9723fa676dc5af943b9139,1ca782b87ddeb56b8623f90ae33ac4d05d845391,24,https://github.com/mohamicorp/stash-jenkins-postreceive-webhook/issues/24,https://github.com/mohamicorp/stash-jenkins-postreceive-webhook/tree/aff76f952c400c008b9723fa676dc5af943b9139,https://github.com/mohamicorp/stash-jenkins-postreceive-webhook/tree/1ca782b87ddeb56b8623f90ae33ac4d05d845391,https://github.com/mohamicorp/stash-jenkins-postreceive-webhook/compare/aff76f952c400c008b9723fa676dc5af943b9139...1ca782b87ddeb56b8623f90ae33ac4d05d845391
3,Stash_jenkins_postreceive_webhook,1ca782b87ddeb56b8623f90ae33ac4d05d845391,cf5bda3f1c48eab79ed5779c1ec553f61a11494e,24,https://github.com/mohamicorp/stash-jenkins-postreceive-webhook/issues/24,https://github.com/mohamicorp/stash-jenkins-postreceive-webhook/tree/1ca782b87ddeb56b8623f90ae33ac4d05d845391,https://github.com/mohamicorp/stash-jenkins-postreceive-webhook/tree/cf5bda3f1c48eab79ed5779c1ec553f61a11494e,https://github.com/mohamicorp/stash-jenkins-postreceive-webhook/compare/1ca782b87ddeb56b8623f90ae33ac4d05d845391...cf5bda3f1c48eab79ed5779c1ec553f61a11494e
4,Stash_jenkins_postreceive_webhook,b5ca0c15d15baf444687fff6d1e545d7472f102f,781202aad26096a342e2f9795faf178a1e94376a,32,https://github.com/mohamicorp/stash-jenkins-postreceive-webhook/issues/32,https://github.com/mohamicorp/stash-jenkins-postreceive-webhook/tree/b5ca0c15d15baf444687fff6d1e545d7472f102f,https://github.com/mohamicorp/stash-jenkins-postreceive-webhook/tree/781202aad26096a342e2f9795faf178a1e94376a,https://github.com/mohamicorp/stash-jenkins-postreceive-webhook/compare/b5ca0c15d15baf444687fff6d1e545d7472f102f...781202aad26096a342e2f9795faf178a1e94376a
5,Stash_jenkins_postreceive_webhook,98d4e8691f77c9a62e757fbd4b9ef8aa76bb4850,4c2d0ee20b307a5ecb87fb1d9869a715f4e0fc5c,38,https://github.com/mohamicorp/stash-jenkins-postreceive-webhook/issues/38,https://github.com/mohamicorp/stash-jenkins-postreceive-webhook/tree/98d4e8691f77c9a62e757fbd4b9ef8aa76bb4850,https://github.com/mohamicorp/stash-jenkins-postreceive-webhook/tree/4c2d0ee20b307a5ecb87fb1d9869a715f4e0fc5c,https://github.com/mohamicorp/stash-jenkins-postreceive-webhook/compare/98d4e8691f77c9a62e757fbd4b9ef8aa76bb4850...4c2d0ee20b307a5ecb87fb1d9869a715f4e0fc5c
6,Stash_jenkins_postreceive_webhook,f5554a0f69d7ab11ca1e85199fa84af61ecac23f,82d1085a1c78197f654d22a2ae830fd4cd8afd92,38,https://github.com/mohamicorp/stash-jenkins-postreceive-webhook/issues/38,https://github.com/mohamicorp/stash-jenkins-postreceive-webhook/tree/f5554a0f69d7ab11ca1e85199fa84af61ecac23f,https://github.com/mohamicorp/stash-jenkins-postreceive-webhook/tree/82d1085a1c78197f654d22a2ae830fd4cd8afd92,https://github.com/mohamicorp/stash-jenkins-postreceive-webhook/compare/f5554a0f69d7ab11ca1e85199fa84af61ecac23f...82d1085a1c78197f654d22a2ae830fd4cd8afd92
7,Stash_jenkins_postreceive_webhook,6a1d404c3458912f6674a347c8265dcb22668c90,864cacbe807b0066a31182ea0b963d68d885def6,45,https://github.com/mohamicorp/stash-jenkins-postreceive-webhook/issues/45,https://github.com/mohamicorp/stash-jenkins-postreceive-webhook/tree/6a1d404c3458912f6674a347c8265dcb22668c90,https://github.com/mohamicorp/stash-jenkins-postreceive-webhook/tree/864cacbe807b0066a31182ea0b963d68d885def6,https://github.com/mohamicorp/stash-jenkins-postreceive-webhook/compare/6a1d404c3458912f6674a347c8265dcb22668c90...864cacbe807b0066a31182ea0b963d68d885def6
8,Stash_jenkins_postreceive_webhook,864cacbe807b0066a31182ea0b963d68d885def6,05e1c50267f880837cf5ba3648f22ad97977a30c,45,https://github.com/mohamicorp/stash-jenkins-postreceive-webhook/issues/45,https://github.com/mohamicorp/stash-jenkins-postreceive-webhook/tree/864cacbe807b0066a31182ea0b963d68d885def6,https://github.com/mohamicorp/stash-jenkins-postreceive-webhook/tree/05e1c50267f880837cf5ba3648f22ad97977a30c,https://github.com/mohamicorp/stash-jenkins-postreceive-webhook/compare/864cacbe807b0066a31182ea0b963d68d885def6...05e1c50267f880837cf5ba3648f22ad97977a30c
9,Stash_jenkins_postreceive_webhook,3abe9e908dbe54ccd21072ca82e14a11b120905d,e3b49b2462a6352b2882f5c07a86aa9d9378c275,45,https://github.com/mohamicorp/stash-jenkins-postreceive-webhook/issues/45,https://github.com/mohamicorp/stash-jenkins-postreceive-webhook/tree/3abe9e908dbe54ccd21072ca82e14a11b120905d,https://github.com/mohamicorp/stash-jenkins-postreceive-webhook/tree/e3b49b2462a6352b2882f5c07a86aa9d9378c275,https://github.com/mohamicorp/stash-jenkins-postreceive-webhook/compare/3abe9e908dbe54ccd21072ca82e14a11b120905d...e3b49b2462a6352b2882f5c07a86aa9d9378c275
10,Stash_jenkins_postreceive_webhook,e3b49b2462a6352b2882f5c07a86aa9d9378c275,5c01d8f496e1ee731d80b1dfed204aa661279af9,45,https://github.com/mohamicorp/stash-jenkins-postreceive-webhook/issues/45,https://github.com/mohamicorp/stash-jenkins-postreceive-webhook/tree/e3b49b2462a6352b2882f5c07a86aa9d9378c275,https://github.com/mohamicorp/stash-jenkins-postreceive-webhook/tree/5c01d8f496e1ee731d80b1dfed204aa661279af9,https://github.com/mohamicorp/stash-jenkins-postreceive-webhook/compare/e3b49b2462a6352b2882f5c07a86aa9d9378c275...5c01d8f496e1ee731d80b1dfed204aa661279af9
11,Stash_jenkins_postreceive_webhook,a8f185f597221ae79c9fd99ce384911a2c972610,6217eafba1de66b935423e102d8b47a08303bd8d,45,https://github.com/mohamicorp/stash-jenkins-postreceive-webhook/issues/45,https://github.com/mohamicorp/stash-jenkins-postreceive-webhook/tree/a8f185f597221ae79c9fd99ce384911a2c972610,https://github.com/mohamicorp/stash-jenkins-postreceive-webhook/tree/6217eafba1de66b935423e102d8b47a08303bd8d,https://github.com/mohamicorp/stash-jenkins-postreceive-webhook/compare/a8f185f597221ae79c9fd99ce384911a2c972610...6217eafba1de66b935423e102d8b47a08303bd8d
12,Stash_jenkins_postreceive_webhook,3b153023c39c403c0778ec580ecc53f0d4acb645,32f2a576be46175feb9fb225c610549e6975d6a9,47,https://github.com/mohamicorp/stash-jenkins-postreceive-webhook/issues/47,https://github.com/mohamicorp/stash-jenkins-postreceive-webhook/tree/3b153023c39c403c0778ec580ecc53f0d4acb645,https://github.com/mohamicorp/stash-jenkins-postreceive-webhook/tree/32f2a576be46175feb9fb225c610549e6975d6a9,https://github.com/mohamicorp/stash-jenkins-postreceive-webhook/compare/3b153023c39c403c0778ec580ecc53f0d4acb645...32f2a576be46175feb9fb225c610549e6975d6a9
13,Stash_jenkins_postreceive_webhook,872ad0b65274f261a94a28bf9bf50ed2faef0712,767723f9b39f6273cc51e9446a4456e7a80f6398,49,https://github.com/mohamicorp/stash-jenkins-postreceive-webhook/issues/49,https://github.com/mohamicorp/stash-jenkins-postreceive-webhook/tree/872ad0b65274f261a94a28bf9bf50ed2faef0712,https://github.com/mohamicorp/stash-jenkins-postreceive-webhook/tree/767723f9b39f6273cc51e9446a4456e7a80f6398,https://github.com/mohamicorp/stash-jenkins-postreceive-webhook/compare/872ad0b65274f261a94a28bf9bf50ed2faef0712...767723f9b39f6273cc51e9446a4456e7a80f6398
14,Stash_jenkins_postreceive_webhook,29959a18cb5d4195f2e27bca3d24aae9621fd74c,fc27ed1147c7484e9958e64177bc928cfd4086ba,51,https://github.com/mohamicorp/stash-jenkins-postreceive-webhook/issues/51,https://github.com/mohamicorp/stash-jenkins-postreceive-webhook/tree/29959a18cb5d4195f2e27bca3d24aae9621fd74c,https://github.com/mohamicorp/stash-jenkins-postreceive-webhook/tree/fc27ed1147c7484e9958e64177bc928cfd4086ba,https://github.com/mohamicorp/stash-jenkins-postreceive-webhook/compare/29959a18cb5d4195f2e27bca3d24aae9621fd74c...fc27ed1147c7484e9958e64177bc928cfd4086ba
15,Stash_jenkins_postreceive_webhook,fc27ed1147c7484e9958e64177bc928cfd4086ba,2f13ea18512cdeff79057dd61b1e80c3b69de883,51,https://github.com/mohamicorp/stash-jenkins-postreceive-webhook/issues/51,https://github.com/mohamicorp/stash-jenkins-postreceive-webhook/tree/fc27ed1147c7484e9958e64177bc928cfd4086ba,https://github.com/mohamicorp/stash-jenkins-postreceive-webhook/tree/2f13ea18512cdeff79057dd61b1e80c3b69de883,https://github.com/mohamicorp/stash-jenkins-postreceive-webhook/compare/fc27ed1147c7484e9958e64177bc928cfd4086ba...2f13ea18512cdeff79057dd61b1e80c3b69de883
16,Stash_jenkins_postreceive_webhook,2f13ea18512cdeff79057dd61b1e80c3b69de883,c635a39c45e71c33483c0ec5c248a10b69de8a97,51,https://github.com/mohamicorp/stash-jenkins-postreceive-webhook/issues/51,https://github.com/mohamicorp/stash-jenkins-postreceive-webhook/tree/2f13ea18512cdeff79057dd61b1e80c3b69de883,https://github.com/mohamicorp/stash-jenkins-postreceive-webhook/tree/c635a39c45e71c33483c0ec5c248a10b69de8a97,https://github.com/mohamicorp/stash-jenkins-postreceive-webhook/compare/2f13ea18512cdeff79057dd61b1e80c3b69de883...c635a39c45e71c33483c0ec5c248a10b69de8a97
17,Stash_jenkins_postreceive_webhook,a4b0f885eb18744302a9699017e1937948979457,5cb5ecceb5e7416f29dbb085278f29c8cdf93136,58,https://github.com/mohamicorp/stash-jenkins-postreceive-webhook/issues/58,https://github.com/mohamicorp/stash-jenkins-postreceive-webhook/tree/a4b0f885eb18744302a9699017e1937948979457,https://github.com/mohamicorp/stash-jenkins-postreceive-webhook/tree/5cb5ecceb5e7416f29dbb085278f29c8cdf93136,https://github.com/mohamicorp/stash-jenkins-postreceive-webhook/compare/a4b0f885eb18744302a9699017e1937948979457...5cb5ecceb5e7416f29dbb085278f29c8cdf93136
18,Stash_jenkins_postreceive_webhook,5cb5ecceb5e7416f29dbb085278f29c8cdf93136,b65b29a5f37d55aa2d1a84dec7f20ba9619c3e81,58,https://github.com/mohamicorp/stash-jenkins-postreceive-webhook/issues/58,https://github.com/mohamicorp/stash-jenkins-postreceive-webhook/tree/5cb5ecceb5e7416f29dbb085278f29c8cdf93136,https://github.com/mohamicorp/stash-jenkins-postreceive-webhook/tree/b65b29a5f37d55aa2d1a84dec7f20ba9619c3e81,https://github.com/mohamicorp/stash-jenkins-postreceive-webhook/compare/5cb5ecceb5e7416f29dbb085278f29c8cdf93136...b65b29a5f37d55aa2d1a84dec7f20ba9619c3e81
19,Stash_jenkins_postreceive_webhook,d4c9709557504c72473210c413592827b5460f0f,aeb03247d16d98c675c22f543ec7bf33a44556c4,66,https://github.com/mohamicorp/stash-jenkins-postreceive-webhook/issues/66,https://github.com/mohamicorp/stash-jenkins-postreceive-webhook/tree/d4c9709557504c72473210c413592827b5460f0f,https://github.com/mohamicorp/stash-jenkins-postreceive-webhook/tree/aeb03247d16d98c675c22f543ec7bf33a44556c4,https://github.com/mohamicorp/stash-jenkins-postreceive-webhook/compare/d4c9709557504c72473210c413592827b5460f0f...aeb03247d16d98c675c22f543ec7bf33a44556c4
20,Stash_jenkins_postreceive_webhook,031dba899ba4295cac90fed5aa69a355dfdc465c,96dd0f65b4fc53509374b72a22ac5f135c639abd,75,https://github.com/mohamicorp/stash-jenkins-postreceive-webhook/issues/75,https://github.com/mohamicorp/stash-jenkins-postreceive-webhook/tree/031dba899ba4295cac90fed5aa69a355dfdc465c,https://github.com/mohamicorp/stash-jenkins-postreceive-webhook/tree/96dd0f65b4fc53509374b72a22ac5f135c639abd,https://github.com/mohamicorp/stash-jenkins-postreceive-webhook/compare/031dba899ba4295cac90fed5aa69a355dfdc465c...96dd0f65b4fc53509374b72a22ac5f135c639abd
