bug.id,project_id,revision.id.buggy,revision.id.fixed,report.id,report.url,buggy_commit_url,fixed_commit_url,compare_url
1,Storm_client,d8368b0e5dc23b0ad0b5972bac31b50334341bbb,41fdd98fffff52c346e5358ac8e704fc5b49ea66,STORM-1114,https://issues.apache.org/jira/browse/STORM-1114,https://www.github.com/apache/storm/tree/d8368b0e5dc23b0ad0b5972bac31b50334341bbb,https://www.github.com/apache/storm/tree/41fdd98fffff52c346e5358ac8e704fc5b49ea66,https://www.github.com/apache/storm/compare/d8368b0e5dc23b0ad0b5972bac31b50334341bbb...41fdd98fffff52c346e5358ac8e704fc5b49ea66
2,Storm_client,4a3a238dcc29f19720bc3c05f51b7f4df9bfaf8e,2823682d1de37676b76011535fdbe3dd311208cd,STORM-2475,https://issues.apache.org/jira/browse/STORM-2475,https://www.github.com/apache/storm/tree/4a3a238dcc29f19720bc3c05f51b7f4df9bfaf8e,https://www.github.com/apache/storm/tree/2823682d1de37676b76011535fdbe3dd311208cd,https://www.github.com/apache/storm/compare/4a3a238dcc29f19720bc3c05f51b7f4df9bfaf8e...2823682d1de37676b76011535fdbe3dd311208cd
3,Storm_client,c38d7950a347e906a8ebe7b2889c65c6e8e8c936,1044473bb191c15dabfa434b8126f2fa523f59c9,STORM-2479,https://issues.apache.org/jira/browse/STORM-2479,https://www.github.com/apache/storm/tree/c38d7950a347e906a8ebe7b2889c65c6e8e8c936,https://www.github.com/apache/storm/tree/1044473bb191c15dabfa434b8126f2fa523f59c9,https://www.github.com/apache/storm/compare/c38d7950a347e906a8ebe7b2889c65c6e8e8c936...1044473bb191c15dabfa434b8126f2fa523f59c9
4,Storm_client,5b270d3d74587c5df4d45a31838e21d8cfd60ca2,f56ab4477e28c500575934c987780478bc1319b7,STORM-2496,https://issues.apache.org/jira/browse/STORM-2496,https://www.github.com/apache/storm/tree/5b270d3d74587c5df4d45a31838e21d8cfd60ca2,https://www.github.com/apache/storm/tree/f56ab4477e28c500575934c987780478bc1319b7,https://www.github.com/apache/storm/compare/5b270d3d74587c5df4d45a31838e21d8cfd60ca2...f56ab4477e28c500575934c987780478bc1319b7
5,Storm_client,bfd10066cc86b66fe7e71c7c09b33d628bd3d20e,2aa415498df01b450562368d7c38643a3456189f,STORM-2511,https://issues.apache.org/jira/browse/STORM-2511,https://www.github.com/apache/storm/tree/bfd10066cc86b66fe7e71c7c09b33d628bd3d20e,https://www.github.com/apache/storm/tree/2aa415498df01b450562368d7c38643a3456189f,https://www.github.com/apache/storm/compare/bfd10066cc86b66fe7e71c7c09b33d628bd3d20e...2aa415498df01b450562368d7c38643a3456189f
6,Storm_client,7742398d0c6cec5eedc03bffe0a4e7350ad4ea30,9c1ab5b8c97dfacda3daa199d8a2383495b69374,STORM-2503,https://issues.apache.org/jira/browse/STORM-2503,https://www.github.com/apache/storm/tree/7742398d0c6cec5eedc03bffe0a4e7350ad4ea30,https://www.github.com/apache/storm/tree/9c1ab5b8c97dfacda3daa199d8a2383495b69374,https://www.github.com/apache/storm/compare/7742398d0c6cec5eedc03bffe0a4e7350ad4ea30...9c1ab5b8c97dfacda3daa199d8a2383495b69374
7,Storm_client,d4ee957a9d677f7ea2ec684915ea88f7717f5d6e,3a1d2d64aef43b49d5f249785d92567eb712d4e8,STORM-2518,https://issues.apache.org/jira/browse/STORM-2518,https://www.github.com/apache/storm/tree/d4ee957a9d677f7ea2ec684915ea88f7717f5d6e,https://www.github.com/apache/storm/tree/3a1d2d64aef43b49d5f249785d92567eb712d4e8,https://www.github.com/apache/storm/compare/d4ee957a9d677f7ea2ec684915ea88f7717f5d6e...3a1d2d64aef43b49d5f249785d92567eb712d4e8
8,Storm_client,2a0c168dba1edc72b2dae6a40a693fdd264225b9,1db867449c2e2dd8b17cbe464f5ac9ac972f8ff7,STORM-2525,https://issues.apache.org/jira/browse/STORM-2525,https://www.github.com/apache/storm/tree/2a0c168dba1edc72b2dae6a40a693fdd264225b9,https://www.github.com/apache/storm/tree/1db867449c2e2dd8b17cbe464f5ac9ac972f8ff7,https://www.github.com/apache/storm/compare/2a0c168dba1edc72b2dae6a40a693fdd264225b9...1db867449c2e2dd8b17cbe464f5ac9ac972f8ff7
9,Storm_client,779e5665696f5f10cf9674283420278f38c7a05c,185101dd8cd4955e37279670d8ae3f61e43f37a6,STORM-2526,https://issues.apache.org/jira/browse/STORM-2526,https://www.github.com/apache/storm/tree/779e5665696f5f10cf9674283420278f38c7a05c,https://www.github.com/apache/storm/tree/185101dd8cd4955e37279670d8ae3f61e43f37a6,https://www.github.com/apache/storm/compare/779e5665696f5f10cf9674283420278f38c7a05c...185101dd8cd4955e37279670d8ae3f61e43f37a6
10,Storm_client,30cbae5795176351085f66a8eda55d90a75cc91d,01b856479ab147fc148c928a500dbea4251fbf12,STORM-2532,https://issues.apache.org/jira/browse/STORM-2532,https://www.github.com/apache/storm/tree/30cbae5795176351085f66a8eda55d90a75cc91d,https://www.github.com/apache/storm/tree/01b856479ab147fc148c928a500dbea4251fbf12,https://www.github.com/apache/storm/compare/30cbae5795176351085f66a8eda55d90a75cc91d...01b856479ab147fc148c928a500dbea4251fbf12
