bug.id,project_id,revision.id.buggy,revision.id.fixed,report.id,report.url,buggy_commit_url,fixed_commit_url,compare_url
1,Storybook,f1765bfd2d116c1022bdb8f2ff9295e3cc368dbb,487c94ff98163df4202e20ab456883da1d8ca7db,20478,https://github.com/storybookjs/storybook/issues/20478,https://github.com/storybookjs/storybook/tree/f1765bfd2d116c1022bdb8f2ff9295e3cc368dbb,https://github.com/storybookjs/storybook/tree/487c94ff98163df4202e20ab456883da1d8ca7db,https://github.com/storybookjs/storybook/compare/f1765bfd2d116c1022bdb8f2ff9295e3cc368dbb...487c94ff98163df4202e20ab456883da1d8ca7db
2,Storybook,3b598f7b7edd5c67847ace4018f78748e0c324e9,59079deb0553baf7a435b56d34b5e91a1dfba296,20675,https://github.com/storybookjs/storybook/issues/20675,https://github.com/storybookjs/storybook/tree/3b598f7b7edd5c67847ace4018f78748e0c324e9,https://github.com/storybookjs/storybook/tree/59079deb0553baf7a435b56d34b5e91a1dfba296,https://github.com/storybookjs/storybook/compare/3b598f7b7edd5c67847ace4018f78748e0c324e9...59079deb0553baf7a435b56d34b5e91a1dfba296
3,Storybook,9e4ab668f8db7bd3d3f0341c35da90a7d76d7192,48de27a1a01a0cb2392858fb931176140514d648,21101,https://github.com/storybookjs/storybook/issues/21101,https://github.com/storybookjs/storybook/tree/9e4ab668f8db7bd3d3f0341c35da90a7d76d7192,https://github.com/storybookjs/storybook/tree/48de27a1a01a0cb2392858fb931176140514d648,https://github.com/storybookjs/storybook/compare/9e4ab668f8db7bd3d3f0341c35da90a7d76d7192...48de27a1a01a0cb2392858fb931176140514d648
4,Storybook,0c7d7cc7772f9e7387a19c4ea42de3370bcb60c2,7d81483e4810e0084a0e14458632e62c8ebd049d,21343,https://github.com/storybookjs/storybook/issues/21343,https://github.com/storybookjs/storybook/tree/0c7d7cc7772f9e7387a19c4ea42de3370bcb60c2,https://github.com/storybookjs/storybook/tree/7d81483e4810e0084a0e14458632e62c8ebd049d,https://github.com/storybookjs/storybook/compare/0c7d7cc7772f9e7387a19c4ea42de3370bcb60c2...7d81483e4810e0084a0e14458632e62c8ebd049d
5,Storybook,bfbd0e0a088a9b0b7ee92db0ac4bce58ab67407c,59c72cefc689e2f69ef9a424a94d9f76db8dd1e0,21916,https://github.com/storybookjs/storybook/issues/21916,https://github.com/storybookjs/storybook/tree/bfbd0e0a088a9b0b7ee92db0ac4bce58ab67407c,https://github.com/storybookjs/storybook/tree/59c72cefc689e2f69ef9a424a94d9f76db8dd1e0,https://github.com/storybookjs/storybook/compare/bfbd0e0a088a9b0b7ee92db0ac4bce58ab67407c...59c72cefc689e2f69ef9a424a94d9f76db8dd1e0
6,Storybook,3531eb3b0ac2fcfeb24645c099b4b5e2c742bbc1,16d0156fa17306ecfc94938dc425d75917ad9944,23463,https://github.com/storybookjs/storybook/issues/23463,https://github.com/storybookjs/storybook/tree/3531eb3b0ac2fcfeb24645c099b4b5e2c742bbc1,https://github.com/storybookjs/storybook/tree/16d0156fa17306ecfc94938dc425d75917ad9944,https://github.com/storybookjs/storybook/compare/3531eb3b0ac2fcfeb24645c099b4b5e2c742bbc1...16d0156fa17306ecfc94938dc425d75917ad9944
7,Storybook,7830782b6df527828e215aa64bb2b73d42404b00,81063546f161b87604861cf2f6ae93f4940d2b7e,23903,https://github.com/storybookjs/storybook/issues/23903,https://github.com/storybookjs/storybook/tree/7830782b6df527828e215aa64bb2b73d42404b00,https://github.com/storybookjs/storybook/tree/81063546f161b87604861cf2f6ae93f4940d2b7e,https://github.com/storybookjs/storybook/compare/7830782b6df527828e215aa64bb2b73d42404b00...81063546f161b87604861cf2f6ae93f4940d2b7e
8,Storybook,1fac5e1ef1b05de2c1ab779d042b9ecd348a2875,d1d6100f524efeb84ae401f5777ee1b94b29f4d6,25819,https://github.com/storybookjs/storybook/issues/25819,https://github.com/storybookjs/storybook/tree/1fac5e1ef1b05de2c1ab779d042b9ecd348a2875,https://github.com/storybookjs/storybook/tree/d1d6100f524efeb84ae401f5777ee1b94b29f4d6,https://github.com/storybookjs/storybook/compare/1fac5e1ef1b05de2c1ab779d042b9ecd348a2875...d1d6100f524efeb84ae401f5777ee1b94b29f4d6
9,Storybook,0cfd1413cc859e71f782dc12a4ab0a983906859a,c9dc4e01a05b21d9163c7d29d88ea31fd1468c20,25759,https://github.com/storybookjs/storybook/issues/25759,https://github.com/storybookjs/storybook/tree/0cfd1413cc859e71f782dc12a4ab0a983906859a,https://github.com/storybookjs/storybook/tree/c9dc4e01a05b21d9163c7d29d88ea31fd1468c20,https://github.com/storybookjs/storybook/compare/0cfd1413cc859e71f782dc12a4ab0a983906859a...c9dc4e01a05b21d9163c7d29d88ea31fd1468c20
10,Storybook,913f691e9e7795ca4190bf46e7db23fd5d6ddf70,4011f99fb2e21deecdf5852ca14ead0df0e885ae,26912,https://github.com/storybookjs/storybook/issues/26912,https://github.com/storybookjs/storybook/tree/913f691e9e7795ca4190bf46e7db23fd5d6ddf70,https://github.com/storybookjs/storybook/tree/4011f99fb2e21deecdf5852ca14ead0df0e885ae,https://github.com/storybookjs/storybook/compare/913f691e9e7795ca4190bf46e7db23fd5d6ddf70...4011f99fb2e21deecdf5852ca14ead0df0e885ae
