bug.id,project_id,revision.id.buggy,revision.id.fixed,report.id,report.url,buggy_commit_url,fixed_commit_url,compare_url
1,Streamex,d4735528834ee28f08fb0ba70badeff76a79e93a,e747391f72a4de98a35139c6ac05c14202e8e76d,4,https://github.com/amaembo/streamex/issues/4,https://www.github.com/amaembo/streamex/tree/d4735528834ee28f08fb0ba70badeff76a79e93a,https://www.github.com/amaembo/streamex/tree/e747391f72a4de98a35139c6ac05c14202e8e76d,https://www.github.com/amaembo/streamex/compare/d4735528834ee28f08fb0ba70badeff76a79e93a...e747391f72a4de98a35139c6ac05c14202e8e76d
2,Streamex,e747391f72a4de98a35139c6ac05c14202e8e76d,f0ba2f895c9a73be377b3582bb40862d70ad9291,4,https://github.com/amaembo/streamex/issues/4,https://www.github.com/amaembo/streamex/tree/e747391f72a4de98a35139c6ac05c14202e8e76d,https://www.github.com/amaembo/streamex/tree/f0ba2f895c9a73be377b3582bb40862d70ad9291,https://www.github.com/amaembo/streamex/compare/e747391f72a4de98a35139c6ac05c14202e8e76d...f0ba2f895c9a73be377b3582bb40862d70ad9291
3,Streamex,2403571aaf2b6edadeeddd644da56d62662c0ef6,0e55e8605acadb580434b551b0a228a92429477a,11,https://github.com/amaembo/streamex/issues/11,https://www.github.com/amaembo/streamex/tree/2403571aaf2b6edadeeddd644da56d62662c0ef6,https://www.github.com/amaembo/streamex/tree/0e55e8605acadb580434b551b0a228a92429477a,https://www.github.com/amaembo/streamex/compare/2403571aaf2b6edadeeddd644da56d62662c0ef6...0e55e8605acadb580434b551b0a228a92429477a
4,Streamex,1e9f6e8d26a042255d18d1aeba32149d84db5e2f,8111d5686d1a6a66a44152bda8014bd7973e75bd,11,https://github.com/amaembo/streamex/issues/11,https://www.github.com/amaembo/streamex/tree/1e9f6e8d26a042255d18d1aeba32149d84db5e2f,https://www.github.com/amaembo/streamex/tree/8111d5686d1a6a66a44152bda8014bd7973e75bd,https://www.github.com/amaembo/streamex/compare/1e9f6e8d26a042255d18d1aeba32149d84db5e2f...8111d5686d1a6a66a44152bda8014bd7973e75bd
5,Streamex,8111d5686d1a6a66a44152bda8014bd7973e75bd,45a53a44a67d8f641ca2753b207c7660eb1f2cf1,12,https://github.com/amaembo/streamex/issues/12,https://www.github.com/amaembo/streamex/tree/8111d5686d1a6a66a44152bda8014bd7973e75bd,https://www.github.com/amaembo/streamex/tree/45a53a44a67d8f641ca2753b207c7660eb1f2cf1,https://www.github.com/amaembo/streamex/compare/8111d5686d1a6a66a44152bda8014bd7973e75bd...45a53a44a67d8f641ca2753b207c7660eb1f2cf1
6,Streamex,45a53a44a67d8f641ca2753b207c7660eb1f2cf1,d834368e6a12eca6fa014a47e8693e0bbd1862ce,15,https://github.com/amaembo/streamex/issues/15,https://www.github.com/amaembo/streamex/tree/45a53a44a67d8f641ca2753b207c7660eb1f2cf1,https://www.github.com/amaembo/streamex/tree/d834368e6a12eca6fa014a47e8693e0bbd1862ce,https://www.github.com/amaembo/streamex/compare/45a53a44a67d8f641ca2753b207c7660eb1f2cf1...d834368e6a12eca6fa014a47e8693e0bbd1862ce
7,Streamex,d834368e6a12eca6fa014a47e8693e0bbd1862ce,a50c48df47970e0c610ab5137e064f7e434cd1a0,14,https://github.com/amaembo/streamex/issues/14,https://www.github.com/amaembo/streamex/tree/d834368e6a12eca6fa014a47e8693e0bbd1862ce,https://www.github.com/amaembo/streamex/tree/a50c48df47970e0c610ab5137e064f7e434cd1a0,https://www.github.com/amaembo/streamex/compare/d834368e6a12eca6fa014a47e8693e0bbd1862ce...a50c48df47970e0c610ab5137e064f7e434cd1a0
8,Streamex,a50c48df47970e0c610ab5137e064f7e434cd1a0,4da67f3eed8415095b0a850cb6876295896548ff,14,https://github.com/amaembo/streamex/issues/14,https://www.github.com/amaembo/streamex/tree/a50c48df47970e0c610ab5137e064f7e434cd1a0,https://www.github.com/amaembo/streamex/tree/4da67f3eed8415095b0a850cb6876295896548ff,https://www.github.com/amaembo/streamex/compare/a50c48df47970e0c610ab5137e064f7e434cd1a0...4da67f3eed8415095b0a850cb6876295896548ff
9,Streamex,4da67f3eed8415095b0a850cb6876295896548ff,fb46f9a8214ee5f2e5062897fb1d2943e7eb552c,14,https://github.com/amaembo/streamex/issues/14,https://www.github.com/amaembo/streamex/tree/4da67f3eed8415095b0a850cb6876295896548ff,https://www.github.com/amaembo/streamex/tree/fb46f9a8214ee5f2e5062897fb1d2943e7eb552c,https://www.github.com/amaembo/streamex/compare/4da67f3eed8415095b0a850cb6876295896548ff...fb46f9a8214ee5f2e5062897fb1d2943e7eb552c
10,Streamex,fb46f9a8214ee5f2e5062897fb1d2943e7eb552c,5a84d6865d949d03a0708e502f64ec38aebde825,14,https://github.com/amaembo/streamex/issues/14,https://www.github.com/amaembo/streamex/tree/fb46f9a8214ee5f2e5062897fb1d2943e7eb552c,https://www.github.com/amaembo/streamex/tree/5a84d6865d949d03a0708e502f64ec38aebde825,https://www.github.com/amaembo/streamex/compare/fb46f9a8214ee5f2e5062897fb1d2943e7eb552c...5a84d6865d949d03a0708e502f64ec38aebde825
11,Streamex,5a84d6865d949d03a0708e502f64ec38aebde825,d9a2932accbbca080fd5b60e34b077382b569185,14,https://github.com/amaembo/streamex/issues/14,https://www.github.com/amaembo/streamex/tree/5a84d6865d949d03a0708e502f64ec38aebde825,https://www.github.com/amaembo/streamex/tree/d9a2932accbbca080fd5b60e34b077382b569185,https://www.github.com/amaembo/streamex/compare/5a84d6865d949d03a0708e502f64ec38aebde825...d9a2932accbbca080fd5b60e34b077382b569185
12,Streamex,daa1e8085bc55a634b859147e75c4f6f2a9fd94b,d322c0c5897fbe2c5c84646d99054acf2fff595a,16,https://github.com/amaembo/streamex/issues/16,https://www.github.com/amaembo/streamex/tree/daa1e8085bc55a634b859147e75c4f6f2a9fd94b,https://www.github.com/amaembo/streamex/tree/d322c0c5897fbe2c5c84646d99054acf2fff595a,https://www.github.com/amaembo/streamex/compare/daa1e8085bc55a634b859147e75c4f6f2a9fd94b...d322c0c5897fbe2c5c84646d99054acf2fff595a
13,Streamex,72046969cc38d13e4bf839ebb3619ea6ad69b729,cfd6aa043d017223fc29ec7afbf776603ca81e2f,16,https://github.com/amaembo/streamex/issues/16,https://www.github.com/amaembo/streamex/tree/72046969cc38d13e4bf839ebb3619ea6ad69b729,https://www.github.com/amaembo/streamex/tree/cfd6aa043d017223fc29ec7afbf776603ca81e2f,https://www.github.com/amaembo/streamex/compare/72046969cc38d13e4bf839ebb3619ea6ad69b729...cfd6aa043d017223fc29ec7afbf776603ca81e2f
14,Streamex,cfd6aa043d017223fc29ec7afbf776603ca81e2f,3be966766ffa8153de02fdc435481aee8348a0f4,16,https://github.com/amaembo/streamex/issues/16,https://www.github.com/amaembo/streamex/tree/cfd6aa043d017223fc29ec7afbf776603ca81e2f,https://www.github.com/amaembo/streamex/tree/3be966766ffa8153de02fdc435481aee8348a0f4,https://www.github.com/amaembo/streamex/compare/cfd6aa043d017223fc29ec7afbf776603ca81e2f...3be966766ffa8153de02fdc435481aee8348a0f4
15,Streamex,56bd96e71e97bb27476f18df620e2d5088c3bbad,2ba84e1091cbde28f92b92184c95440be22c63c0,11,https://github.com/amaembo/streamex/issues/11,https://www.github.com/amaembo/streamex/tree/56bd96e71e97bb27476f18df620e2d5088c3bbad,https://www.github.com/amaembo/streamex/tree/2ba84e1091cbde28f92b92184c95440be22c63c0,https://www.github.com/amaembo/streamex/compare/56bd96e71e97bb27476f18df620e2d5088c3bbad...2ba84e1091cbde28f92b92184c95440be22c63c0
16,Streamex,3be966766ffa8153de02fdc435481aee8348a0f4,fc03bff0777d43e1582d47e5d8c4a99cbb0fc4d4,16,https://github.com/amaembo/streamex/issues/16,https://www.github.com/amaembo/streamex/tree/3be966766ffa8153de02fdc435481aee8348a0f4,https://www.github.com/amaembo/streamex/tree/fc03bff0777d43e1582d47e5d8c4a99cbb0fc4d4,https://www.github.com/amaembo/streamex/compare/3be966766ffa8153de02fdc435481aee8348a0f4...fc03bff0777d43e1582d47e5d8c4a99cbb0fc4d4
17,Streamex,fc03bff0777d43e1582d47e5d8c4a99cbb0fc4d4,897edc952144c814d34d9111e5956be6e8e00864,16,https://github.com/amaembo/streamex/issues/16,https://www.github.com/amaembo/streamex/tree/fc03bff0777d43e1582d47e5d8c4a99cbb0fc4d4,https://www.github.com/amaembo/streamex/tree/897edc952144c814d34d9111e5956be6e8e00864,https://www.github.com/amaembo/streamex/compare/fc03bff0777d43e1582d47e5d8c4a99cbb0fc4d4...897edc952144c814d34d9111e5956be6e8e00864
18,Streamex,2ba84e1091cbde28f92b92184c95440be22c63c0,0d6d2a9ba5009913b5e6c04b6d2e7af472f3257b,12,https://github.com/amaembo/streamex/issues/12,https://www.github.com/amaembo/streamex/tree/2ba84e1091cbde28f92b92184c95440be22c63c0,https://www.github.com/amaembo/streamex/tree/0d6d2a9ba5009913b5e6c04b6d2e7af472f3257b,https://www.github.com/amaembo/streamex/compare/2ba84e1091cbde28f92b92184c95440be22c63c0...0d6d2a9ba5009913b5e6c04b6d2e7af472f3257b
19,Streamex,8807c245b4a56aaf4da0c80ca28a7addfa40b013,9b98b8f84ba20c938865a573e50aa01edda2f255,9,https://github.com/amaembo/streamex/issues/9,https://www.github.com/amaembo/streamex/tree/8807c245b4a56aaf4da0c80ca28a7addfa40b013,https://www.github.com/amaembo/streamex/tree/9b98b8f84ba20c938865a573e50aa01edda2f255,https://www.github.com/amaembo/streamex/compare/8807c245b4a56aaf4da0c80ca28a7addfa40b013...9b98b8f84ba20c938865a573e50aa01edda2f255
20,Streamex,897edc952144c814d34d9111e5956be6e8e00864,3ae009dcae866c1d20b1db36689bda3d38f28d83,16,https://github.com/amaembo/streamex/issues/16,https://www.github.com/amaembo/streamex/tree/897edc952144c814d34d9111e5956be6e8e00864,https://www.github.com/amaembo/streamex/tree/3ae009dcae866c1d20b1db36689bda3d38f28d83,https://www.github.com/amaembo/streamex/compare/897edc952144c814d34d9111e5956be6e8e00864...3ae009dcae866c1d20b1db36689bda3d38f28d83
21,Streamex,3ae009dcae866c1d20b1db36689bda3d38f28d83,33d409af1970dbb8bf296f8026929d73c05a01e9,16,https://github.com/amaembo/streamex/issues/16,https://www.github.com/amaembo/streamex/tree/3ae009dcae866c1d20b1db36689bda3d38f28d83,https://www.github.com/amaembo/streamex/tree/33d409af1970dbb8bf296f8026929d73c05a01e9,https://www.github.com/amaembo/streamex/compare/3ae009dcae866c1d20b1db36689bda3d38f28d83...33d409af1970dbb8bf296f8026929d73c05a01e9
22,Streamex,154704dc03e34a707cb98d7ea94330adb61aa8cb,8d10b3ad247ea969ca737df997590e97717718c5,16,https://github.com/amaembo/streamex/issues/16,https://www.github.com/amaembo/streamex/tree/154704dc03e34a707cb98d7ea94330adb61aa8cb,https://www.github.com/amaembo/streamex/tree/8d10b3ad247ea969ca737df997590e97717718c5,https://www.github.com/amaembo/streamex/compare/154704dc03e34a707cb98d7ea94330adb61aa8cb...8d10b3ad247ea969ca737df997590e97717718c5
