bug.id,project_id,revision.id.buggy,revision.id.fixed,report.id,report.url,buggy_commit_url,fixed_commit_url,compare_url
1,Streamlit,864ed289487b9301ab7c44aaacca040c6d3129ac,a109a071e5d69b983776583a4d5a281dc19e381d,2996,https://github.com/streamlit/streamlit/issues/2996,https://github.com/streamlit/streaml/tree/864ed289487b9301ab7c44aaacca040c6d3129ac,https://github.com/streamlit/streaml/tree/a109a071e5d69b983776583a4d5a281dc19e381d,https://github.com/streamlit/streaml/compare/864ed289487b9301ab7c44aaacca040c6d3129ac...a109a071e5d69b983776583a4d5a281dc19e381d
2,Streamlit,62c8da434377e469d9831d6f1e0e500164f25f75,6c09be60a6a2a4d3f8fecc42767a68c31eed5608,3000,https://github.com/streamlit/streamlit/issues/3000,https://github.com/streamlit/streaml/tree/62c8da434377e469d9831d6f1e0e500164f25f75,https://github.com/streamlit/streaml/tree/6c09be60a6a2a4d3f8fecc42767a68c31eed5608,https://github.com/streamlit/streaml/compare/62c8da434377e469d9831d6f1e0e500164f25f75...6c09be60a6a2a4d3f8fecc42767a68c31eed5608
3,Streamlit,2d873a9bd50c40192ff5570f2a6348720d639ffb,1abed1c217a9463fd209f96bbf5afb69100f723e,3020,https://github.com/streamlit/streamlit/issues/3020,https://github.com/streamlit/streaml/tree/2d873a9bd50c40192ff5570f2a6348720d639ffb,https://github.com/streamlit/streaml/tree/1abed1c217a9463fd209f96bbf5afb69100f723e,https://github.com/streamlit/streaml/compare/2d873a9bd50c40192ff5570f2a6348720d639ffb...1abed1c217a9463fd209f96bbf5afb69100f723e
4,Streamlit,c268327cd7532ce8ffe51be519c474397c8b76a6,0cc9424356ae1c39ca3def81ce3eb6327b34d89e,3220,https://github.com/streamlit/streamlit/issues/3220,https://github.com/streamlit/streaml/tree/c268327cd7532ce8ffe51be519c474397c8b76a6,https://github.com/streamlit/streaml/tree/0cc9424356ae1c39ca3def81ce3eb6327b34d89e,https://github.com/streamlit/streaml/compare/c268327cd7532ce8ffe51be519c474397c8b76a6...0cc9424356ae1c39ca3def81ce3eb6327b34d89e
5,Streamlit,b15c52366ed5fe18c17be3146f1cd8cecca14ddb,66f80ea04095b5784baeb968330fc72b2caaf7cf,3080,https://github.com/streamlit/streamlit/issues/3080,https://github.com/streamlit/streaml/tree/b15c52366ed5fe18c17be3146f1cd8cecca14ddb,https://github.com/streamlit/streaml/tree/66f80ea04095b5784baeb968330fc72b2caaf7cf,https://github.com/streamlit/streaml/compare/b15c52366ed5fe18c17be3146f1cd8cecca14ddb...66f80ea04095b5784baeb968330fc72b2caaf7cf
6,Streamlit,fdcb1d0efdb53427c72bb266b08ef2d80b8a8cab,b90e7df27f778d6ac958a425523381de1c66bb9a,3505,https://github.com/streamlit/streamlit/issues/3505,https://github.com/streamlit/streaml/tree/fdcb1d0efdb53427c72bb266b08ef2d80b8a8cab,https://github.com/streamlit/streaml/tree/b90e7df27f778d6ac958a425523381de1c66bb9a,https://github.com/streamlit/streaml/compare/fdcb1d0efdb53427c72bb266b08ef2d80b8a8cab...b90e7df27f778d6ac958a425523381de1c66bb9a
7,Streamlit,5748e00c6eb930e65a628b7ce8796afecce41cd6,b0664bed197e317b457de1d26bb5bace199910cf,3512,https://github.com/streamlit/streamlit/issues/3512,https://github.com/streamlit/streaml/tree/5748e00c6eb930e65a628b7ce8796afecce41cd6,https://github.com/streamlit/streaml/tree/b0664bed197e317b457de1d26bb5bace199910cf,https://github.com/streamlit/streaml/compare/5748e00c6eb930e65a628b7ce8796afecce41cd6...b0664bed197e317b457de1d26bb5bace199910cf
8,Streamlit,530cdbf071a0f935c1616cc9aceea1fbdbe03f5a,b8c284071b6c5ed5291526978ee7b589e4d1695c,3557,https://github.com/streamlit/streamlit/issues/3557,https://github.com/streamlit/streaml/tree/530cdbf071a0f935c1616cc9aceea1fbdbe03f5a,https://github.com/streamlit/streaml/tree/b8c284071b6c5ed5291526978ee7b589e4d1695c,https://github.com/streamlit/streaml/compare/530cdbf071a0f935c1616cc9aceea1fbdbe03f5a...b8c284071b6c5ed5291526978ee7b589e4d1695c
9,Streamlit,63b8d3a0e81ff7399144c84f9a75cf210de6a99f,62f7a05d088c08ba9633753d9773bc8bb01ed7f4,3659,https://github.com/streamlit/streamlit/issues/3659,https://github.com/streamlit/streaml/tree/63b8d3a0e81ff7399144c84f9a75cf210de6a99f,https://github.com/streamlit/streaml/tree/62f7a05d088c08ba9633753d9773bc8bb01ed7f4,https://github.com/streamlit/streaml/compare/63b8d3a0e81ff7399144c84f9a75cf210de6a99f...62f7a05d088c08ba9633753d9773bc8bb01ed7f4
10,Streamlit,b8c93ee025578a9d1bad9da81216c66225455126,7aec5adce464ca73757d27c665df2c3ef2771df2,3337,https://github.com/streamlit/streamlit/issues/3337,https://github.com/streamlit/streaml/tree/b8c93ee025578a9d1bad9da81216c66225455126,https://github.com/streamlit/streaml/tree/7aec5adce464ca73757d27c665df2c3ef2771df2,https://github.com/streamlit/streaml/compare/b8c93ee025578a9d1bad9da81216c66225455126...7aec5adce464ca73757d27c665df2c3ef2771df2
