bug.id,project_id,revision.id.buggy,revision.id.fixed,report.id,report.url,buggy_commit_url,fixed_commit_url,compare_url
1,Subversion,9f0d049118fd6852b9fe761ba6ae783d10ed4a31,49e37921d5172b31429cf0a1dd50f54a64cb0773,svn-1234,https://issues.apache.org/jira/browse/SVN-1234,https://github.com/apache/subversion/tree/9f0d049118fd6852b9fe761ba6ae783d10ed4a31,https://github.com/apache/subversion/tree/49e37921d5172b31429cf0a1dd50f54a64cb0773,https://github.com/apache/subversion/compare/9f0d049118fd6852b9fe761ba6ae783d10ed4a31...49e37921d5172b31429cf0a1dd50f54a64cb0773
2,Subversion,e48ee9e230c72fbd493227e6d4b2ee2772635cd1,cab8358ea2220a0a7c327fa176862b87ef36360e,svn-2012,https://issues.apache.org/jira/browse/SVN-2012,https://github.com/apache/subversion/tree/e48ee9e230c72fbd493227e6d4b2ee2772635cd1,https://github.com/apache/subversion/tree/cab8358ea2220a0a7c327fa176862b87ef36360e,https://github.com/apache/subversion/compare/e48ee9e230c72fbd493227e6d4b2ee2772635cd1...cab8358ea2220a0a7c327fa176862b87ef36360e
3,Subversion,51793d847f61c2c7c6d479b8ba518c6437be7963,8c085d9dfbda1e1a2a3749dfc6c76f52b65ab4bd,SVN-4598,https://issues.apache.org/jira/browse/SVN-4598,https://github.com/apache/subversion/tree/51793d847f61c2c7c6d479b8ba518c6437be7963,https://github.com/apache/subversion/tree/8c085d9dfbda1e1a2a3749dfc6c76f52b65ab4bd,https://github.com/apache/subversion/compare/51793d847f61c2c7c6d479b8ba518c6437be7963...8c085d9dfbda1e1a2a3749dfc6c76f52b65ab4bd
4,Subversion,af84dbeaa021dd547d3d4d5effe59350211b6a3f,9cd5aea4b592ebcdb605728efec47a18034f3f7f,SVN-3288,https://issues.apache.org/jira/browse/SVN-3288,https://github.com/apache/subversion/tree/af84dbeaa021dd547d3d4d5effe59350211b6a3f,https://github.com/apache/subversion/tree/9cd5aea4b592ebcdb605728efec47a18034f3f7f,https://github.com/apache/subversion/compare/af84dbeaa021dd547d3d4d5effe59350211b6a3f...9cd5aea4b592ebcdb605728efec47a18034f3f7f
5,Subversion,9bbd4c17098cee5ba44899db904d970c628119c9,c54b4735add89b29c0793bd7ea6031d8553419ed,SVN-1709,https://issues.apache.org/jira/browse/SVN-1709,https://github.com/apache/subversion/tree/9bbd4c17098cee5ba44899db904d970c628119c9,https://github.com/apache/subversion/tree/c54b4735add89b29c0793bd7ea6031d8553419ed,https://github.com/apache/subversion/compare/9bbd4c17098cee5ba44899db904d970c628119c9...c54b4735add89b29c0793bd7ea6031d8553419ed
6,Subversion,8c38729a9a466051dc417013f55280604eb78be4,cc7faccbe5df78ac120911ac04a7f3b1d1683b4c,SVN-4653,https://issues.apache.org/jira/browse/SVN-4653,https://github.com/apache/subversion/tree/8c38729a9a466051dc417013f55280604eb78be4,https://github.com/apache/subversion/tree/cc7faccbe5df78ac120911ac04a7f3b1d1683b4c,https://github.com/apache/subversion/compare/8c38729a9a466051dc417013f55280604eb78be4...cc7faccbe5df78ac120911ac04a7f3b1d1683b4c
7,Subversion,8d7baac66f38734105db647993ae8cbf3efca243,3b4d5d6afbea32ba46bda93983bf9b2d8d1d704d,SVN-4667,https://issues.apache.org/jira/browse/SVN-4667,https://github.com/apache/subversion/tree/8d7baac66f38734105db647993ae8cbf3efca243,https://github.com/apache/subversion/tree/3b4d5d6afbea32ba46bda93983bf9b2d8d1d704d,https://github.com/apache/subversion/compare/8d7baac66f38734105db647993ae8cbf3efca243...3b4d5d6afbea32ba46bda93983bf9b2d8d1d704d
8,Subversion,0cec5d2274e08eeca88e3b8313a12c670f36e83c,6bbf2d981369bb6c5536b39838853ce160adc493,SVN-4667,https://issues.apache.org/jira/browse/SVN-4667,https://github.com/apache/subversion/tree/0cec5d2274e08eeca88e3b8313a12c670f36e83c,https://github.com/apache/subversion/tree/6bbf2d981369bb6c5536b39838853ce160adc493,https://github.com/apache/subversion/compare/0cec5d2274e08eeca88e3b8313a12c670f36e83c...6bbf2d981369bb6c5536b39838853ce160adc493
9,Subversion,6bbf2d981369bb6c5536b39838853ce160adc493,4d4ea7bdbd3219ce2a6424e0f5a34c5afd6aa09a,SVN-4667,https://issues.apache.org/jira/browse/SVN-4667,https://github.com/apache/subversion/tree/6bbf2d981369bb6c5536b39838853ce160adc493,https://github.com/apache/subversion/tree/4d4ea7bdbd3219ce2a6424e0f5a34c5afd6aa09a,https://github.com/apache/subversion/compare/6bbf2d981369bb6c5536b39838853ce160adc493...4d4ea7bdbd3219ce2a6424e0f5a34c5afd6aa09a
10,Subversion,a450b05a073dc80c49ae77ec5e01f0d39219e634,d1b3975ec76d83468e88f8a9f86ae5e5b2562e61,SVN-4629,https://issues.apache.org/jira/browse/SVN-4629,https://github.com/apache/subversion/tree/a450b05a073dc80c49ae77ec5e01f0d39219e634,https://github.com/apache/subversion/tree/d1b3975ec76d83468e88f8a9f86ae5e5b2562e61,https://github.com/apache/subversion/compare/a450b05a073dc80c49ae77ec5e01f0d39219e634...d1b3975ec76d83468e88f8a9f86ae5e5b2562e61
11,Subversion,943402ea43f636ffde1d17a370134178ddea8bf4,3bbc21df62da2ead8790a9757dc0665730bd0505,SVN-3404,https://issues.apache.org/jira/browse/SVN-3404,https://github.com/apache/subversion/tree/943402ea43f636ffde1d17a370134178ddea8bf4,https://github.com/apache/subversion/tree/3bbc21df62da2ead8790a9757dc0665730bd0505,https://github.com/apache/subversion/compare/943402ea43f636ffde1d17a370134178ddea8bf4...3bbc21df62da2ead8790a9757dc0665730bd0505
12,Subversion,6c17e797b4c98dbe2ddaf179cdd035110c7cbcff,c049df7826ce9fe5eb3916b0535b225e9e0d39ca,SVN-4689,https://issues.apache.org/jira/browse/SVN-4689,https://github.com/apache/subversion/tree/6c17e797b4c98dbe2ddaf179cdd035110c7cbcff,https://github.com/apache/subversion/tree/c049df7826ce9fe5eb3916b0535b225e9e0d39ca,https://github.com/apache/subversion/compare/6c17e797b4c98dbe2ddaf179cdd035110c7cbcff...c049df7826ce9fe5eb3916b0535b225e9e0d39ca
13,Subversion,a6dc0be38a9a1ae26dce281e5f514bd90336563f,7783e6dc0b26a2e928b2c5bb96aeff292d0dd57a,SVN-4767,https://issues.apache.org/jira/browse/SVN-4767,https://github.com/apache/subversion/tree/a6dc0be38a9a1ae26dce281e5f514bd90336563f,https://github.com/apache/subversion/tree/7783e6dc0b26a2e928b2c5bb96aeff292d0dd57a,https://github.com/apache/subversion/compare/a6dc0be38a9a1ae26dce281e5f514bd90336563f...7783e6dc0b26a2e928b2c5bb96aeff292d0dd57a
14,Subversion,64f0fd2e2c4c66e4b90225b51e0a2db9a3c2f165,2632856336250331b722a4aed61d2606a6287e21,SVN-3711,https://issues.apache.org/jira/browse/SVN-3711,https://github.com/apache/subversion/tree/64f0fd2e2c4c66e4b90225b51e0a2db9a3c2f165,https://github.com/apache/subversion/tree/2632856336250331b722a4aed61d2606a6287e21,https://github.com/apache/subversion/compare/64f0fd2e2c4c66e4b90225b51e0a2db9a3c2f165...2632856336250331b722a4aed61d2606a6287e21
15,Subversion,cae9b38a2bb7a6633ffa136227310b8b5e8044b2,389d0dd57b5cf20eaa35d7424e2bc013efa4ae2d,SVN-4774,https://issues.apache.org/jira/browse/SVN-4774,https://github.com/apache/subversion/tree/cae9b38a2bb7a6633ffa136227310b8b5e8044b2,https://github.com/apache/subversion/tree/389d0dd57b5cf20eaa35d7424e2bc013efa4ae2d,https://github.com/apache/subversion/compare/cae9b38a2bb7a6633ffa136227310b8b5e8044b2...389d0dd57b5cf20eaa35d7424e2bc013efa4ae2d
16,Subversion,66ec06c45ec14d41e7c0f433571753c2676e9a25,c1af4d587971e7d521454381bf0a3cd95321da1d,SVN-4776,https://issues.apache.org/jira/browse/SVN-4776,https://github.com/apache/subversion/tree/66ec06c45ec14d41e7c0f433571753c2676e9a25,https://github.com/apache/subversion/tree/c1af4d587971e7d521454381bf0a3cd95321da1d,https://github.com/apache/subversion/compare/66ec06c45ec14d41e7c0f433571753c2676e9a25...c1af4d587971e7d521454381bf0a3cd95321da1d
17,Subversion,c1af4d587971e7d521454381bf0a3cd95321da1d,ca26477afbd898acb2a95a1150cc7a9d948341dd,SVN-4776,https://issues.apache.org/jira/browse/SVN-4776,https://github.com/apache/subversion/tree/c1af4d587971e7d521454381bf0a3cd95321da1d,https://github.com/apache/subversion/tree/ca26477afbd898acb2a95a1150cc7a9d948341dd,https://github.com/apache/subversion/compare/c1af4d587971e7d521454381bf0a3cd95321da1d...ca26477afbd898acb2a95a1150cc7a9d948341dd
