bug.id,project_id,revision.id.buggy,revision.id.fixed,report.id,report.url,buggy_commit_url,fixed_commit_url,compare_url
1,Surefire,75cb607521675431ec58909b4110f17ac4ee6cca,28f708d59aacda81110f9ed46bba531a5ec884a5,SUREFIRE-2,https://issues.apache.org/jira/browse/SUREFIRE-2,https://github.com/apache/maven-surefire/tree/75cb607521675431ec58909b4110f17ac4ee6cca,https://github.com/apache/maven-surefire/tree/28f708d59aacda81110f9ed46bba531a5ec884a5,https://github.com/apache/maven-surefire/compare/75cb607521675431ec58909b4110f17ac4ee6cca...28f708d59aacda81110f9ed46bba531a5ec884a5
2,Surefire,e6ea2cb5f12105ca2ff52915d7c154a69b2f2790,4a7328695c133e3960fbd5a808c95278d931907d,SUREFIRE-9,https://issues.apache.org/jira/browse/SUREFIRE-9,https://github.com/apache/maven-surefire/tree/e6ea2cb5f12105ca2ff52915d7c154a69b2f2790,https://github.com/apache/maven-surefire/tree/4a7328695c133e3960fbd5a808c95278d931907d,https://github.com/apache/maven-surefire/compare/e6ea2cb5f12105ca2ff52915d7c154a69b2f2790...4a7328695c133e3960fbd5a808c95278d931907d
3,Surefire,60e0d8cadcba55ec6010182a5d2813e515688a67,33c2f8031b5098d5450c0131dbeaf7579b076eb4,SUREFIRE-11,https://issues.apache.org/jira/browse/SUREFIRE-11,https://github.com/apache/maven-surefire/tree/60e0d8cadcba55ec6010182a5d2813e515688a67,https://github.com/apache/maven-surefire/tree/33c2f8031b5098d5450c0131dbeaf7579b076eb4,https://github.com/apache/maven-surefire/compare/60e0d8cadcba55ec6010182a5d2813e515688a67...33c2f8031b5098d5450c0131dbeaf7579b076eb4
4,Surefire,33c2f8031b5098d5450c0131dbeaf7579b076eb4,c5fdcd99d90a82cc038291552e7a16307dcd91da,SUREFIRE-12,https://issues.apache.org/jira/browse/SUREFIRE-12,https://github.com/apache/maven-surefire/tree/33c2f8031b5098d5450c0131dbeaf7579b076eb4,https://github.com/apache/maven-surefire/tree/c5fdcd99d90a82cc038291552e7a16307dcd91da,https://github.com/apache/maven-surefire/compare/33c2f8031b5098d5450c0131dbeaf7579b076eb4...c5fdcd99d90a82cc038291552e7a16307dcd91da
5,Surefire,38bfba0951e5fa5beeda05089475526b270a1ef0,85fb4dbc161fe2ceab5fb97ed1ca1a9ff5c4927a,SUREFIRE-11,https://issues.apache.org/jira/browse/SUREFIRE-11,https://github.com/apache/maven-surefire/tree/38bfba0951e5fa5beeda05089475526b270a1ef0,https://github.com/apache/maven-surefire/tree/85fb4dbc161fe2ceab5fb97ed1ca1a9ff5c4927a,https://github.com/apache/maven-surefire/compare/38bfba0951e5fa5beeda05089475526b270a1ef0...85fb4dbc161fe2ceab5fb97ed1ca1a9ff5c4927a
6,Surefire,d958ab7b8ad6663e252862dc7950d3cd3726afa9,3f4ba1452833226a50e28f7d933c2570f1f69cee,SUREFIRE-20,https://issues.apache.org/jira/browse/SUREFIRE-20,https://github.com/apache/maven-surefire/tree/d958ab7b8ad6663e252862dc7950d3cd3726afa9,https://github.com/apache/maven-surefire/tree/3f4ba1452833226a50e28f7d933c2570f1f69cee,https://github.com/apache/maven-surefire/compare/d958ab7b8ad6663e252862dc7950d3cd3726afa9...3f4ba1452833226a50e28f7d933c2570f1f69cee
7,Surefire,ff46b1a2c14077d6b81db16803f2cc9eff725c61,c5b23d7269508ec83601d1f1c206311bcfdef596,SUREFIRE-24,https://issues.apache.org/jira/browse/SUREFIRE-24,https://github.com/apache/maven-surefire/tree/ff46b1a2c14077d6b81db16803f2cc9eff725c61,https://github.com/apache/maven-surefire/tree/c5b23d7269508ec83601d1f1c206311bcfdef596,https://github.com/apache/maven-surefire/compare/ff46b1a2c14077d6b81db16803f2cc9eff725c61...c5b23d7269508ec83601d1f1c206311bcfdef596
8,Surefire,c5b23d7269508ec83601d1f1c206311bcfdef596,3dbc40dd51f1d54c2e173094591b07119ea3a15e,SUREFIRE-19,https://issues.apache.org/jira/browse/SUREFIRE-19,https://github.com/apache/maven-surefire/tree/c5b23d7269508ec83601d1f1c206311bcfdef596,https://github.com/apache/maven-surefire/tree/3dbc40dd51f1d54c2e173094591b07119ea3a15e,https://github.com/apache/maven-surefire/compare/c5b23d7269508ec83601d1f1c206311bcfdef596...3dbc40dd51f1d54c2e173094591b07119ea3a15e
9,Surefire,3dbc40dd51f1d54c2e173094591b07119ea3a15e,3d66800ccfcd3013e283149f6f17538ceb8f497f,SUREFIRE-18,https://issues.apache.org/jira/browse/SUREFIRE-18,https://github.com/apache/maven-surefire/tree/3dbc40dd51f1d54c2e173094591b07119ea3a15e,https://github.com/apache/maven-surefire/tree/3d66800ccfcd3013e283149f6f17538ceb8f497f,https://github.com/apache/maven-surefire/compare/3dbc40dd51f1d54c2e173094591b07119ea3a15e...3d66800ccfcd3013e283149f6f17538ceb8f497f
10,Surefire,9a553341ebe6a45c3c474b38a6cf62d2af2f758b,68d8ccabe22a56a719ba2d421453cea0a8b5f4a2,SUREFIRE-22,https://issues.apache.org/jira/browse/SUREFIRE-22,https://github.com/apache/maven-surefire/tree/9a553341ebe6a45c3c474b38a6cf62d2af2f758b,https://github.com/apache/maven-surefire/tree/68d8ccabe22a56a719ba2d421453cea0a8b5f4a2,https://github.com/apache/maven-surefire/compare/9a553341ebe6a45c3c474b38a6cf62d2af2f758b...68d8ccabe22a56a719ba2d421453cea0a8b5f4a2
