bug.id,project_id,revision.id.buggy,revision.id.fixed,report.id,report.url,buggy_commit_url,fixed_commit_url,compare_url
1,SvelteKit,7129ed6f539de24d5e6e46e6f0df80ed3888399f,21b51baa3d5a36edc50e1215b7f6c60e0736c2a7,3417,https://github.com/sveltejs/kit/issues/3417,https://github.com/sveltejs/k/tree/7129ed6f539de24d5e6e46e6f0df80ed3888399f,https://github.com/sveltejs/k/tree/21b51baa3d5a36edc50e1215b7f6c60e0736c2a7,https://github.com/sveltejs/k/compare/7129ed6f539de24d5e6e46e6f0df80ed3888399f...21b51baa3d5a36edc50e1215b7f6c60e0736c2a7
2,SvelteKit,db5557a8b8a2d3330fa870750b65bf6c1cc120f4,9c93f3450c8e120d7ea8162862b23f07028d6a72,3443,https://github.com/sveltejs/kit/issues/3443,https://github.com/sveltejs/k/tree/db5557a8b8a2d3330fa870750b65bf6c1cc120f4,https://github.com/sveltejs/k/tree/9c93f3450c8e120d7ea8162862b23f07028d6a72,https://github.com/sveltejs/k/compare/db5557a8b8a2d3330fa870750b65bf6c1cc120f4...9c93f3450c8e120d7ea8162862b23f07028d6a72
3,SvelteKit,055b87c9c53ddf42da8ec130fea08e4513d187e1,95c47bcdb884194359475968b1e0eeb342820611,3514,https://github.com/sveltejs/kit/issues/3514,https://github.com/sveltejs/k/tree/055b87c9c53ddf42da8ec130fea08e4513d187e1,https://github.com/sveltejs/k/tree/95c47bcdb884194359475968b1e0eeb342820611,https://github.com/sveltejs/k/compare/055b87c9c53ddf42da8ec130fea08e4513d187e1...95c47bcdb884194359475968b1e0eeb342820611
4,SvelteKit,aed53665a12d36e4b7c20b0c1de5650cb159efe9,90664c9dd9749086ac0b34aa2acd625174af80cf,3526,https://github.com/sveltejs/kit/issues/3526,https://github.com/sveltejs/k/tree/aed53665a12d36e4b7c20b0c1de5650cb159efe9,https://github.com/sveltejs/k/tree/90664c9dd9749086ac0b34aa2acd625174af80cf,https://github.com/sveltejs/k/compare/aed53665a12d36e4b7c20b0c1de5650cb159efe9...90664c9dd9749086ac0b34aa2acd625174af80cf
5,SvelteKit,d028c7d27832cc5430a8a952fa9945a8edddf760,15ccc38b986e82926987d98ee9c11995adb300ec,3428,https://github.com/sveltejs/kit/issues/3428,https://github.com/sveltejs/k/tree/d028c7d27832cc5430a8a952fa9945a8edddf760,https://github.com/sveltejs/k/tree/15ccc38b986e82926987d98ee9c11995adb300ec,https://github.com/sveltejs/k/compare/d028c7d27832cc5430a8a952fa9945a8edddf760...15ccc38b986e82926987d98ee9c11995adb300ec
6,SvelteKit,078b34e213223f3e14566f57490da64b96949693,90f9311c278ca81b76d2f8c2022e89f5a3dc7c5f,3652,https://github.com/sveltejs/kit/issues/3652,https://github.com/sveltejs/k/tree/078b34e213223f3e14566f57490da64b96949693,https://github.com/sveltejs/k/tree/90f9311c278ca81b76d2f8c2022e89f5a3dc7c5f,https://github.com/sveltejs/k/compare/078b34e213223f3e14566f57490da64b96949693...90f9311c278ca81b76d2f8c2022e89f5a3dc7c5f
7,SvelteKit,d573dba7a17e1c991f77e36a9be0498b54997b3b,fd3fc39e5bc9ee26ed367359c4c2f39a6f833e08,3552,https://github.com/sveltejs/kit/issues/3552,https://github.com/sveltejs/k/tree/d573dba7a17e1c991f77e36a9be0498b54997b3b,https://github.com/sveltejs/k/tree/fd3fc39e5bc9ee26ed367359c4c2f39a6f833e08,https://github.com/sveltejs/k/compare/d573dba7a17e1c991f77e36a9be0498b54997b3b...fd3fc39e5bc9ee26ed367359c4c2f39a6f833e08
8,SvelteKit,dbcbc9a5df5f243feec3a624485526d9bf8989f6,11d4a4b76f7fae83ef8b4a4ea1d305317b312b7e,3935,https://github.com/sveltejs/kit/issues/3935,https://github.com/sveltejs/k/tree/dbcbc9a5df5f243feec3a624485526d9bf8989f6,https://github.com/sveltejs/k/tree/11d4a4b76f7fae83ef8b4a4ea1d305317b312b7e,https://github.com/sveltejs/k/compare/dbcbc9a5df5f243feec3a624485526d9bf8989f6...11d4a4b76f7fae83ef8b4a4ea1d305317b312b7e
9,SvelteKit,3570a2c1ff2dd4220c0c8afdbe1d6862941c7682,93d22b784afb7ff0c69936e9843b4fb6a57adca0,3638,https://github.com/sveltejs/kit/issues/3638,https://github.com/sveltejs/k/tree/3570a2c1ff2dd4220c0c8afdbe1d6862941c7682,https://github.com/sveltejs/k/tree/93d22b784afb7ff0c69936e9843b4fb6a57adca0,https://github.com/sveltejs/k/compare/3570a2c1ff2dd4220c0c8afdbe1d6862941c7682...93d22b784afb7ff0c69936e9843b4fb6a57adca0
10,SvelteKit,30c99c6af10869d791cf7fb83cf14373ce62c59f,579fa9c4366319c18f4f8ecf96b557e2507215de,4052,https://github.com/sveltejs/kit/issues/4052,https://github.com/sveltejs/k/tree/30c99c6af10869d791cf7fb83cf14373ce62c59f,https://github.com/sveltejs/k/tree/579fa9c4366319c18f4f8ecf96b557e2507215de,https://github.com/sveltejs/k/compare/30c99c6af10869d791cf7fb83cf14373ce62c59f...579fa9c4366319c18f4f8ecf96b557e2507215de
