bug.id,project_id,revision.id.buggy,revision.id.fixed,report.id,report.url,buggy_commit_url,fixed_commit_url,compare_url
1,Tabula_java,3c32b73ad289311cecc08ee9efbdb9239e79f595,9285fb380d464c06af0ecb31e08ec52abcb62174,4,https://github.com/tabulapdf/tabula-java/issues/4,https://github.com/tabulapdf/tabula-java/tree/3c32b73ad289311cecc08ee9efbdb9239e79f595,https://github.com/tabulapdf/tabula-java/tree/9285fb380d464c06af0ecb31e08ec52abcb62174,https://github.com/tabulapdf/tabula-java/compare/3c32b73ad289311cecc08ee9efbdb9239e79f595...9285fb380d464c06af0ecb31e08ec52abcb62174
2,Tabula_java,7cbf61cc74cc7eef636333c64500e5b87aea3d2e,ccb975c7903b2aafa7f9b6aa8404892ca9f8dbdb,5,https://github.com/tabulapdf/tabula-java/issues/5,https://github.com/tabulapdf/tabula-java/tree/7cbf61cc74cc7eef636333c64500e5b87aea3d2e,https://github.com/tabulapdf/tabula-java/tree/ccb975c7903b2aafa7f9b6aa8404892ca9f8dbdb,https://github.com/tabulapdf/tabula-java/compare/7cbf61cc74cc7eef636333c64500e5b87aea3d2e...ccb975c7903b2aafa7f9b6aa8404892ca9f8dbdb
3,Tabula_java,5155af00c65a775b4af32c29bfb7d255a4b80676,d330d92333c3306a5558a336678ff052696671ba,271,https://github.com/tabulapdf/tabula-java/issues/271,https://github.com/tabulapdf/tabula-java/tree/5155af00c65a775b4af32c29bfb7d255a4b80676,https://github.com/tabulapdf/tabula-java/tree/d330d92333c3306a5558a336678ff052696671ba,https://github.com/tabulapdf/tabula-java/compare/5155af00c65a775b4af32c29bfb7d255a4b80676...d330d92333c3306a5558a336678ff052696671ba
4,Tabula_java,7bdaf8401626ba1809032c1919bfb38e47db46fe,22bf3f780a21b791296ca98001ed815784ed24c8,7,https://github.com/tabulapdf/tabula-java/issues/7,https://github.com/tabulapdf/tabula-java/tree/7bdaf8401626ba1809032c1919bfb38e47db46fe,https://github.com/tabulapdf/tabula-java/tree/22bf3f780a21b791296ca98001ed815784ed24c8,https://github.com/tabulapdf/tabula-java/compare/7bdaf8401626ba1809032c1919bfb38e47db46fe...22bf3f780a21b791296ca98001ed815784ed24c8
5,Tabula_java,dfebf7fa103b73064e36f96879f414d09c3b501c,bfb40ae483bc486ee4d874637efe553ceea162d1,12,https://github.com/tabulapdf/tabula-java/issues/12,https://github.com/tabulapdf/tabula-java/tree/dfebf7fa103b73064e36f96879f414d09c3b501c,https://github.com/tabulapdf/tabula-java/tree/bfb40ae483bc486ee4d874637efe553ceea162d1,https://github.com/tabulapdf/tabula-java/compare/dfebf7fa103b73064e36f96879f414d09c3b501c...bfb40ae483bc486ee4d874637efe553ceea162d1
6,Tabula_java,bfb40ae483bc486ee4d874637efe553ceea162d1,fe50ff1a6795151b7a83bd96d8772f4dc103141d,18,https://github.com/tabulapdf/tabula-java/issues/18,https://github.com/tabulapdf/tabula-java/tree/bfb40ae483bc486ee4d874637efe553ceea162d1,https://github.com/tabulapdf/tabula-java/tree/fe50ff1a6795151b7a83bd96d8772f4dc103141d,https://github.com/tabulapdf/tabula-java/compare/bfb40ae483bc486ee4d874637efe553ceea162d1...fe50ff1a6795151b7a83bd96d8772f4dc103141d
7,Tabula_java,e5c4e9d0bf9739a38fa35bb6733d837dc956a271,6a13b03bb77f826d9516f077f123a14a14167803,23,https://github.com/tabulapdf/tabula-java/issues/23,https://github.com/tabulapdf/tabula-java/tree/e5c4e9d0bf9739a38fa35bb6733d837dc956a271,https://github.com/tabulapdf/tabula-java/tree/6a13b03bb77f826d9516f077f123a14a14167803,https://github.com/tabulapdf/tabula-java/compare/e5c4e9d0bf9739a38fa35bb6733d837dc956a271...6a13b03bb77f826d9516f077f123a14a14167803
8,Tabula_java,cd769f18650223f05f434020b23fe6581e120b93,874390c9d602f85716e51c2f6cc838554cced7a9,38,https://github.com/tabulapdf/tabula-java/issues/38,https://github.com/tabulapdf/tabula-java/tree/cd769f18650223f05f434020b23fe6581e120b93,https://github.com/tabulapdf/tabula-java/tree/874390c9d602f85716e51c2f6cc838554cced7a9,https://github.com/tabulapdf/tabula-java/compare/cd769f18650223f05f434020b23fe6581e120b93...874390c9d602f85716e51c2f6cc838554cced7a9
9,Tabula_java,d17373af707beead9296f68651c6ee60c7c235af,c2c23d2222b0a44a60666af9bb0d87d6f4df795c,82,https://github.com/tabulapdf/tabula-java/issues/82,https://github.com/tabulapdf/tabula-java/tree/d17373af707beead9296f68651c6ee60c7c235af,https://github.com/tabulapdf/tabula-java/tree/c2c23d2222b0a44a60666af9bb0d87d6f4df795c,https://github.com/tabulapdf/tabula-java/compare/d17373af707beead9296f68651c6ee60c7c235af...c2c23d2222b0a44a60666af9bb0d87d6f4df795c
10,Tabula_java,4178d40b670f153254358cb3cf3f58029f79fb4a,115c4b1412ee1cd16202dda2201969d72b89f584,81,https://github.com/tabulapdf/tabula-java/issues/81,https://github.com/tabulapdf/tabula-java/tree/4178d40b670f153254358cb3cf3f58029f79fb4a,https://github.com/tabulapdf/tabula-java/tree/115c4b1412ee1cd16202dda2201969d72b89f584,https://github.com/tabulapdf/tabula-java/compare/4178d40b670f153254358cb3cf3f58029f79fb4a...115c4b1412ee1cd16202dda2201969d72b89f584
