bug.id,project_id,revision.id.buggy,revision.id.fixed,report.id,report.url,buggy_commit_url,fixed_commit_url,compare_url
1,Tauri,3f84381ea986e79980ab05f6ef00cf0daf760f13,9fbcc024542d87f71afd364acdcf2302cf82912c,2284,https://github.com/tauri-apps/tauri/issues/2284,https://github.com/tauri-apps/taur/tree/3f84381ea986e79980ab05f6ef00cf0daf760f13,https://github.com/tauri-apps/taur/tree/9fbcc024542d87f71afd364acdcf2302cf82912c,https://github.com/tauri-apps/taur/compare/3f84381ea986e79980ab05f6ef00cf0daf760f13...9fbcc024542d87f71afd364acdcf2302cf82912c
2,Tauri,70a1941468f55f0dc09ac2e13802945891d766f4,8216cba13da10b272aae8e5058b1ec2cc937e196,2290,https://github.com/tauri-apps/tauri/issues/2290,https://github.com/tauri-apps/taur/tree/70a1941468f55f0dc09ac2e13802945891d766f4,https://github.com/tauri-apps/taur/tree/8216cba13da10b272aae8e5058b1ec2cc937e196,https://github.com/tauri-apps/taur/compare/70a1941468f55f0dc09ac2e13802945891d766f4...8216cba13da10b272aae8e5058b1ec2cc937e196
3,Tauri,8216cba13da10b272aae8e5058b1ec2cc937e196,268450b1329a4b55f2043890c565a8563f890c3a,2289,https://github.com/tauri-apps/tauri/issues/2289,https://github.com/tauri-apps/taur/tree/8216cba13da10b272aae8e5058b1ec2cc937e196,https://github.com/tauri-apps/taur/tree/268450b1329a4b55f2043890c565a8563f890c3a,https://github.com/tauri-apps/taur/compare/8216cba13da10b272aae8e5058b1ec2cc937e196...268450b1329a4b55f2043890c565a8563f890c3a
4,Tauri,caa7bf44c9a1af189c28831f0f65889e8caa9b9e,0f63f5e757873f1787a1ae07ca531340d0d45ec3,2294,https://github.com/tauri-apps/tauri/issues/2294,https://github.com/tauri-apps/taur/tree/caa7bf44c9a1af189c28831f0f65889e8caa9b9e,https://github.com/tauri-apps/taur/tree/0f63f5e757873f1787a1ae07ca531340d0d45ec3,https://github.com/tauri-apps/taur/compare/caa7bf44c9a1af189c28831f0f65889e8caa9b9e...0f63f5e757873f1787a1ae07ca531340d0d45ec3
5,Tauri,4678144e2273e11e96df4ab6618542cd9d448721,cf9f6aa148db31c6fd4e3571b301db18654a1249,2330,https://github.com/tauri-apps/tauri/issues/2330,https://github.com/tauri-apps/taur/tree/4678144e2273e11e96df4ab6618542cd9d448721,https://github.com/tauri-apps/taur/tree/cf9f6aa148db31c6fd4e3571b301db18654a1249,https://github.com/tauri-apps/taur/compare/4678144e2273e11e96df4ab6618542cd9d448721...cf9f6aa148db31c6fd4e3571b301db18654a1249
6,Tauri,cf9f6aa148db31c6fd4e3571b301db18654a1249,d22da650ef5b51ab7dd0e45dd9527a9c5a01f84d,2328,https://github.com/tauri-apps/tauri/issues/2328,https://github.com/tauri-apps/taur/tree/cf9f6aa148db31c6fd4e3571b301db18654a1249,https://github.com/tauri-apps/taur/tree/d22da650ef5b51ab7dd0e45dd9527a9c5a01f84d,https://github.com/tauri-apps/taur/compare/cf9f6aa148db31c6fd4e3571b301db18654a1249...d22da650ef5b51ab7dd0e45dd9527a9c5a01f84d
7,Tauri,807b8625b7986ba982031ebc0b065f68ee50defe,1a510066732d5f61c88c0ceed1c5f5cc559faf7d,2314,https://github.com/tauri-apps/tauri/issues/2314,https://github.com/tauri-apps/taur/tree/807b8625b7986ba982031ebc0b065f68ee50defe,https://github.com/tauri-apps/taur/tree/1a510066732d5f61c88c0ceed1c5f5cc559faf7d,https://github.com/tauri-apps/taur/compare/807b8625b7986ba982031ebc0b065f68ee50defe...1a510066732d5f61c88c0ceed1c5f5cc559faf7d
8,Tauri,6e0dbf639ac2c79e00fee9270a2ca8e613dc1f98,d0142e87ddf5231fd46e2cbe4769bb16f3fe01e9,2342,https://github.com/tauri-apps/tauri/issues/2342,https://github.com/tauri-apps/taur/tree/6e0dbf639ac2c79e00fee9270a2ca8e613dc1f98,https://github.com/tauri-apps/taur/tree/d0142e87ddf5231fd46e2cbe4769bb16f3fe01e9,https://github.com/tauri-apps/taur/compare/6e0dbf639ac2c79e00fee9270a2ca8e613dc1f98...d0142e87ddf5231fd46e2cbe4769bb16f3fe01e9
9,Tauri,c2f35f3b89499c4f6d3dd649d78da9f59a871e62,9b32b93996201190d83fcad4767709774e5a0780,2336,https://github.com/tauri-apps/tauri/issues/2336,https://github.com/tauri-apps/taur/tree/c2f35f3b89499c4f6d3dd649d78da9f59a871e62,https://github.com/tauri-apps/taur/tree/9b32b93996201190d83fcad4767709774e5a0780,https://github.com/tauri-apps/taur/compare/c2f35f3b89499c4f6d3dd649d78da9f59a871e62...9b32b93996201190d83fcad4767709774e5a0780
10,Tauri,d7dd65302649683c65f41c771e7472d86f857a15,1ecb8651a795aa53eded31e3fb357c857dcf2ab1,2323,https://github.com/tauri-apps/tauri/issues/2323,https://github.com/tauri-apps/taur/tree/d7dd65302649683c65f41c771e7472d86f857a15,https://github.com/tauri-apps/taur/tree/1ecb8651a795aa53eded31e3fb357c857dcf2ab1,https://github.com/tauri-apps/taur/compare/d7dd65302649683c65f41c771e7472d86f857a15...1ecb8651a795aa53eded31e3fb357c857dcf2ab1
