bug.id,project_id,revision.id.buggy,revision.id.fixed,report.id,report.url,buggy_commit_url,fixed_commit_url,compare_url
1,ThreeJS,4b26288aa0fa66a8a99f38f502f301556c64aa63,0aa81b5c935541d3b76e1cb2d38b48edae781afc,22388,https://github.com/mrdoob/three.js/issues/22388,https://github.com/mrdoob/three.js/tree/4b26288aa0fa66a8a99f38f502f301556c64aa63,https://github.com/mrdoob/three.js/tree/0aa81b5c935541d3b76e1cb2d38b48edae781afc,https://github.com/mrdoob/three.js/compare/4b26288aa0fa66a8a99f38f502f301556c64aa63...0aa81b5c935541d3b76e1cb2d38b48edae781afc
2,ThreeJS,6658460bf092ce0e931f34b0d71f2b289ab143c2,e358365e897040f4461cb907904a218f25c87558,22890,https://github.com/mrdoob/three.js/issues/22890,https://github.com/mrdoob/three.js/tree/6658460bf092ce0e931f34b0d71f2b289ab143c2,https://github.com/mrdoob/three.js/tree/e358365e897040f4461cb907904a218f25c87558,https://github.com/mrdoob/three.js/compare/6658460bf092ce0e931f34b0d71f2b289ab143c2...e358365e897040f4461cb907904a218f25c87558
3,ThreeJS,e8de8f09cad9ad12cd57602cd368389fb438db9c,0f339bb2abadee597c9f3e3cfbe360dbccf50966,23490,https://github.com/mrdoob/three.js/issues/23490,https://github.com/mrdoob/three.js/tree/e8de8f09cad9ad12cd57602cd368389fb438db9c,https://github.com/mrdoob/three.js/tree/0f339bb2abadee597c9f3e3cfbe360dbccf50966,https://github.com/mrdoob/three.js/compare/e8de8f09cad9ad12cd57602cd368389fb438db9c...0f339bb2abadee597c9f3e3cfbe360dbccf50966
4,ThreeJS,8d48ad690bd00d1f0b354e691b738ee8f751bc9b,5c67b6f3962004bb91ee2e792c2fe9bcfa56a946,24017,https://github.com/mrdoob/three.js/issues/24017,https://github.com/mrdoob/three.js/tree/8d48ad690bd00d1f0b354e691b738ee8f751bc9b,https://github.com/mrdoob/three.js/tree/5c67b6f3962004bb91ee2e792c2fe9bcfa56a946,https://github.com/mrdoob/three.js/compare/8d48ad690bd00d1f0b354e691b738ee8f751bc9b...5c67b6f3962004bb91ee2e792c2fe9bcfa56a946
5,ThreeJS,f5c738c95ab62a7a29b1291db73e1872f950a09a,aaa1968dbb25f3cac9e63b8741beb6832d468139,24797,https://github.com/mrdoob/three.js/issues/24797,https://github.com/mrdoob/three.js/tree/f5c738c95ab62a7a29b1291db73e1872f950a09a,https://github.com/mrdoob/three.js/tree/aaa1968dbb25f3cac9e63b8741beb6832d468139,https://github.com/mrdoob/three.js/compare/f5c738c95ab62a7a29b1291db73e1872f950a09a...aaa1968dbb25f3cac9e63b8741beb6832d468139
6,ThreeJS,ddbfd26da0c87badf632f85bc2c4b0a88d9da8c2,15bec5bd1953b22dd1afcecb40fcdfab34d4dc46,25011,https://github.com/mrdoob/three.js/issues/25011,https://github.com/mrdoob/three.js/tree/ddbfd26da0c87badf632f85bc2c4b0a88d9da8c2,https://github.com/mrdoob/three.js/tree/15bec5bd1953b22dd1afcecb40fcdfab34d4dc46,https://github.com/mrdoob/three.js/compare/ddbfd26da0c87badf632f85bc2c4b0a88d9da8c2...15bec5bd1953b22dd1afcecb40fcdfab34d4dc46
7,ThreeJS,1848f74f3fe15b3f9a459afeff5afd11c3e6bc11,fb352e6a489cbabbfbb5ac36936e1752791fe7d7,25760,https://github.com/mrdoob/three.js/issues/25760,https://github.com/mrdoob/three.js/tree/1848f74f3fe15b3f9a459afeff5afd11c3e6bc11,https://github.com/mrdoob/three.js/tree/fb352e6a489cbabbfbb5ac36936e1752791fe7d7,https://github.com/mrdoob/three.js/compare/1848f74f3fe15b3f9a459afeff5afd11c3e6bc11...fb352e6a489cbabbfbb5ac36936e1752791fe7d7
8,ThreeJS,05201f9b28b0ccbbd0f280b1916638c096da543d,2813196629b47aadbcc0532d340c59ae5f0dd064,26038,https://github.com/mrdoob/three.js/issues/26038,https://github.com/mrdoob/three.js/tree/05201f9b28b0ccbbd0f280b1916638c096da543d,https://github.com/mrdoob/three.js/tree/2813196629b47aadbcc0532d340c59ae5f0dd064,https://github.com/mrdoob/three.js/compare/05201f9b28b0ccbbd0f280b1916638c096da543d...2813196629b47aadbcc0532d340c59ae5f0dd064
9,ThreeJS,083be57d18474b38d610b4f5ea4b591b7846169b,5c004571e91dbe20013bdd547cb9b14e363bf245,26849,https://github.com/mrdoob/three.js/issues/26849,https://github.com/mrdoob/three.js/tree/083be57d18474b38d610b4f5ea4b591b7846169b,https://github.com/mrdoob/three.js/tree/5c004571e91dbe20013bdd547cb9b14e363bf245,https://github.com/mrdoob/three.js/compare/083be57d18474b38d610b4f5ea4b591b7846169b...5c004571e91dbe20013bdd547cb9b14e363bf245
10,ThreeJS,27ba7d38137104bebf9a2a58f832e4db54c7c3fd,eb54b902347a2d9372e08055491814d25a7f4e0e,26849,https://github.com/mrdoob/three.js/issues/26849,https://github.com/mrdoob/three.js/tree/27ba7d38137104bebf9a2a58f832e4db54c7c3fd,https://github.com/mrdoob/three.js/tree/eb54b902347a2d9372e08055491814d25a7f4e0e,https://github.com/mrdoob/three.js/compare/27ba7d38137104bebf9a2a58f832e4db54c7c3fd...eb54b902347a2d9372e08055491814d25a7f4e0e
11,ThreeJS,cd385372374f5513f5815d693dc264140788e574,08fbd476f88cf14fd7871998eb2c80863f1a3f7c,26733,https://github.com/mrdoob/three.js/issues/26733,https://github.com/mrdoob/three.js/tree/cd385372374f5513f5815d693dc264140788e574,https://github.com/mrdoob/three.js/tree/08fbd476f88cf14fd7871998eb2c80863f1a3f7c,https://github.com/mrdoob/three.js/compare/cd385372374f5513f5815d693dc264140788e574...08fbd476f88cf14fd7871998eb2c80863f1a3f7c
