bug.id,project_id,revision.id.buggy,revision.id.fixed,report.id,report.url,buggy_commit_url,fixed_commit_url,compare_url
1,Thrift,710440f95a964c07a25f47066ffd9d7285390d7b,0a2e7a245d8609377d0f16811c0301649f492a83,THRIFT-11,https://issues.apache.org/jira/browse/THRIFT-11,https://github.com/apache/thrif/tree/710440f95a964c07a25f47066ffd9d7285390d7b,https://github.com/apache/thrif/tree/0a2e7a245d8609377d0f16811c0301649f492a83,https://github.com/apache/thrif/compare/710440f95a964c07a25f47066ffd9d7285390d7b...0a2e7a245d8609377d0f16811c0301649f492a83
2,Thrift,0d6007c717057b2dcc2e4a3b5d6dcfbbdc36e61b,9479b1a593fb027a3194ed4d4fb85712e1500857,THRIFT-4,https://issues.apache.org/jira/browse/THRIFT-4,https://github.com/apache/thrif/tree/0d6007c717057b2dcc2e4a3b5d6dcfbbdc36e61b,https://github.com/apache/thrif/tree/9479b1a593fb027a3194ed4d4fb85712e1500857,https://github.com/apache/thrif/compare/0d6007c717057b2dcc2e4a3b5d6dcfbbdc36e61b...9479b1a593fb027a3194ed4d4fb85712e1500857
3,Thrift,1cfd693f3e4cbb697c0942299c43c081dfa3c820,f98286a8e4bf02df06f8c821d2a36b6254b77bb5,THRIFT-7,https://issues.apache.org/jira/browse/THRIFT-7,https://github.com/apache/thrif/tree/1cfd693f3e4cbb697c0942299c43c081dfa3c820,https://github.com/apache/thrif/tree/f98286a8e4bf02df06f8c821d2a36b6254b77bb5,https://github.com/apache/thrif/compare/1cfd693f3e4cbb697c0942299c43c081dfa3c820...f98286a8e4bf02df06f8c821d2a36b6254b77bb5
4,Thrift,ec9106f8543d036b5fbe2d34b8f8655763922c96,01a514494d065bb0bd367afbe9604891cc188db8,THRIFT-4,https://issues.apache.org/jira/browse/THRIFT-4,https://github.com/apache/thrif/tree/ec9106f8543d036b5fbe2d34b8f8655763922c96,https://github.com/apache/thrif/tree/01a514494d065bb0bd367afbe9604891cc188db8,https://github.com/apache/thrif/compare/ec9106f8543d036b5fbe2d34b8f8655763922c96...01a514494d065bb0bd367afbe9604891cc188db8
5,Thrift,e0fdddea44ac97988c7aaf775961a02619eacd22,1d4b2d87f78b3aee51f95de3f7c416e3fd8dd9bf,THRIFT-7,https://issues.apache.org/jira/browse/THRIFT-7,https://github.com/apache/thrif/tree/e0fdddea44ac97988c7aaf775961a02619eacd22,https://github.com/apache/thrif/tree/1d4b2d87f78b3aee51f95de3f7c416e3fd8dd9bf,https://github.com/apache/thrif/compare/e0fdddea44ac97988c7aaf775961a02619eacd22...1d4b2d87f78b3aee51f95de3f7c416e3fd8dd9bf
6,Thrift,be1dd3a0e1ee7c4e56334b4189e7ce05e32680fc,a058d02eda026c05a510c3f4011608c7d4ac5bed,THRIFT-50,https://issues.apache.org/jira/browse/THRIFT-50,https://github.com/apache/thrif/tree/be1dd3a0e1ee7c4e56334b4189e7ce05e32680fc,https://github.com/apache/thrif/tree/a058d02eda026c05a510c3f4011608c7d4ac5bed,https://github.com/apache/thrif/compare/be1dd3a0e1ee7c4e56334b4189e7ce05e32680fc...a058d02eda026c05a510c3f4011608c7d4ac5bed
7,Thrift,eaf8d034e7e408a8185975ca4194ece66bd7ea0c,1ce8b3d7d502cff253b1ac761d2326763f144101,THRIFT-51,https://issues.apache.org/jira/browse/THRIFT-51,https://github.com/apache/thrif/tree/eaf8d034e7e408a8185975ca4194ece66bd7ea0c,https://github.com/apache/thrif/tree/1ce8b3d7d502cff253b1ac761d2326763f144101,https://github.com/apache/thrif/compare/eaf8d034e7e408a8185975ca4194ece66bd7ea0c...1ce8b3d7d502cff253b1ac761d2326763f144101
8,Thrift,1ce8b3d7d502cff253b1ac761d2326763f144101,1e0744d7a2daacaf5044427fa614268d1f4fcb2f,THRIFT-44,https://issues.apache.org/jira/browse/THRIFT-44,https://github.com/apache/thrif/tree/1ce8b3d7d502cff253b1ac761d2326763f144101,https://github.com/apache/thrif/tree/1e0744d7a2daacaf5044427fa614268d1f4fcb2f,https://github.com/apache/thrif/compare/1ce8b3d7d502cff253b1ac761d2326763f144101...1e0744d7a2daacaf5044427fa614268d1f4fcb2f
9,Thrift,1e0744d7a2daacaf5044427fa614268d1f4fcb2f,2bd3a30b91ef2a4a6c54b4a030a4955a65c96bc8,THRIFT-57,https://issues.apache.org/jira/browse/THRIFT-57,https://github.com/apache/thrif/tree/1e0744d7a2daacaf5044427fa614268d1f4fcb2f,https://github.com/apache/thrif/tree/2bd3a30b91ef2a4a6c54b4a030a4955a65c96bc8,https://github.com/apache/thrif/compare/1e0744d7a2daacaf5044427fa614268d1f4fcb2f...2bd3a30b91ef2a4a6c54b4a030a4955a65c96bc8
10,Thrift,2bd3a30b91ef2a4a6c54b4a030a4955a65c96bc8,091fa95233d793e10a95ebcce9e12b135301a855,THRIFT-49,https://issues.apache.org/jira/browse/THRIFT-49,https://github.com/apache/thrif/tree/2bd3a30b91ef2a4a6c54b4a030a4955a65c96bc8,https://github.com/apache/thrif/tree/091fa95233d793e10a95ebcce9e12b135301a855,https://github.com/apache/thrif/compare/2bd3a30b91ef2a4a6c54b4a030a4955a65c96bc8...091fa95233d793e10a95ebcce9e12b135301a855
11,Thrift,091fa95233d793e10a95ebcce9e12b135301a855,3387115fa3e49a11cf70d4e2cbfaf8875993bed4,THRIFT-52,https://issues.apache.org/jira/browse/THRIFT-52,https://github.com/apache/thrif/tree/091fa95233d793e10a95ebcce9e12b135301a855,https://github.com/apache/thrif/tree/3387115fa3e49a11cf70d4e2cbfaf8875993bed4,https://github.com/apache/thrif/compare/091fa95233d793e10a95ebcce9e12b135301a855...3387115fa3e49a11cf70d4e2cbfaf8875993bed4
12,Thrift,3387115fa3e49a11cf70d4e2cbfaf8875993bed4,5da153b36a91c9ea6bda9a717dd1f5e55639addc,THRIFT-53,https://issues.apache.org/jira/browse/THRIFT-53,https://github.com/apache/thrif/tree/3387115fa3e49a11cf70d4e2cbfaf8875993bed4,https://github.com/apache/thrif/tree/5da153b36a91c9ea6bda9a717dd1f5e55639addc,https://github.com/apache/thrif/compare/3387115fa3e49a11cf70d4e2cbfaf8875993bed4...5da153b36a91c9ea6bda9a717dd1f5e55639addc
13,Thrift,5da153b36a91c9ea6bda9a717dd1f5e55639addc,f2e4d107af58ad806556cc289befa3b2cf694d3c,THRIFT-56,https://issues.apache.org/jira/browse/THRIFT-56,https://github.com/apache/thrif/tree/5da153b36a91c9ea6bda9a717dd1f5e55639addc,https://github.com/apache/thrif/tree/f2e4d107af58ad806556cc289befa3b2cf694d3c,https://github.com/apache/thrif/compare/5da153b36a91c9ea6bda9a717dd1f5e55639addc...f2e4d107af58ad806556cc289befa3b2cf694d3c
14,Thrift,f2e4d107af58ad806556cc289befa3b2cf694d3c,28744ab833688ffe95eb4634aae33ad6f57a9054,THRIFT-56,https://issues.apache.org/jira/browse/THRIFT-56,https://github.com/apache/thrif/tree/f2e4d107af58ad806556cc289befa3b2cf694d3c,https://github.com/apache/thrif/tree/28744ab833688ffe95eb4634aae33ad6f57a9054,https://github.com/apache/thrif/compare/f2e4d107af58ad806556cc289befa3b2cf694d3c...28744ab833688ffe95eb4634aae33ad6f57a9054
15,Thrift,fc0646481faaeccdc88bbd5d61b05a5da91f8a9b,6b082755f0cba0bb8469f5f262f01a4defce348d,THRIFT-61,https://issues.apache.org/jira/browse/THRIFT-61,https://github.com/apache/thrif/tree/fc0646481faaeccdc88bbd5d61b05a5da91f8a9b,https://github.com/apache/thrif/tree/6b082755f0cba0bb8469f5f262f01a4defce348d,https://github.com/apache/thrif/compare/fc0646481faaeccdc88bbd5d61b05a5da91f8a9b...6b082755f0cba0bb8469f5f262f01a4defce348d
16,Thrift,03b574feada3862d460c7fc15dd1fb90687ff428,af78778acd7fb551a84aaf63e604d969123bf85d,THRIFT-54,https://issues.apache.org/jira/browse/THRIFT-54,https://github.com/apache/thrif/tree/03b574feada3862d460c7fc15dd1fb90687ff428,https://github.com/apache/thrif/tree/af78778acd7fb551a84aaf63e604d969123bf85d,https://github.com/apache/thrif/compare/03b574feada3862d460c7fc15dd1fb90687ff428...af78778acd7fb551a84aaf63e604d969123bf85d
17,Thrift,4bd8916b1257378f8173c4ada41b4606e9c0226b,bf2ff249b97b31822cb02c4850dae15966b70a6f,THRIFT-63,https://issues.apache.org/jira/browse/THRIFT-63,https://github.com/apache/thrif/tree/4bd8916b1257378f8173c4ada41b4606e9c0226b,https://github.com/apache/thrif/tree/bf2ff249b97b31822cb02c4850dae15966b70a6f,https://github.com/apache/thrif/compare/4bd8916b1257378f8173c4ada41b4606e9c0226b...bf2ff249b97b31822cb02c4850dae15966b70a6f
18,Thrift,bf2ff249b97b31822cb02c4850dae15966b70a6f,615da249957987b39887eb12abe887ad6c883114,THRIFT-55,https://issues.apache.org/jira/browse/THRIFT-55,https://github.com/apache/thrif/tree/bf2ff249b97b31822cb02c4850dae15966b70a6f,https://github.com/apache/thrif/tree/615da249957987b39887eb12abe887ad6c883114,https://github.com/apache/thrif/compare/bf2ff249b97b31822cb02c4850dae15966b70a6f...615da249957987b39887eb12abe887ad6c883114
