bug.id,project_id,revision.id.buggy,revision.id.fixed,report.id,report.url,buggy_commit_url,fixed_commit_url,compare_url
1,Tinkerpop_gremlin_core,4054e2678511387c559647f7871d665f37176bf5,44ba97572305baa3de888ac14b9b0a81b5537be4,TINKERPOP-1060,https://issues.apache.org/jira/browse/TINKERPOP-1060,https://github.com/apache/tinkerpop/tree/4054e2678511387c559647f7871d665f37176bf5,https://github.com/apache/tinkerpop/tree/44ba97572305baa3de888ac14b9b0a81b5537be4,https://github.com/apache/tinkerpop/compare/4054e2678511387c559647f7871d665f37176bf5...44ba97572305baa3de888ac14b9b0a81b5537be4
2,Tinkerpop_gremlin_core,94ca07411293d6d23afaebc86a183fa2868f329a,580c683a3d3d5e67b8321ae436cb4e806f682c0e,TINKERPOP-1119,https://issues.apache.org/jira/browse/TINKERPOP-1119,https://github.com/apache/tinkerpop/tree/94ca07411293d6d23afaebc86a183fa2868f329a,https://github.com/apache/tinkerpop/tree/580c683a3d3d5e67b8321ae436cb4e806f682c0e,https://github.com/apache/tinkerpop/compare/94ca07411293d6d23afaebc86a183fa2868f329a...580c683a3d3d5e67b8321ae436cb4e806f682c0e
3,Tinkerpop_gremlin_core,94ffac91b39340b7ae7f2c3609c8715339183f7d,55e5559d0ea68843a2dff4d0c3f286a6a6f29f12,TINKERPOP-1105,https://issues.apache.org/jira/browse/TINKERPOP-1105,https://github.com/apache/tinkerpop/tree/94ffac91b39340b7ae7f2c3609c8715339183f7d,https://github.com/apache/tinkerpop/tree/55e5559d0ea68843a2dff4d0c3f286a6a6f29f12,https://github.com/apache/tinkerpop/compare/94ffac91b39340b7ae7f2c3609c8715339183f7d...55e5559d0ea68843a2dff4d0c3f286a6a6f29f12
4,Tinkerpop_gremlin_core,c5447c29cd6abceef4168ebd3ccc65d7ea8e27a2,15909c669b40d08dde16c225ee818796252d6a79,TINKERPOP-1175,https://issues.apache.org/jira/browse/TINKERPOP-1175,https://github.com/apache/tinkerpop/tree/c5447c29cd6abceef4168ebd3ccc65d7ea8e27a2,https://github.com/apache/tinkerpop/tree/15909c669b40d08dde16c225ee818796252d6a79,https://github.com/apache/tinkerpop/compare/c5447c29cd6abceef4168ebd3ccc65d7ea8e27a2...15909c669b40d08dde16c225ee818796252d6a79
5,Tinkerpop_gremlin_core,80f2ac5ddf9bb80ed63c3519c39152a95ca0d1ba,3cdf6bb455a9f6730c660014db14583792c10b26,TINKERPOP-1103,https://issues.apache.org/jira/browse/TINKERPOP-1103,https://github.com/apache/tinkerpop/tree/80f2ac5ddf9bb80ed63c3519c39152a95ca0d1ba,https://github.com/apache/tinkerpop/tree/3cdf6bb455a9f6730c660014db14583792c10b26,https://github.com/apache/tinkerpop/compare/80f2ac5ddf9bb80ed63c3519c39152a95ca0d1ba...3cdf6bb455a9f6730c660014db14583792c10b26
6,Tinkerpop_gremlin_core,bce33476a035a1de77ca2d5116b6871e8692f788,5165d0d94a6717aa4a57e70f4e4818be2699f0b1,TINKERPOP-1215,https://issues.apache.org/jira/browse/TINKERPOP-1215,https://github.com/apache/tinkerpop/tree/bce33476a035a1de77ca2d5116b6871e8692f788,https://github.com/apache/tinkerpop/tree/5165d0d94a6717aa4a57e70f4e4818be2699f0b1,https://github.com/apache/tinkerpop/compare/bce33476a035a1de77ca2d5116b6871e8692f788...5165d0d94a6717aa4a57e70f4e4818be2699f0b1
7,Tinkerpop_gremlin_core,907936614b4af24bb9fd383005d10c758303ff6b,9c56fa3a93ff1979373c681337c335de396ad916,TINKERPOP-1323,https://issues.apache.org/jira/browse/TINKERPOP-1323,https://github.com/apache/tinkerpop/tree/907936614b4af24bb9fd383005d10c758303ff6b,https://github.com/apache/tinkerpop/tree/9c56fa3a93ff1979373c681337c335de396ad916,https://github.com/apache/tinkerpop/compare/907936614b4af24bb9fd383005d10c758303ff6b...9c56fa3a93ff1979373c681337c335de396ad916
8,Tinkerpop_gremlin_core,2c092c89760d539f477517e4a3a80c2c23267237,ecbb8e8f1874a8b393c62d7eaa838f71ea3da964,TINKERPOP-1324,https://issues.apache.org/jira/browse/TINKERPOP-1324,https://github.com/apache/tinkerpop/tree/2c092c89760d539f477517e4a3a80c2c23267237,https://github.com/apache/tinkerpop/tree/ecbb8e8f1874a8b393c62d7eaa838f71ea3da964,https://github.com/apache/tinkerpop/compare/2c092c89760d539f477517e4a3a80c2c23267237...ecbb8e8f1874a8b393c62d7eaa838f71ea3da964
9,Tinkerpop_gremlin_core,2dbf66239e24b4519727333296f77a9d6fac9223,f1d6a5bff7f8910ebe1197adcac56eb8c175cbdf,TINKERPOP-1335,https://issues.apache.org/jira/browse/TINKERPOP-1335,https://github.com/apache/tinkerpop/tree/2dbf66239e24b4519727333296f77a9d6fac9223,https://github.com/apache/tinkerpop/tree/f1d6a5bff7f8910ebe1197adcac56eb8c175cbdf,https://github.com/apache/tinkerpop/compare/2dbf66239e24b4519727333296f77a9d6fac9223...f1d6a5bff7f8910ebe1197adcac56eb8c175cbdf
10,Tinkerpop_gremlin_core,c8c77afeb63f88d7b153738db2bddba12aeda969,c90fc1e1a1520bc3ac9872681fafb1173dd038bb,TINKERPOP-1359,https://issues.apache.org/jira/browse/TINKERPOP-1359,https://github.com/apache/tinkerpop/tree/c8c77afeb63f88d7b153738db2bddba12aeda969,https://github.com/apache/tinkerpop/tree/c90fc1e1a1520bc3ac9872681fafb1173dd038bb,https://github.com/apache/tinkerpop/compare/c8c77afeb63f88d7b153738db2bddba12aeda969...c90fc1e1a1520bc3ac9872681fafb1173dd038bb
