bug.id,project_id,revision.id.buggy,revision.id.fixed,report.id,report.url,buggy_commit_url,fixed_commit_url,compare_url
1,Uvicorn,931c029c4a7b1bad8a5e09d0b75d6bc8340d17ad,fc09cf0dc688b2884a5081e720fa27d0a15f5fe6,304,https://github.com/Kludex/uvicorn/issues/304,https://github.com/encode/uvicorn/tree/931c029c4a7b1bad8a5e09d0b75d6bc8340d17ad,https://github.com/encode/uvicorn/tree/fc09cf0dc688b2884a5081e720fa27d0a15f5fe6,https://github.com/encode/uvicorn/compare/931c029c4a7b1bad8a5e09d0b75d6bc8340d17ad...fc09cf0dc688b2884a5081e720fa27d0a15f5fe6
2,Uvicorn,01e18588fbe7be0298ce6c390a92368566c51256,2f005b22e2db7b6db48384858e893f9bd1166bc1,242,https://github.com/Kludex/uvicorn/issues/242,https://github.com/encode/uvicorn/tree/01e18588fbe7be0298ce6c390a92368566c51256,https://github.com/encode/uvicorn/tree/2f005b22e2db7b6db48384858e893f9bd1166bc1,https://github.com/encode/uvicorn/compare/01e18588fbe7be0298ce6c390a92368566c51256...2f005b22e2db7b6db48384858e893f9bd1166bc1
3,Uvicorn,e0a77de6baf436d182868fa280cd5e2f0d66501c,185f1dac9c8d28e405143ccf133a4dd67e41768f,438,https://github.com/Kludex/uvicorn/issues/438,https://github.com/encode/uvicorn/tree/e0a77de6baf436d182868fa280cd5e2f0d66501c,https://github.com/encode/uvicorn/tree/185f1dac9c8d28e405143ccf133a4dd67e41768f,https://github.com/encode/uvicorn/compare/e0a77de6baf436d182868fa280cd5e2f0d66501c...185f1dac9c8d28e405143ccf133a4dd67e41768f
4,Uvicorn,3ae7bd166dbf1f5104753abf3e7fd5ec6904f3b5,0feb738378cf91107d6d856e5fa1c665bd17ce76,560,https://github.com/Kludex/uvicorn/issues/560,https://github.com/encode/uvicorn/tree/3ae7bd166dbf1f5104753abf3e7fd5ec6904f3b5,https://github.com/encode/uvicorn/tree/0feb738378cf91107d6d856e5fa1c665bd17ce76,https://github.com/encode/uvicorn/compare/3ae7bd166dbf1f5104753abf3e7fd5ec6904f3b5...0feb738378cf91107d6d856e5fa1c665bd17ce76
5,Uvicorn,914d617ce4ad13d5ff46616ab598ac091a006b14,6a346499655f1d87bffa7c9d3285f3a1110517bc,452,https://github.com/Kludex/uvicorn/issues/452,https://github.com/encode/uvicorn/tree/914d617ce4ad13d5ff46616ab598ac091a006b14,https://github.com/encode/uvicorn/tree/6a346499655f1d87bffa7c9d3285f3a1110517bc,https://github.com/encode/uvicorn/compare/914d617ce4ad13d5ff46616ab598ac091a006b14...6a346499655f1d87bffa7c9d3285f3a1110517bc
6,Uvicorn,9b92925a352b9743c5cfcef4a65e74a81a1bad4f,77468df7697ec2f2962e77d7a02e0bc22b6f9c79,549,https://github.com/Kludex/uvicorn/issues/549,https://github.com/encode/uvicorn/tree/9b92925a352b9743c5cfcef4a65e74a81a1bad4f,https://github.com/encode/uvicorn/tree/77468df7697ec2f2962e77d7a02e0bc22b6f9c79,https://github.com/encode/uvicorn/compare/9b92925a352b9743c5cfcef4a65e74a81a1bad4f...77468df7697ec2f2962e77d7a02e0bc22b6f9c79
7,Uvicorn,11f9a71f2c131e9aeb644824c41035b26fc06d83,5fa99a11d6e07367cd559a4fc8694ce537796558,219,https://github.com/Kludex/uvicorn/issues/219,https://github.com/encode/uvicorn/tree/11f9a71f2c131e9aeb644824c41035b26fc06d83,https://github.com/encode/uvicorn/tree/5fa99a11d6e07367cd559a4fc8694ce537796558,https://github.com/encode/uvicorn/compare/11f9a71f2c131e9aeb644824c41035b26fc06d83...5fa99a11d6e07367cd559a4fc8694ce537796558
8,Uvicorn,0660e7482d3592b8907e9ee61fce3f1ca6b888c7,8581b348480c0f76a152d97de5f0304a84207341,244,https://github.com/Kludex/uvicorn/issues/244,https://github.com/encode/uvicorn/tree/0660e7482d3592b8907e9ee61fce3f1ca6b888c7,https://github.com/encode/uvicorn/tree/8581b348480c0f76a152d97de5f0304a84207341,https://github.com/encode/uvicorn/compare/0660e7482d3592b8907e9ee61fce3f1ca6b888c7...8581b348480c0f76a152d97de5f0304a84207341
9,Uvicorn,320fd6d975d47257aecde808d602c9a57fb74cba,bd1a0962d36c66e823e13012df14a0fe7e36cc9c,720,https://github.com/Kludex/uvicorn/issues/720,https://github.com/encode/uvicorn/tree/320fd6d975d47257aecde808d602c9a57fb74cba,https://github.com/encode/uvicorn/tree/bd1a0962d36c66e823e13012df14a0fe7e36cc9c,https://github.com/encode/uvicorn/compare/320fd6d975d47257aecde808d602c9a57fb74cba...bd1a0962d36c66e823e13012df14a0fe7e36cc9c
10,Uvicorn,312b18645e188a462fc74ec02f05a94da6890a04,62825d3c1c2897e414b72318a079d0d8657ade34,1098,https://github.com/Kludex/uvicorn/issues/1098,https://github.com/encode/uvicorn/tree/312b18645e188a462fc74ec02f05a94da6890a04,https://github.com/encode/uvicorn/tree/62825d3c1c2897e414b72318a079d0d8657ade34,https://github.com/encode/uvicorn/compare/312b18645e188a462fc74ec02f05a94da6890a04...62825d3c1c2897e414b72318a079d0d8657ade34
11,Uvicorn,521b83ed0edd46eabba61a9ba4f4f3c0a58fce58,4e8781c4350fc26091cdf44e333e1ba7a12e965e,1326,https://github.com/Kludex/uvicorn/issues/1326,https://github.com/encode/uvicorn/tree/521b83ed0edd46eabba61a9ba4f4f3c0a58fce58,https://github.com/encode/uvicorn/tree/4e8781c4350fc26091cdf44e333e1ba7a12e965e,https://github.com/encode/uvicorn/compare/521b83ed0edd46eabba61a9ba4f4f3c0a58fce58...4e8781c4350fc26091cdf44e333e1ba7a12e965e
