bug.id,project_id,revision.id.buggy,revision.id.fixed,report.id,report.url,buggy_commit_url,fixed_commit_url,compare_url
1,Vagrant,ac7012279cad54f7afa5950ba893103d988e2079,a87cfbeea27bf220bef7f3d40ba0bc4d875794a1,3898,https://github.com/hashicorp/vagrant/issues/3898,https://github.com/hashicorp/vagran/tree/ac7012279cad54f7afa5950ba893103d988e2079,https://github.com/hashicorp/vagran/tree/a87cfbeea27bf220bef7f3d40ba0bc4d875794a1,https://github.com/hashicorp/vagran/compare/ac7012279cad54f7afa5950ba893103d988e2079...a87cfbeea27bf220bef7f3d40ba0bc4d875794a1
2,Vagrant,fd4ecf80216931880e66c1b3a93f1373f0bcb78c,004ea50bf2ae55d563fd9da23cb2d6ec6cd447e4,3978,https://github.com/hashicorp/vagrant/issues/3978,https://github.com/hashicorp/vagran/tree/fd4ecf80216931880e66c1b3a93f1373f0bcb78c,https://github.com/hashicorp/vagran/tree/004ea50bf2ae55d563fd9da23cb2d6ec6cd447e4,https://github.com/hashicorp/vagran/compare/fd4ecf80216931880e66c1b3a93f1373f0bcb78c...004ea50bf2ae55d563fd9da23cb2d6ec6cd447e4
3,Vagrant,0a5f6bb77e6a61b56c96057de94f5f8c6868e27c,de7ed34120ef1e3772932c1d7507053d29af7444,4206,https://github.com/hashicorp/vagrant/issues/4206,https://github.com/hashicorp/vagran/tree/0a5f6bb77e6a61b56c96057de94f5f8c6868e27c,https://github.com/hashicorp/vagran/tree/de7ed34120ef1e3772932c1d7507053d29af7444,https://github.com/hashicorp/vagran/compare/0a5f6bb77e6a61b56c96057de94f5f8c6868e27c...de7ed34120ef1e3772932c1d7507053d29af7444
4,Vagrant,efd1d5e11bfc5a72c7a1d1eae294b4751d841544,1fc36d2d3aeec8b39b5c31f16d6b8514282588c2,4227,https://github.com/hashicorp/vagrant/issues/4227,https://github.com/hashicorp/vagran/tree/efd1d5e11bfc5a72c7a1d1eae294b4751d841544,https://github.com/hashicorp/vagran/tree/1fc36d2d3aeec8b39b5c31f16d6b8514282588c2,https://github.com/hashicorp/vagran/compare/efd1d5e11bfc5a72c7a1d1eae294b4751d841544...1fc36d2d3aeec8b39b5c31f16d6b8514282588c2
5,Vagrant,1615325e461ddfb0ce8b46f80aabc28d5a7918a8,bd4d4284c473860b800906e4db889b5a04552d70,4104,https://github.com/hashicorp/vagrant/issues/4104,https://github.com/hashicorp/vagran/tree/1615325e461ddfb0ce8b46f80aabc28d5a7918a8,https://github.com/hashicorp/vagran/tree/bd4d4284c473860b800906e4db889b5a04552d70,https://github.com/hashicorp/vagran/compare/1615325e461ddfb0ce8b46f80aabc28d5a7918a8...bd4d4284c473860b800906e4db889b5a04552d70
6,Vagrant,c78b46dc7b8eb388ac6ea760fc074a7aa08d33fa,f1e730e9a12de05105728951a4f1a7f167eafa31,4294,https://github.com/hashicorp/vagrant/issues/4294,https://github.com/hashicorp/vagran/tree/c78b46dc7b8eb388ac6ea760fc074a7aa08d33fa,https://github.com/hashicorp/vagran/tree/f1e730e9a12de05105728951a4f1a7f167eafa31,https://github.com/hashicorp/vagran/compare/c78b46dc7b8eb388ac6ea760fc074a7aa08d33fa...f1e730e9a12de05105728951a4f1a7f167eafa31
7,Vagrant,4c7eeb7595fd36660dd7cab338e5cf87d5aee845,fb1d4adf8756a925da41b564c1b728614220d296,4438,https://github.com/hashicorp/vagrant/issues/4438,https://github.com/hashicorp/vagran/tree/4c7eeb7595fd36660dd7cab338e5cf87d5aee845,https://github.com/hashicorp/vagran/tree/fb1d4adf8756a925da41b564c1b728614220d296,https://github.com/hashicorp/vagran/compare/4c7eeb7595fd36660dd7cab338e5cf87d5aee845...fb1d4adf8756a925da41b564c1b728614220d296
8,Vagrant,03775b114aae035b3173ddf7a204feec2607f7db,1bb61fb3f9566c38ac1ef0e2bb5fc4c75ee49664,4452,https://github.com/hashicorp/vagrant/issues/4452,https://github.com/hashicorp/vagran/tree/03775b114aae035b3173ddf7a204feec2607f7db,https://github.com/hashicorp/vagran/tree/1bb61fb3f9566c38ac1ef0e2bb5fc4c75ee49664,https://github.com/hashicorp/vagran/compare/03775b114aae035b3173ddf7a204feec2607f7db...1bb61fb3f9566c38ac1ef0e2bb5fc4c75ee49664
9,Vagrant,7936994537000668b5014e2b5d7ca500519881fb,5c988b64b521013280d1b51c31294f366a67910a,4450,https://github.com/hashicorp/vagrant/issues/4450,https://github.com/hashicorp/vagran/tree/7936994537000668b5014e2b5d7ca500519881fb,https://github.com/hashicorp/vagran/tree/5c988b64b521013280d1b51c31294f366a67910a,https://github.com/hashicorp/vagran/compare/7936994537000668b5014e2b5d7ca500519881fb...5c988b64b521013280d1b51c31294f366a67910a
10,Vagrant,bde0e3fb2a577f58df98d053eb89a40b88d8fed0,5a7e00c5b1deffa3329c43c9c22186cd6d49991e,4420,https://github.com/hashicorp/vagrant/issues/4420,https://github.com/hashicorp/vagran/tree/bde0e3fb2a577f58df98d053eb89a40b88d8fed0,https://github.com/hashicorp/vagran/tree/5a7e00c5b1deffa3329c43c9c22186cd6d49991e,https://github.com/hashicorp/vagran/compare/bde0e3fb2a577f58df98d053eb89a40b88d8fed0...5a7e00c5b1deffa3329c43c9c22186cd6d49991e
