bug.id,project_id,revision.id.buggy,revision.id.fixed,report.id,report.url,buggy_commit_url,fixed_commit_url,compare_url
1,Vue2,1d02463ced3e13caa8ea394e1efc9e094db4155e,3f91f6577f7873843e3c1e7a4cd1ab1a61bcf794,3157,https://github.com/vuejs/vue/issues/3157,https://github.com/vuejs/vue/tree/1d02463ced3e13caa8ea394e1efc9e094db4155e,https://github.com/vuejs/vue/tree/3f91f6577f7873843e3c1e7a4cd1ab1a61bcf794,https://github.com/vuejs/vue/compare/1d02463ced3e13caa8ea394e1efc9e094db4155e...3f91f6577f7873843e3c1e7a4cd1ab1a61bcf794
2,Vue2,3f91f6577f7873843e3c1e7a4cd1ab1a61bcf794,cf8aeddc122dc13870ac07eff1574b2c172feb18,3155,https://github.com/vuejs/vue/issues/3155,https://github.com/vuejs/vue/tree/3f91f6577f7873843e3c1e7a4cd1ab1a61bcf794,https://github.com/vuejs/vue/tree/cf8aeddc122dc13870ac07eff1574b2c172feb18,https://github.com/vuejs/vue/compare/3f91f6577f7873843e3c1e7a4cd1ab1a61bcf794...cf8aeddc122dc13870ac07eff1574b2c172feb18
3,Vue2,feee9ef6f68994d74ba687a62aa55b8074039c39,1b60a88ee14ff3cda5ca86a319f8547374fce4eb,3176,https://github.com/vuejs/vue/issues/3176,https://github.com/vuejs/vue/tree/feee9ef6f68994d74ba687a62aa55b8074039c39,https://github.com/vuejs/vue/tree/1b60a88ee14ff3cda5ca86a319f8547374fce4eb,https://github.com/vuejs/vue/compare/feee9ef6f68994d74ba687a62aa55b8074039c39...1b60a88ee14ff3cda5ca86a319f8547374fce4eb
4,Vue2,1b60a88ee14ff3cda5ca86a319f8547374fce4eb,6cf19291bea4db51869052274e0c1acac57d0587,3179,https://github.com/vuejs/vue/issues/3179,https://github.com/vuejs/vue/tree/1b60a88ee14ff3cda5ca86a319f8547374fce4eb,https://github.com/vuejs/vue/tree/6cf19291bea4db51869052274e0c1acac57d0587,https://github.com/vuejs/vue/compare/1b60a88ee14ff3cda5ca86a319f8547374fce4eb...6cf19291bea4db51869052274e0c1acac57d0587
5,Vue2,dffeb1d1c253c6b110c2e32c7e129aad19504e6a,42889ff87a7a068fa32dba72f7950a3792277e9b,3243,https://github.com/vuejs/vue/issues/3243,https://github.com/vuejs/vue/tree/dffeb1d1c253c6b110c2e32c7e129aad19504e6a,https://github.com/vuejs/vue/tree/42889ff87a7a068fa32dba72f7950a3792277e9b,https://github.com/vuejs/vue/compare/dffeb1d1c253c6b110c2e32c7e129aad19504e6a...42889ff87a7a068fa32dba72f7950a3792277e9b
6,Vue2,a06a2d00e34bfeceb2e2538a554eafaccae74e06,0764ae252e8b7a3e3222e9b119731e85936b841d,3247,https://github.com/vuejs/vue/issues/3247,https://github.com/vuejs/vue/tree/a06a2d00e34bfeceb2e2538a554eafaccae74e06,https://github.com/vuejs/vue/tree/0764ae252e8b7a3e3222e9b119731e85936b841d,https://github.com/vuejs/vue/compare/a06a2d00e34bfeceb2e2538a554eafaccae74e06...0764ae252e8b7a3e3222e9b119731e85936b841d
7,Vue2,8401852484c8446bf7113fc6cf99714eb2b45c61,d0482a0faeeb79c250fc17e06de6c777e74bc618,3259,https://github.com/vuejs/vue/issues/3259,https://github.com/vuejs/vue/tree/8401852484c8446bf7113fc6cf99714eb2b45c61,https://github.com/vuejs/vue/tree/d0482a0faeeb79c250fc17e06de6c777e74bc618,https://github.com/vuejs/vue/compare/8401852484c8446bf7113fc6cf99714eb2b45c61...d0482a0faeeb79c250fc17e06de6c777e74bc618
8,Vue2,5660052255eb20e8f777709578f0dbf29b907b21,bff94f3120dfb77ae27304b8b24f8b23ef893ffb,3269,https://github.com/vuejs/vue/issues/3269,https://github.com/vuejs/vue/tree/5660052255eb20e8f777709578f0dbf29b907b21,https://github.com/vuejs/vue/tree/bff94f3120dfb77ae27304b8b24f8b23ef893ffb,https://github.com/vuejs/vue/compare/5660052255eb20e8f777709578f0dbf29b907b21...bff94f3120dfb77ae27304b8b24f8b23ef893ffb
9,Vue2,f0aef7556b38337b71a9bdeb988b1d99b19d7b07,819e3ce495152df7b9153e1e31737026fbf6c7b7,3252,https://github.com/vuejs/vue/issues/3252,https://github.com/vuejs/vue/tree/f0aef7556b38337b71a9bdeb988b1d99b19d7b07,https://github.com/vuejs/vue/tree/819e3ce495152df7b9153e1e31737026fbf6c7b7,https://github.com/vuejs/vue/compare/f0aef7556b38337b71a9bdeb988b1d99b19d7b07...819e3ce495152df7b9153e1e31737026fbf6c7b7
10,Vue2,ea9c6c37c3ef0ef3706afa94070b89a7464c559c,d94f113893d4c5ac7f0b8453717156ef8efb4561,3296,https://github.com/vuejs/vue/issues/3296,https://github.com/vuejs/vue/tree/ea9c6c37c3ef0ef3706afa94070b89a7464c559c,https://github.com/vuejs/vue/tree/d94f113893d4c5ac7f0b8453717156ef8efb4561,https://github.com/vuejs/vue/compare/ea9c6c37c3ef0ef3706afa94070b89a7464c559c...d94f113893d4c5ac7f0b8453717156ef8efb4561
