bug.id,project_id,revision.id.buggy,revision.id.fixed,report.id,report.url,buggy_commit_url,fixed_commit_url,compare_url
1,Webbeans_web,c84d05d6ba12f8934b2d262c2eca61260c79b395,372f9ebb4be5ba697bde28c85169bbff153769b4,OWB-354,https://issues.apache.org/jira/browse/OWB-354,https://github.com/apache/openwebbeans/tree/c84d05d6ba12f8934b2d262c2eca61260c79b395,https://github.com/apache/openwebbeans/tree/372f9ebb4be5ba697bde28c85169bbff153769b4,https://github.com/apache/openwebbeans/compare/c84d05d6ba12f8934b2d262c2eca61260c79b395...372f9ebb4be5ba697bde28c85169bbff153769b4
2,Webbeans_web,3bee8d818347f3b6ee9205df16597da89f317a02,b5d2a24101f06073ed3c277104654f1d8f1279fc,OWB-363,https://issues.apache.org/jira/browse/OWB-363,https://github.com/apache/openwebbeans/tree/3bee8d818347f3b6ee9205df16597da89f317a02,https://github.com/apache/openwebbeans/tree/b5d2a24101f06073ed3c277104654f1d8f1279fc,https://github.com/apache/openwebbeans/compare/3bee8d818347f3b6ee9205df16597da89f317a02...b5d2a24101f06073ed3c277104654f1d8f1279fc
3,Webbeans_web,bd48326df9594da4e307c093a4eab586a2a6def1,e6eee114340dfb5acbe42785e51564e2d3e08435,OWB-369,https://issues.apache.org/jira/browse/OWB-369,https://github.com/apache/openwebbeans/tree/bd48326df9594da4e307c093a4eab586a2a6def1,https://github.com/apache/openwebbeans/tree/e6eee114340dfb5acbe42785e51564e2d3e08435,https://github.com/apache/openwebbeans/compare/bd48326df9594da4e307c093a4eab586a2a6def1...e6eee114340dfb5acbe42785e51564e2d3e08435
4,Webbeans_web,bf9f91a5612bed054c68798504c0f8ae74f32eae,73b61ad276df7fe8776844d7e2e239cb2ec3e6da,OWB-377,https://issues.apache.org/jira/browse/OWB-377,https://github.com/apache/openwebbeans/tree/bf9f91a5612bed054c68798504c0f8ae74f32eae,https://github.com/apache/openwebbeans/tree/73b61ad276df7fe8776844d7e2e239cb2ec3e6da,https://github.com/apache/openwebbeans/compare/bf9f91a5612bed054c68798504c0f8ae74f32eae...73b61ad276df7fe8776844d7e2e239cb2ec3e6da
5,Webbeans_web,8fb08897e42472de0ea309b8bd7aeb1ec84ea387,d6d563ea01cab6a0cc21533041b912fca99ca2fe,OWB-390,https://issues.apache.org/jira/browse/OWB-390,https://github.com/apache/openwebbeans/tree/8fb08897e42472de0ea309b8bd7aeb1ec84ea387,https://github.com/apache/openwebbeans/tree/d6d563ea01cab6a0cc21533041b912fca99ca2fe,https://github.com/apache/openwebbeans/compare/8fb08897e42472de0ea309b8bd7aeb1ec84ea387...d6d563ea01cab6a0cc21533041b912fca99ca2fe
6,Webbeans_web,d2268a1bac9c5aa54e2babe390297d2bc65e2a98,660c62f746aad595aed87b01c945394b6efac6cc,OWB-369,https://issues.apache.org/jira/browse/OWB-369,https://github.com/apache/openwebbeans/tree/d2268a1bac9c5aa54e2babe390297d2bc65e2a98,https://github.com/apache/openwebbeans/tree/660c62f746aad595aed87b01c945394b6efac6cc,https://github.com/apache/openwebbeans/compare/d2268a1bac9c5aa54e2babe390297d2bc65e2a98...660c62f746aad595aed87b01c945394b6efac6cc
7,Webbeans_web,707d84c74e9b713bf8f3ab10c5d3d0810e6ba8f7,44ae138c285e50306bc36ba0b3702b83d1527b6a,OWB-369,https://issues.apache.org/jira/browse/OWB-369,https://github.com/apache/openwebbeans/tree/707d84c74e9b713bf8f3ab10c5d3d0810e6ba8f7,https://github.com/apache/openwebbeans/tree/44ae138c285e50306bc36ba0b3702b83d1527b6a,https://github.com/apache/openwebbeans/compare/707d84c74e9b713bf8f3ab10c5d3d0810e6ba8f7...44ae138c285e50306bc36ba0b3702b83d1527b6a
8,Webbeans_web,09e4ff9ac648f1d53fe1253134e44740c01e27e3,9567cca23d03d72d9149e53b2421c7882e857920,OWB-419,https://issues.apache.org/jira/browse/OWB-419,https://github.com/apache/openwebbeans/tree/09e4ff9ac648f1d53fe1253134e44740c01e27e3,https://github.com/apache/openwebbeans/tree/9567cca23d03d72d9149e53b2421c7882e857920,https://github.com/apache/openwebbeans/compare/09e4ff9ac648f1d53fe1253134e44740c01e27e3...9567cca23d03d72d9149e53b2421c7882e857920
9,Webbeans_web,5febc9716e3d7e784049a61f9cf13b7f5cc60717,1f0bab88f2226d2a3c892c763373f7d88528f605,OWB-385,https://issues.apache.org/jira/browse/OWB-385,https://github.com/apache/openwebbeans/tree/5febc9716e3d7e784049a61f9cf13b7f5cc60717,https://github.com/apache/openwebbeans/tree/1f0bab88f2226d2a3c892c763373f7d88528f605,https://github.com/apache/openwebbeans/compare/5febc9716e3d7e784049a61f9cf13b7f5cc60717...1f0bab88f2226d2a3c892c763373f7d88528f605
10,Webbeans_web,1f0bab88f2226d2a3c892c763373f7d88528f605,80dab102e09a8e350d9a2c16ff8ae579d012c73c,OWB-385,https://issues.apache.org/jira/browse/OWB-385,https://github.com/apache/openwebbeans/tree/1f0bab88f2226d2a3c892c763373f7d88528f605,https://github.com/apache/openwebbeans/tree/80dab102e09a8e350d9a2c16ff8ae579d012c73c,https://github.com/apache/openwebbeans/compare/1f0bab88f2226d2a3c892c763373f7d88528f605...80dab102e09a8e350d9a2c16ff8ae579d012c73c
11,Webbeans_web,87719058537f8c27d623769c689f80d8888bd2a2,c381b4fb97b0f86f79082d798e51716c3def227e,OWB-434,https://issues.apache.org/jira/browse/OWB-434,https://github.com/apache/openwebbeans/tree/87719058537f8c27d623769c689f80d8888bd2a2,https://github.com/apache/openwebbeans/tree/c381b4fb97b0f86f79082d798e51716c3def227e,https://github.com/apache/openwebbeans/compare/87719058537f8c27d623769c689f80d8888bd2a2...c381b4fb97b0f86f79082d798e51716c3def227e
12,Webbeans_web,c043e8427160348765b4de82960bba0f7fa2d0a7,be2e913be5d2545e6c808622048f724e02fb8473,OWB-385,https://issues.apache.org/jira/browse/OWB-385,https://github.com/apache/openwebbeans/tree/c043e8427160348765b4de82960bba0f7fa2d0a7,https://github.com/apache/openwebbeans/tree/be2e913be5d2545e6c808622048f724e02fb8473,https://github.com/apache/openwebbeans/compare/c043e8427160348765b4de82960bba0f7fa2d0a7...be2e913be5d2545e6c808622048f724e02fb8473
13,Webbeans_web,ea3d002b407d2c4ee9b021280c978dea50555c5a,2675901367b3409defdeef87aae8bd5f545b37f6,OWB-444,https://issues.apache.org/jira/browse/OWB-444,https://github.com/apache/openwebbeans/tree/ea3d002b407d2c4ee9b021280c978dea50555c5a,https://github.com/apache/openwebbeans/tree/2675901367b3409defdeef87aae8bd5f545b37f6,https://github.com/apache/openwebbeans/compare/ea3d002b407d2c4ee9b021280c978dea50555c5a...2675901367b3409defdeef87aae8bd5f545b37f6
14,Webbeans_web,07ac2808ea3c6763644ff19f01bf04c6ed59a0c1,51663baed75d79a7c6e42712b7ce298569cc1ba7,OWB-457,https://issues.apache.org/jira/browse/OWB-457,https://github.com/apache/openwebbeans/tree/07ac2808ea3c6763644ff19f01bf04c6ed59a0c1,https://github.com/apache/openwebbeans/tree/51663baed75d79a7c6e42712b7ce298569cc1ba7,https://github.com/apache/openwebbeans/compare/07ac2808ea3c6763644ff19f01bf04c6ed59a0c1...51663baed75d79a7c6e42712b7ce298569cc1ba7
15,Webbeans_web,bb1997ee3d116351c96cdd961dc1dfd65c0f2539,304aace57e1a61c303250b83ec0f662fdb93c3c7,OWB-457,https://issues.apache.org/jira/browse/OWB-457,https://github.com/apache/openwebbeans/tree/bb1997ee3d116351c96cdd961dc1dfd65c0f2539,https://github.com/apache/openwebbeans/tree/304aace57e1a61c303250b83ec0f662fdb93c3c7,https://github.com/apache/openwebbeans/compare/bb1997ee3d116351c96cdd961dc1dfd65c0f2539...304aace57e1a61c303250b83ec0f662fdb93c3c7
16,Webbeans_web,4a57764ef739a278207de0c330feed92b63fc6a3,34d525365639b4c0feb952068723329cdced9f34,OWB-466,https://issues.apache.org/jira/browse/OWB-466,https://github.com/apache/openwebbeans/tree/4a57764ef739a278207de0c330feed92b63fc6a3,https://github.com/apache/openwebbeans/tree/34d525365639b4c0feb952068723329cdced9f34,https://github.com/apache/openwebbeans/compare/4a57764ef739a278207de0c330feed92b63fc6a3...34d525365639b4c0feb952068723329cdced9f34
17,Webbeans_web,c1172e8bde0b0905c741a5223b1d936a79d6c02c,24745d39317b93445313635d59260624fce9c91e,OWB-480,https://issues.apache.org/jira/browse/OWB-480,https://github.com/apache/openwebbeans/tree/c1172e8bde0b0905c741a5223b1d936a79d6c02c,https://github.com/apache/openwebbeans/tree/24745d39317b93445313635d59260624fce9c91e,https://github.com/apache/openwebbeans/compare/c1172e8bde0b0905c741a5223b1d936a79d6c02c...24745d39317b93445313635d59260624fce9c91e
18,Webbeans_web,37470f68aadcd5f0d328928e713887a883c44adb,cd672bcc21b5b5590520babf5d23cef42e090cf2,OWB-502,https://issues.apache.org/jira/browse/OWB-502,https://github.com/apache/openwebbeans/tree/37470f68aadcd5f0d328928e713887a883c44adb,https://github.com/apache/openwebbeans/tree/cd672bcc21b5b5590520babf5d23cef42e090cf2,https://github.com/apache/openwebbeans/compare/37470f68aadcd5f0d328928e713887a883c44adb...cd672bcc21b5b5590520babf5d23cef42e090cf2
