bug.id,project_id,revision.id.buggy,revision.id.fixed,report.id,report.url,buggy_commit_url,fixed_commit_url,compare_url
1,Wicket_cdi,757f4b96fa68ff85251707c0f8183de133d04697,4bc20743fe628341a7cce407b36fa1984b912f92,WICKET-5226,https://issues.apache.org/jira/browse/WICKET-5226,https://github.com/apache/wicke/tree/757f4b96fa68ff85251707c0f8183de133d04697,https://github.com/apache/wicke/tree/4bc20743fe628341a7cce407b36fa1984b912f92,https://github.com/apache/wicke/compare/757f4b96fa68ff85251707c0f8183de133d04697...4bc20743fe628341a7cce407b36fa1984b912f92
2,Wicket_cdi,f583754f9deb35d98ec1229e565ea39cee0e296b,8e518d884ee35a118d6f7772ce3900abd07206f9,WICKET-5226,https://issues.apache.org/jira/browse/WICKET-5226,https://github.com/apache/wicke/tree/f583754f9deb35d98ec1229e565ea39cee0e296b,https://github.com/apache/wicke/tree/8e518d884ee35a118d6f7772ce3900abd07206f9,https://github.com/apache/wicke/compare/f583754f9deb35d98ec1229e565ea39cee0e296b...8e518d884ee35a118d6f7772ce3900abd07206f9
3,Wicket_cdi,de670c54f8ac3bb979ec9dab12c26365db35a685,11e73089311e8e9a889e0c84a462377b1dfc727d,WICKET-5226,https://issues.apache.org/jira/browse/WICKET-5226,https://github.com/apache/wicke/tree/de670c54f8ac3bb979ec9dab12c26365db35a685,https://github.com/apache/wicke/tree/11e73089311e8e9a889e0c84a462377b1dfc727d,https://github.com/apache/wicke/compare/de670c54f8ac3bb979ec9dab12c26365db35a685...11e73089311e8e9a889e0c84a462377b1dfc727d
4,Wicket_cdi,2acaf1ba130f7142b7c661968a929795c9f5d2f1,c0fc732f61d7805c19df01b70934cca58499401b,WICKET-5226,https://issues.apache.org/jira/browse/WICKET-5226,https://github.com/apache/wicke/tree/2acaf1ba130f7142b7c661968a929795c9f5d2f1,https://github.com/apache/wicke/tree/c0fc732f61d7805c19df01b70934cca58499401b,https://github.com/apache/wicke/compare/2acaf1ba130f7142b7c661968a929795c9f5d2f1...c0fc732f61d7805c19df01b70934cca58499401b
5,Wicket_cdi,c0fc732f61d7805c19df01b70934cca58499401b,736f9122436fd00844416709840eb1190454f4b1,WICKET-5226,https://issues.apache.org/jira/browse/WICKET-5226,https://github.com/apache/wicke/tree/c0fc732f61d7805c19df01b70934cca58499401b,https://github.com/apache/wicke/tree/736f9122436fd00844416709840eb1190454f4b1,https://github.com/apache/wicke/compare/c0fc732f61d7805c19df01b70934cca58499401b...736f9122436fd00844416709840eb1190454f4b1
6,Wicket_cdi,736f9122436fd00844416709840eb1190454f4b1,a9002edb2d433fb8c3b97b93ccb382ee8dcebca3,WICKET-5226,https://issues.apache.org/jira/browse/WICKET-5226,https://github.com/apache/wicke/tree/736f9122436fd00844416709840eb1190454f4b1,https://github.com/apache/wicke/tree/a9002edb2d433fb8c3b97b93ccb382ee8dcebca3,https://github.com/apache/wicke/compare/736f9122436fd00844416709840eb1190454f4b1...a9002edb2d433fb8c3b97b93ccb382ee8dcebca3
7,Wicket_cdi,f3f065c267338f17b64a6b1cd0d72fb349118d68,5f0e63c8a91ea74c57ed6ba65a9f8a60d30eb130,WICKET-5539,https://issues.apache.org/jira/browse/WICKET-5539,https://github.com/apache/wicke/tree/f3f065c267338f17b64a6b1cd0d72fb349118d68,https://github.com/apache/wicke/tree/5f0e63c8a91ea74c57ed6ba65a9f8a60d30eb130,https://github.com/apache/wicke/compare/f3f065c267338f17b64a6b1cd0d72fb349118d68...5f0e63c8a91ea74c57ed6ba65a9f8a60d30eb130
8,Wicket_cdi,b310601e79c863570dd6d4196a5c7c2aa13d7cf7,2e8d465c31cf5024c471e1431042c329a822d2fe,WICKET-6402,https://issues.apache.org/jira/browse/WICKET-6402,https://github.com/apache/wicke/tree/b310601e79c863570dd6d4196a5c7c2aa13d7cf7,https://github.com/apache/wicke/tree/2e8d465c31cf5024c471e1431042c329a822d2fe,https://github.com/apache/wicke/compare/b310601e79c863570dd6d4196a5c7c2aa13d7cf7...2e8d465c31cf5024c471e1431042c329a822d2fe
9,Wicket_cdi,7cfa536d687a181d73bc2e38d1e7ffc3e0032f0e,138abdd0ecb05947d42385db22982f3a42439e16,WICKET-6614,https://issues.apache.org/jira/browse/WICKET-6614,https://github.com/apache/wicke/tree/7cfa536d687a181d73bc2e38d1e7ffc3e0032f0e,https://github.com/apache/wicke/tree/138abdd0ecb05947d42385db22982f3a42439e16,https://github.com/apache/wicke/compare/7cfa536d687a181d73bc2e38d1e7ffc3e0032f0e...138abdd0ecb05947d42385db22982f3a42439e16
10,Wicket_cdi,c8974ee132d4ba1cf1f4651fcc89b0a61bdaae63,d79c4c2bc83b56e40933e841682a4115441b51cd,WICKET-6897,https://issues.apache.org/jira/browse/WICKET-6897,https://github.com/apache/wicke/tree/c8974ee132d4ba1cf1f4651fcc89b0a61bdaae63,https://github.com/apache/wicke/tree/d79c4c2bc83b56e40933e841682a4115441b51cd,https://github.com/apache/wicke/compare/c8974ee132d4ba1cf1f4651fcc89b0a61bdaae63...d79c4c2bc83b56e40933e841682a4115441b51cd
