bug.id,project_id,revision.id.buggy,revision.id.fixed,report.id,report.url,buggy_commit_url,fixed_commit_url,compare_url
1,Wicket_core,b397284cdf302dcef862d501d0e1657dc60ddd09,a5d02f62a1a4c46f79ea529a8accb52ec73813ce,WICKET-1721,https://issues.apache.org/jira/browse/WICKET-1721,https://github.com/apache/wicke/tree/b397284cdf302dcef862d501d0e1657dc60ddd09,https://github.com/apache/wicke/tree/a5d02f62a1a4c46f79ea529a8accb52ec73813ce,https://github.com/apache/wicke/compare/b397284cdf302dcef862d501d0e1657dc60ddd09...a5d02f62a1a4c46f79ea529a8accb52ec73813ce
2,Wicket_core,a5d02f62a1a4c46f79ea529a8accb52ec73813ce,6131e461622811b4cf14c2a95e43c82069305407,WICKET-2264,https://issues.apache.org/jira/browse/WICKET-2264,https://github.com/apache/wicke/tree/a5d02f62a1a4c46f79ea529a8accb52ec73813ce,https://github.com/apache/wicke/tree/6131e461622811b4cf14c2a95e43c82069305407,https://github.com/apache/wicke/compare/a5d02f62a1a4c46f79ea529a8accb52ec73813ce...6131e461622811b4cf14c2a95e43c82069305407
3,Wicket_core,9c0aaf3315a99e262b6f155a52e456538fbcf8ed,e5c844e3bc7c82514f3f45f0b50a36e6402b2859,WICKET-2264,https://issues.apache.org/jira/browse/WICKET-2264,https://github.com/apache/wicke/tree/9c0aaf3315a99e262b6f155a52e456538fbcf8ed,https://github.com/apache/wicke/tree/e5c844e3bc7c82514f3f45f0b50a36e6402b2859,https://github.com/apache/wicke/compare/9c0aaf3315a99e262b6f155a52e456538fbcf8ed...e5c844e3bc7c82514f3f45f0b50a36e6402b2859
4,Wicket_core,8a77bffc5259eab648c3001ef13b92d813f55985,dfce6e7ab77086f7f5ee73a4c0bd1ef91b6281ee,WICKET-3287,https://issues.apache.org/jira/browse/WICKET-3287,https://github.com/apache/wicke/tree/8a77bffc5259eab648c3001ef13b92d813f55985,https://github.com/apache/wicke/tree/dfce6e7ab77086f7f5ee73a4c0bd1ef91b6281ee,https://github.com/apache/wicke/compare/8a77bffc5259eab648c3001ef13b92d813f55985...dfce6e7ab77086f7f5ee73a4c0bd1ef91b6281ee
5,Wicket_core,5be47f4a0fb38d48175a55b6b4a63e7302275a0c,96493e754ab1885b9640014ffacf9486d5d4385d,WICKET-3292,https://issues.apache.org/jira/browse/WICKET-3292,https://github.com/apache/wicke/tree/5be47f4a0fb38d48175a55b6b4a63e7302275a0c,https://github.com/apache/wicke/tree/96493e754ab1885b9640014ffacf9486d5d4385d,https://github.com/apache/wicke/compare/5be47f4a0fb38d48175a55b6b4a63e7302275a0c...96493e754ab1885b9640014ffacf9486d5d4385d
6,Wicket_core,828200764a96731fd9171dfd36c90a8e7501b0b2,bbb0c4ab01ef586efa27bf8ace3975fa3c660c50,WICKET-1973,https://issues.apache.org/jira/browse/WICKET-1973,https://github.com/apache/wicke/tree/828200764a96731fd9171dfd36c90a8e7501b0b2,https://github.com/apache/wicke/tree/bbb0c4ab01ef586efa27bf8ace3975fa3c660c50,https://github.com/apache/wicke/compare/828200764a96731fd9171dfd36c90a8e7501b0b2...bbb0c4ab01ef586efa27bf8ace3975fa3c660c50
7,Wicket_core,b7b10b2f59fc1490969ce9f9f680454b0149d78b,71499e171ca257566915bf1b14023435c023d7f2,WICKET-3297,https://issues.apache.org/jira/browse/WICKET-3297,https://github.com/apache/wicke/tree/b7b10b2f59fc1490969ce9f9f680454b0149d78b,https://github.com/apache/wicke/tree/71499e171ca257566915bf1b14023435c023d7f2,https://github.com/apache/wicke/compare/b7b10b2f59fc1490969ce9f9f680454b0149d78b...71499e171ca257566915bf1b14023435c023d7f2
8,Wicket_core,71499e171ca257566915bf1b14023435c023d7f2,915e2e2e4816d929344a0fa3129c74c2656a3b6d,WICKET-3297,https://issues.apache.org/jira/browse/WICKET-3297,https://github.com/apache/wicke/tree/71499e171ca257566915bf1b14023435c023d7f2,https://github.com/apache/wicke/tree/915e2e2e4816d929344a0fa3129c74c2656a3b6d,https://github.com/apache/wicke/compare/71499e171ca257566915bf1b14023435c023d7f2...915e2e2e4816d929344a0fa3129c74c2656a3b6d
9,Wicket_core,1f1f306ddb7924fdd4bf943e0927db4d0d241f3f,c86b972add49b51ab744e63649b103015c2b41a6,WICKET-3272,https://issues.apache.org/jira/browse/WICKET-3272,https://github.com/apache/wicke/tree/1f1f306ddb7924fdd4bf943e0927db4d0d241f3f,https://github.com/apache/wicke/tree/c86b972add49b51ab744e63649b103015c2b41a6,https://github.com/apache/wicke/compare/1f1f306ddb7924fdd4bf943e0927db4d0d241f3f...c86b972add49b51ab744e63649b103015c2b41a6
10,Wicket_core,396cede5adb8055fee54dc8075602b76e0216df9,5429fa0962f5904983df53359974de92bb07da4f,WICKET-3272,https://issues.apache.org/jira/browse/WICKET-3272,https://github.com/apache/wicke/tree/396cede5adb8055fee54dc8075602b76e0216df9,https://github.com/apache/wicke/tree/5429fa0962f5904983df53359974de92bb07da4f,https://github.com/apache/wicke/compare/396cede5adb8055fee54dc8075602b76e0216df9...5429fa0962f5904983df53359974de92bb07da4f
