bug.id,project_id,revision.id.buggy,revision.id.fixed,report.id,report.url,buggy_commit_url,fixed_commit_url,compare_url
1,Wink_common,95fe0e89e1fc9486072b98315b72e62a1a2d9235,f9af1bc3ee4b5d4073f98112097c86d754bdf30a,WINK-15,https://issues.apache.org/jira/browse/WINK-15,https://github.com/apache/wink/tree/95fe0e89e1fc9486072b98315b72e62a1a2d9235,https://github.com/apache/wink/tree/f9af1bc3ee4b5d4073f98112097c86d754bdf30a,https://github.com/apache/wink/compare/95fe0e89e1fc9486072b98315b72e62a1a2d9235...f9af1bc3ee4b5d4073f98112097c86d754bdf30a
2,Wink_common,83fb904da3452f31bfd5a45f95fbdd0596986054,ed7da1131633332c6fa58a58247d5f60fe1d46d9,WINK-18,https://issues.apache.org/jira/browse/WINK-18,https://github.com/apache/wink/tree/83fb904da3452f31bfd5a45f95fbdd0596986054,https://github.com/apache/wink/tree/ed7da1131633332c6fa58a58247d5f60fe1d46d9,https://github.com/apache/wink/compare/83fb904da3452f31bfd5a45f95fbdd0596986054...ed7da1131633332c6fa58a58247d5f60fe1d46d9
3,Wink_common,ed7da1131633332c6fa58a58247d5f60fe1d46d9,c09b02aa0a02d1872dd01c4b4bd52cb69ee32776,WINK-18,https://issues.apache.org/jira/browse/WINK-18,https://github.com/apache/wink/tree/ed7da1131633332c6fa58a58247d5f60fe1d46d9,https://github.com/apache/wink/tree/c09b02aa0a02d1872dd01c4b4bd52cb69ee32776,https://github.com/apache/wink/compare/ed7da1131633332c6fa58a58247d5f60fe1d46d9...c09b02aa0a02d1872dd01c4b4bd52cb69ee32776
4,Wink_common,6181f8dc677938da8d621b81d3e2f638963f82fc,12c2ccc30ff594c4369af2e738a25a02a6e06c2b,WINK-19,https://issues.apache.org/jira/browse/WINK-19,https://github.com/apache/wink/tree/6181f8dc677938da8d621b81d3e2f638963f82fc,https://github.com/apache/wink/tree/12c2ccc30ff594c4369af2e738a25a02a6e06c2b,https://github.com/apache/wink/compare/6181f8dc677938da8d621b81d3e2f638963f82fc...12c2ccc30ff594c4369af2e738a25a02a6e06c2b
5,Wink_common,12c2ccc30ff594c4369af2e738a25a02a6e06c2b,2e09bfef8ffdc57c9d25c4f9051066df4cbec27b,WINK-20,https://issues.apache.org/jira/browse/WINK-20,https://github.com/apache/wink/tree/12c2ccc30ff594c4369af2e738a25a02a6e06c2b,https://github.com/apache/wink/tree/2e09bfef8ffdc57c9d25c4f9051066df4cbec27b,https://github.com/apache/wink/compare/12c2ccc30ff594c4369af2e738a25a02a6e06c2b...2e09bfef8ffdc57c9d25c4f9051066df4cbec27b
6,Wink_common,a084fb9ab7e538c71189be792dfef47fee27510e,91ca7c5a5d4e1b50f2ea7ffa6fbf4d93f76f91b9,WINK-24,https://issues.apache.org/jira/browse/WINK-24,https://github.com/apache/wink/tree/a084fb9ab7e538c71189be792dfef47fee27510e,https://github.com/apache/wink/tree/91ca7c5a5d4e1b50f2ea7ffa6fbf4d93f76f91b9,https://github.com/apache/wink/compare/a084fb9ab7e538c71189be792dfef47fee27510e...91ca7c5a5d4e1b50f2ea7ffa6fbf4d93f76f91b9
7,Wink_common,91ca7c5a5d4e1b50f2ea7ffa6fbf4d93f76f91b9,ee9446fdd00b1cd2c22fbee8a7a561dee66b2baa,WINK-21,https://issues.apache.org/jira/browse/WINK-21,https://github.com/apache/wink/tree/91ca7c5a5d4e1b50f2ea7ffa6fbf4d93f76f91b9,https://github.com/apache/wink/tree/ee9446fdd00b1cd2c22fbee8a7a561dee66b2baa,https://github.com/apache/wink/compare/91ca7c5a5d4e1b50f2ea7ffa6fbf4d93f76f91b9...ee9446fdd00b1cd2c22fbee8a7a561dee66b2baa
8,Wink_common,47fe251b4a9f2f8ae8c73e6a3cf3699571b05d75,b6e76e24a0025b16552fe77bc83eed558df968ff,WINK-7,https://issues.apache.org/jira/browse/WINK-7,https://github.com/apache/wink/tree/47fe251b4a9f2f8ae8c73e6a3cf3699571b05d75,https://github.com/apache/wink/tree/b6e76e24a0025b16552fe77bc83eed558df968ff,https://github.com/apache/wink/compare/47fe251b4a9f2f8ae8c73e6a3cf3699571b05d75...b6e76e24a0025b16552fe77bc83eed558df968ff
9,Wink_common,f7c477a15665e54e872ac15dc307ff47923b2338,43dd549292a9846f40759e832be8917ac7f6a792,WINK-31,https://issues.apache.org/jira/browse/WINK-31,https://github.com/apache/wink/tree/f7c477a15665e54e872ac15dc307ff47923b2338,https://github.com/apache/wink/tree/43dd549292a9846f40759e832be8917ac7f6a792,https://github.com/apache/wink/compare/f7c477a15665e54e872ac15dc307ff47923b2338...43dd549292a9846f40759e832be8917ac7f6a792
10,Wink_common,2368accef14ba705c01964b25384f3c61eb05116,398f27f605e84325631b81a74258094af1db0874,WINK-36,https://issues.apache.org/jira/browse/WINK-36,https://github.com/apache/wink/tree/2368accef14ba705c01964b25384f3c61eb05116,https://github.com/apache/wink/tree/398f27f605e84325631b81a74258094af1db0874,https://github.com/apache/wink/compare/2368accef14ba705c01964b25384f3c61eb05116...398f27f605e84325631b81a74258094af1db0874
