bug.id,project_id,revision.id.buggy,revision.id.fixed,report.id,report.url,buggy_commit_url,fixed_commit_url,compare_url
1,Woodstox,5fbad473ad65bccc0a2f02d3a0d66d85f1c591fe,b73e7031f508f573a29137c1bfe6ea3f6e8311c8,2,https://github.com/FasterXML/woodstox/issues/2,https://www.github.com/FasterXML/woodstox/tree/5fbad473ad65bccc0a2f02d3a0d66d85f1c591fe,https://www.github.com/FasterXML/woodstox/tree/b73e7031f508f573a29137c1bfe6ea3f6e8311c8,https://www.github.com/FasterXML/woodstox/compare/5fbad473ad65bccc0a2f02d3a0d66d85f1c591fe...b73e7031f508f573a29137c1bfe6ea3f6e8311c8
2,Woodstox,dc0c2353d057e4602a347c5593a423b640168246,1ec1545e185d954495b8cd4b1ddf71cdcb829e18,7,https://github.com/FasterXML/woodstox/issues/7,https://www.github.com/FasterXML/woodstox/tree/dc0c2353d057e4602a347c5593a423b640168246,https://www.github.com/FasterXML/woodstox/tree/1ec1545e185d954495b8cd4b1ddf71cdcb829e18,https://www.github.com/FasterXML/woodstox/compare/dc0c2353d057e4602a347c5593a423b640168246...1ec1545e185d954495b8cd4b1ddf71cdcb829e18
3,Woodstox,1ec1545e185d954495b8cd4b1ddf71cdcb829e18,2cd61bcc6cad657f0b025ba85ba24035bee6c990,10,https://github.com/FasterXML/woodstox/issues/10,https://www.github.com/FasterXML/woodstox/tree/1ec1545e185d954495b8cd4b1ddf71cdcb829e18,https://www.github.com/FasterXML/woodstox/tree/2cd61bcc6cad657f0b025ba85ba24035bee6c990,https://www.github.com/FasterXML/woodstox/compare/1ec1545e185d954495b8cd4b1ddf71cdcb829e18...2cd61bcc6cad657f0b025ba85ba24035bee6c990
4,Woodstox,4debd108e9a9e8423ddb489dee4fe6230bbde761,db22adc6efa9c99814466f8a9dc19e3a3f25136b,13,https://github.com/FasterXML/woodstox/issues/13,https://www.github.com/FasterXML/woodstox/tree/4debd108e9a9e8423ddb489dee4fe6230bbde761,https://www.github.com/FasterXML/woodstox/tree/db22adc6efa9c99814466f8a9dc19e3a3f25136b,https://www.github.com/FasterXML/woodstox/compare/4debd108e9a9e8423ddb489dee4fe6230bbde761...db22adc6efa9c99814466f8a9dc19e3a3f25136b
5,Woodstox,ead77f050d5eff36236713c5a1f2a5cd24a1ac29,525295033c9e73df73ed2073ba18378fb210edd6,21,https://github.com/FasterXML/woodstox/issues/21,https://www.github.com/FasterXML/woodstox/tree/ead77f050d5eff36236713c5a1f2a5cd24a1ac29,https://www.github.com/FasterXML/woodstox/tree/525295033c9e73df73ed2073ba18378fb210edd6,https://www.github.com/FasterXML/woodstox/compare/ead77f050d5eff36236713c5a1f2a5cd24a1ac29...525295033c9e73df73ed2073ba18378fb210edd6
6,Woodstox,525295033c9e73df73ed2073ba18378fb210edd6,a8bcdefbc59d4200bbdcd4b255d2e34e8e5048b0,15,https://github.com/FasterXML/woodstox/issues/15,https://www.github.com/FasterXML/woodstox/tree/525295033c9e73df73ed2073ba18378fb210edd6,https://www.github.com/FasterXML/woodstox/tree/a8bcdefbc59d4200bbdcd4b255d2e34e8e5048b0,https://www.github.com/FasterXML/woodstox/compare/525295033c9e73df73ed2073ba18378fb210edd6...a8bcdefbc59d4200bbdcd4b255d2e34e8e5048b0
7,Woodstox,c2ffc0f55315d03d86eee23317541e3aeb19fd31,87e136dd23ad0ddc7dfb524ac5f5b4ab9520926f,43,https://github.com/FasterXML/woodstox/issues/43,https://www.github.com/FasterXML/woodstox/tree/c2ffc0f55315d03d86eee23317541e3aeb19fd31,https://www.github.com/FasterXML/woodstox/tree/87e136dd23ad0ddc7dfb524ac5f5b4ab9520926f,https://www.github.com/FasterXML/woodstox/compare/c2ffc0f55315d03d86eee23317541e3aeb19fd31...87e136dd23ad0ddc7dfb524ac5f5b4ab9520926f
8,Woodstox,1effd4d2c805e37a5e554b3b3edfeb91d1197b78,fdeecbd1dea0400f589b8e064c4740887240ff3c,23,https://github.com/FasterXML/woodstox/issues/23,https://www.github.com/FasterXML/woodstox/tree/1effd4d2c805e37a5e554b3b3edfeb91d1197b78,https://www.github.com/FasterXML/woodstox/tree/fdeecbd1dea0400f589b8e064c4740887240ff3c,https://www.github.com/FasterXML/woodstox/compare/1effd4d2c805e37a5e554b3b3edfeb91d1197b78...fdeecbd1dea0400f589b8e064c4740887240ff3c
9,Woodstox,bae0330b0c2895b4aeb35ac83aa961d7f29bfa66,3175647b0eba4289369e296171dee5ad11444261,47,https://github.com/FasterXML/woodstox/issues/47,https://www.github.com/FasterXML/woodstox/tree/bae0330b0c2895b4aeb35ac83aa961d7f29bfa66,https://www.github.com/FasterXML/woodstox/tree/3175647b0eba4289369e296171dee5ad11444261,https://www.github.com/FasterXML/woodstox/compare/bae0330b0c2895b4aeb35ac83aa961d7f29bfa66...3175647b0eba4289369e296171dee5ad11444261
10,Woodstox,3175647b0eba4289369e296171dee5ad11444261,de337f05062d6af84c92f00b986e16f56ef2f93d,47,https://github.com/FasterXML/woodstox/issues/47,https://www.github.com/FasterXML/woodstox/tree/3175647b0eba4289369e296171dee5ad11444261,https://www.github.com/FasterXML/woodstox/tree/de337f05062d6af84c92f00b986e16f56ef2f93d,https://www.github.com/FasterXML/woodstox/compare/3175647b0eba4289369e296171dee5ad11444261...de337f05062d6af84c92f00b986e16f56ef2f93d
