bug.id,project_id,revision.id.buggy,revision.id.fixed,report.id,report.url,buggy_commit_url,fixed_commit_url,compare_url
1,Xunit,470486fa0f07cb9991c6899bd5d4587a6562e8f2,df2e5a7b6b2fe7c5f60a305d538fea18fac2d809,5,https://github.com/xunit/xunit/issues/5,https://github.com/xunit/xun/tree/470486fa0f07cb9991c6899bd5d4587a6562e8f2,https://github.com/xunit/xun/tree/df2e5a7b6b2fe7c5f60a305d538fea18fac2d809,https://github.com/xunit/xun/compare/470486fa0f07cb9991c6899bd5d4587a6562e8f2...df2e5a7b6b2fe7c5f60a305d538fea18fac2d809
2,Xunit,0ca932b0a65b69d084c726f8396a9d3f3fbc36c3,e4045a98540d83a2f1070ab5fc204dbd14e972c8,12,https://github.com/xunit/xunit/issues/12,https://github.com/xunit/xun/tree/0ca932b0a65b69d084c726f8396a9d3f3fbc36c3,https://github.com/xunit/xun/tree/e4045a98540d83a2f1070ab5fc204dbd14e972c8,https://github.com/xunit/xun/compare/0ca932b0a65b69d084c726f8396a9d3f3fbc36c3...e4045a98540d83a2f1070ab5fc204dbd14e972c8
3,Xunit,7971a1b8668f373cfcabc0bfaf5f57ca7ada5cb3,710c2d1bc54470a6d7834f2fec104d8e5f35450d,25,https://github.com/xunit/xunit/issues/25,https://github.com/xunit/xun/tree/7971a1b8668f373cfcabc0bfaf5f57ca7ada5cb3,https://github.com/xunit/xun/tree/710c2d1bc54470a6d7834f2fec104d8e5f35450d,https://github.com/xunit/xun/compare/7971a1b8668f373cfcabc0bfaf5f57ca7ada5cb3...710c2d1bc54470a6d7834f2fec104d8e5f35450d
4,Xunit,710c2d1bc54470a6d7834f2fec104d8e5f35450d,b3faa7b69a1567fab4e945879b0c40df76ff3910,20,https://github.com/xunit/xunit/issues/20,https://github.com/xunit/xun/tree/710c2d1bc54470a6d7834f2fec104d8e5f35450d,https://github.com/xunit/xun/tree/b3faa7b69a1567fab4e945879b0c40df76ff3910,https://github.com/xunit/xun/compare/710c2d1bc54470a6d7834f2fec104d8e5f35450d...b3faa7b69a1567fab4e945879b0c40df76ff3910
5,Xunit,b3faa7b69a1567fab4e945879b0c40df76ff3910,160ea5d5898e70496fe64443f4555cbcceb5d611,30,https://github.com/xunit/xunit/issues/30,https://github.com/xunit/xun/tree/b3faa7b69a1567fab4e945879b0c40df76ff3910,https://github.com/xunit/xun/tree/160ea5d5898e70496fe64443f4555cbcceb5d611,https://github.com/xunit/xun/compare/b3faa7b69a1567fab4e945879b0c40df76ff3910...160ea5d5898e70496fe64443f4555cbcceb5d611
6,Xunit,3c006e5db2fa79c9aa4b1b2718e611091f253ccc,277dd4b2a83bfc27aeb9aa4be96593b212f701c6,59,https://github.com/xunit/xunit/issues/59,https://github.com/xunit/xun/tree/3c006e5db2fa79c9aa4b1b2718e611091f253ccc,https://github.com/xunit/xun/tree/277dd4b2a83bfc27aeb9aa4be96593b212f701c6,https://github.com/xunit/xun/compare/3c006e5db2fa79c9aa4b1b2718e611091f253ccc...277dd4b2a83bfc27aeb9aa4be96593b212f701c6
7,Xunit,277dd4b2a83bfc27aeb9aa4be96593b212f701c6,80fe3ba105c09794a49d78e469c1c6d33f392e04,28,https://github.com/xunit/xunit/issues/28,https://github.com/xunit/xun/tree/277dd4b2a83bfc27aeb9aa4be96593b212f701c6,https://github.com/xunit/xun/tree/80fe3ba105c09794a49d78e469c1c6d33f392e04,https://github.com/xunit/xun/compare/277dd4b2a83bfc27aeb9aa4be96593b212f701c6...80fe3ba105c09794a49d78e469c1c6d33f392e04
8,Xunit,e0651f4fc1cef623f9aecfd17788e5f2bccfe31e,56af01b2e24a149748dd8104efc4139310740ba6,41,https://github.com/xunit/xunit/issues/41,https://github.com/xunit/xun/tree/e0651f4fc1cef623f9aecfd17788e5f2bccfe31e,https://github.com/xunit/xun/tree/56af01b2e24a149748dd8104efc4139310740ba6,https://github.com/xunit/xun/compare/e0651f4fc1cef623f9aecfd17788e5f2bccfe31e...56af01b2e24a149748dd8104efc4139310740ba6
9,Xunit,56af01b2e24a149748dd8104efc4139310740ba6,075bedaa4a25ca407b6a73f4e5c2f68298618967,51,https://github.com/xunit/xunit/issues/51,https://github.com/xunit/xun/tree/56af01b2e24a149748dd8104efc4139310740ba6,https://github.com/xunit/xun/tree/075bedaa4a25ca407b6a73f4e5c2f68298618967,https://github.com/xunit/xun/compare/56af01b2e24a149748dd8104efc4139310740ba6...075bedaa4a25ca407b6a73f4e5c2f68298618967
10,Xunit,f18dbf2b85dc8dea21d6efd5ffcb331268b38bc2,cb0224191dedd8c58ed940d6d6b9a417e1052803,62,https://github.com/xunit/xunit/issues/62,https://github.com/xunit/xun/tree/f18dbf2b85dc8dea21d6efd5ffcb331268b38bc2,https://github.com/xunit/xun/tree/cb0224191dedd8c58ed940d6d6b9a417e1052803,https://github.com/xunit/xun/compare/f18dbf2b85dc8dea21d6efd5ffcb331268b38bc2...cb0224191dedd8c58ed940d6d6b9a417e1052803
11,Xunit,d73e7f7f06396701cf7b9e579581056ef3033de4,206795473879f3a225054b1aa7080568079924fc,65,https://github.com/xunit/xunit/issues/65,https://github.com/xunit/xun/tree/d73e7f7f06396701cf7b9e579581056ef3033de4,https://github.com/xunit/xun/tree/206795473879f3a225054b1aa7080568079924fc,https://github.com/xunit/xun/compare/d73e7f7f06396701cf7b9e579581056ef3033de4...206795473879f3a225054b1aa7080568079924fc
12,Xunit,206795473879f3a225054b1aa7080568079924fc,9468532386412f07520f31c7662d1bd8c99fa96c,58,https://github.com/xunit/xunit/issues/58,https://github.com/xunit/xun/tree/206795473879f3a225054b1aa7080568079924fc,https://github.com/xunit/xun/tree/9468532386412f07520f31c7662d1bd8c99fa96c,https://github.com/xunit/xun/compare/206795473879f3a225054b1aa7080568079924fc...9468532386412f07520f31c7662d1bd8c99fa96c
