bug.id,project_id,revision.id.buggy,revision.id.fixed,report.id,report.url,buggy_commit_url,fixed_commit_url,compare_url
1,Zaproxy,5a670b0d561662b6508e6cbaa7e20399ee44548e,b3b7a3fa544b00ee25685d7f3538c055d513623d,1459,https://github.com/zaproxy/zaproxy/issues/1459,https://github.com/zaproxy/zaproxy/tree/5a670b0d561662b6508e6cbaa7e20399ee44548e,https://github.com/zaproxy/zaproxy/tree/b3b7a3fa544b00ee25685d7f3538c055d513623d,https://github.com/zaproxy/zaproxy/compare/5a670b0d561662b6508e6cbaa7e20399ee44548e...b3b7a3fa544b00ee25685d7f3538c055d513623d
2,Zaproxy,728c26ccdb9c2eb87ac901388e3810d83392561f,3c0a1e8da6336e21b6cd5ddfe8ca97f268941b47,1473,https://github.com/zaproxy/zaproxy/issues/1473,https://github.com/zaproxy/zaproxy/tree/728c26ccdb9c2eb87ac901388e3810d83392561f,https://github.com/zaproxy/zaproxy/tree/3c0a1e8da6336e21b6cd5ddfe8ca97f268941b47,https://github.com/zaproxy/zaproxy/compare/728c26ccdb9c2eb87ac901388e3810d83392561f...3c0a1e8da6336e21b6cd5ddfe8ca97f268941b47
3,Zaproxy,3c0a1e8da6336e21b6cd5ddfe8ca97f268941b47,178ac8376772b69358cca904d0b8d5b8eae16647,1636,https://github.com/zaproxy/zaproxy/issues/1636,https://github.com/zaproxy/zaproxy/tree/3c0a1e8da6336e21b6cd5ddfe8ca97f268941b47,https://github.com/zaproxy/zaproxy/tree/178ac8376772b69358cca904d0b8d5b8eae16647,https://github.com/zaproxy/zaproxy/compare/3c0a1e8da6336e21b6cd5ddfe8ca97f268941b47...178ac8376772b69358cca904d0b8d5b8eae16647
4,Zaproxy,5149f4838e75a38249f72ffa405a53e3ba3dc4db,1a17ebcb2ea71f897ae7e2859d8e21630076eb0e,1624,https://github.com/zaproxy/zaproxy/issues/1624,https://github.com/zaproxy/zaproxy/tree/5149f4838e75a38249f72ffa405a53e3ba3dc4db,https://github.com/zaproxy/zaproxy/tree/1a17ebcb2ea71f897ae7e2859d8e21630076eb0e,https://github.com/zaproxy/zaproxy/compare/5149f4838e75a38249f72ffa405a53e3ba3dc4db...1a17ebcb2ea71f897ae7e2859d8e21630076eb0e
5,Zaproxy,ac50bebc6e6788e3fb9c4a48f16ff31f63a385dd,10025947458ead717c22bef3ca05a06f6d1c9b83,1500,https://github.com/zaproxy/zaproxy/issues/1500,https://github.com/zaproxy/zaproxy/tree/ac50bebc6e6788e3fb9c4a48f16ff31f63a385dd,https://github.com/zaproxy/zaproxy/tree/10025947458ead717c22bef3ca05a06f6d1c9b83,https://github.com/zaproxy/zaproxy/compare/ac50bebc6e6788e3fb9c4a48f16ff31f63a385dd...10025947458ead717c22bef3ca05a06f6d1c9b83
6,Zaproxy,ac50bebc6e6788e3fb9c4a48f16ff31f63a385dd,124df7a365d6fb2fb79fe579a3f8e973be09af47,1694,https://github.com/zaproxy/zaproxy/issues/1694,https://github.com/zaproxy/zaproxy/tree/ac50bebc6e6788e3fb9c4a48f16ff31f63a385dd,https://github.com/zaproxy/zaproxy/tree/124df7a365d6fb2fb79fe579a3f8e973be09af47,https://github.com/zaproxy/zaproxy/compare/ac50bebc6e6788e3fb9c4a48f16ff31f63a385dd...124df7a365d6fb2fb79fe579a3f8e973be09af47
7,Zaproxy,f5c3005707db6af17ac206a55f79dec4e6b09c05,b505476ffe4070d15f62cabd32931c2597b8cdad,1698,https://github.com/zaproxy/zaproxy/issues/1698,https://github.com/zaproxy/zaproxy/tree/f5c3005707db6af17ac206a55f79dec4e6b09c05,https://github.com/zaproxy/zaproxy/tree/b505476ffe4070d15f62cabd32931c2597b8cdad,https://github.com/zaproxy/zaproxy/compare/f5c3005707db6af17ac206a55f79dec4e6b09c05...b505476ffe4070d15f62cabd32931c2597b8cdad
8,Zaproxy,ec37785b74e60f3345638ade13c64dba33e96b27,9b7783840c00bfa604a8a6d41b1c819d31680e65,1699,https://github.com/zaproxy/zaproxy/issues/1699,https://github.com/zaproxy/zaproxy/tree/ec37785b74e60f3345638ade13c64dba33e96b27,https://github.com/zaproxy/zaproxy/tree/9b7783840c00bfa604a8a6d41b1c819d31680e65,https://github.com/zaproxy/zaproxy/compare/ec37785b74e60f3345638ade13c64dba33e96b27...9b7783840c00bfa604a8a6d41b1c819d31680e65
9,Zaproxy,25f6cd27f88fbfafb0158829dcee2e98c92d89af,cb2c8dd97e0c4f5aeb39076c639b29aa89f909cc,444,https://github.com/zaproxy/zaproxy/issues/444,https://github.com/zaproxy/zaproxy/tree/25f6cd27f88fbfafb0158829dcee2e98c92d89af,https://github.com/zaproxy/zaproxy/tree/cb2c8dd97e0c4f5aeb39076c639b29aa89f909cc,https://github.com/zaproxy/zaproxy/compare/25f6cd27f88fbfafb0158829dcee2e98c92d89af...cb2c8dd97e0c4f5aeb39076c639b29aa89f909cc
10,Zaproxy,8daa6845af61f5662036af10e4abfad46de87b1d,c0dd24c90ca85d8cd511c69e9004e1d0429f6f9c,1706,https://github.com/zaproxy/zaproxy/issues/1706,https://github.com/zaproxy/zaproxy/tree/8daa6845af61f5662036af10e4abfad46de87b1d,https://github.com/zaproxy/zaproxy/tree/c0dd24c90ca85d8cd511c69e9004e1d0429f6f9c,https://github.com/zaproxy/zaproxy/compare/8daa6845af61f5662036af10e4abfad46de87b1d...c0dd24c90ca85d8cd511c69e9004e1d0429f6f9c
