bug.id,project_id,revision.id.buggy,revision.id.fixed,report.id,report.url,buggy_commit_url,fixed_commit_url,compare_url
1,Zerolog,fcbdf23e9e0e9f6cf9ff07e32d824d4e6d4a86af,27e0a22cbc6f6a8f2a7ac2ed2c9b410b05f59e02,34,https://github.com/rs/zerolog/issues/34,https://github.com/rs/zerolo/tree/fcbdf23e9e0e9f6cf9ff07e32d824d4e6d4a86af,https://github.com/rs/zerolo/tree/27e0a22cbc6f6a8f2a7ac2ed2c9b410b05f59e02,https://github.com/rs/zerolo/compare/fcbdf23e9e0e9f6cf9ff07e32d824d4e6d4a86af...27e0a22cbc6f6a8f2a7ac2ed2c9b410b05f59e02
2,Zerolog,24cc441b11a5f57af7d9ea86f0b07b27c129562f,d0ca9bbceba337238110f05f26093f5750c0cbe3,46,https://github.com/rs/zerolog/issues/46,https://github.com/rs/zerolo/tree/24cc441b11a5f57af7d9ea86f0b07b27c129562f,https://github.com/rs/zerolo/tree/d0ca9bbceba337238110f05f26093f5750c0cbe3,https://github.com/rs/zerolo/compare/24cc441b11a5f57af7d9ea86f0b07b27c129562f...d0ca9bbceba337238110f05f26093f5750c0cbe3
3,Zerolog,711d95f5f15c629338eebfbb919cbe90c70600a1,d2b7a51951c626ef9e7ca5ba8fe1cf1c4adefdba,55,https://github.com/rs/zerolog/issues/55,https://github.com/rs/zerolo/tree/711d95f5f15c629338eebfbb919cbe90c70600a1,https://github.com/rs/zerolo/tree/d2b7a51951c626ef9e7ca5ba8fe1cf1c4adefdba,https://github.com/rs/zerolo/compare/711d95f5f15c629338eebfbb919cbe90c70600a1...d2b7a51951c626ef9e7ca5ba8fe1cf1c4adefdba
4,Zerolog,d2b7a51951c626ef9e7ca5ba8fe1cf1c4adefdba,89162918d050fd4b6ec2e4e0da3d03d51e4b0e05,58,https://github.com/rs/zerolog/issues/58,https://github.com/rs/zerolo/tree/d2b7a51951c626ef9e7ca5ba8fe1cf1c4adefdba,https://github.com/rs/zerolo/tree/89162918d050fd4b6ec2e4e0da3d03d51e4b0e05,https://github.com/rs/zerolo/compare/d2b7a51951c626ef9e7ca5ba8fe1cf1c4adefdba...89162918d050fd4b6ec2e4e0da3d03d51e4b0e05
5,Zerolog,533ee32d5daba4d267593e79581afac50b57773c,b5207c012d2c2d73bec68f517ef281fdad38114b,62,https://github.com/rs/zerolog/issues/62,https://github.com/rs/zerolo/tree/533ee32d5daba4d267593e79581afac50b57773c,https://github.com/rs/zerolo/tree/b5207c012d2c2d73bec68f517ef281fdad38114b,https://github.com/rs/zerolo/compare/533ee32d5daba4d267593e79581afac50b57773c...b5207c012d2c2d73bec68f517ef281fdad38114b
6,Zerolog,1c6d99b45538810b3e120bc5a1c29fc019918225,9cd6f6eef2d7e9041629e2dd853778a9b2abddbd,80,https://github.com/rs/zerolog/issues/80,https://github.com/rs/zerolo/tree/1c6d99b45538810b3e120bc5a1c29fc019918225,https://github.com/rs/zerolo/tree/9cd6f6eef2d7e9041629e2dd853778a9b2abddbd,https://github.com/rs/zerolo/compare/1c6d99b45538810b3e120bc5a1c29fc019918225...9cd6f6eef2d7e9041629e2dd853778a9b2abddbd
7,Zerolog,bae001d86bbb77870a9576fb4e42ef285937bccb,71e1f5e052d017a22320883199723057e89f3ec8,90,https://github.com/rs/zerolog/issues/90,https://github.com/rs/zerolo/tree/bae001d86bbb77870a9576fb4e42ef285937bccb,https://github.com/rs/zerolo/tree/71e1f5e052d017a22320883199723057e89f3ec8,https://github.com/rs/zerolo/compare/bae001d86bbb77870a9576fb4e42ef285937bccb...71e1f5e052d017a22320883199723057e89f3ec8
8,Zerolog,b6f076edc801b110475cbf68da701e2bea52096a,1dde226d4517f8f53b7d962a80b02cd73671607d,104,https://github.com/rs/zerolog/issues/104,https://github.com/rs/zerolo/tree/b6f076edc801b110475cbf68da701e2bea52096a,https://github.com/rs/zerolo/tree/1dde226d4517f8f53b7d962a80b02cd73671607d,https://github.com/rs/zerolo/compare/b6f076edc801b110475cbf68da701e2bea52096a...1dde226d4517f8f53b7d962a80b02cd73671607d
9,Zerolog,338f9bc14084d22cb8eeacd6492861f8449d715c,20ad1708e7e26f1672fcc0f12e2e501fefd979a5,108,https://github.com/rs/zerolog/issues/108,https://github.com/rs/zerolo/tree/338f9bc14084d22cb8eeacd6492861f8449d715c,https://github.com/rs/zerolo/tree/20ad1708e7e26f1672fcc0f12e2e501fefd979a5,https://github.com/rs/zerolo/compare/338f9bc14084d22cb8eeacd6492861f8449d715c...20ad1708e7e26f1672fcc0f12e2e501fefd979a5
10,Zerolog,51c79ca476f01c3f6574665d041b66c8ae91fdf0,96f91bb4f5dae9f5026ed08500dd8692f9cdf67b,84,https://github.com/rs/zerolog/issues/84,https://github.com/rs/zerolo/tree/51c79ca476f01c3f6574665d041b66c8ae91fdf0,https://github.com/rs/zerolo/tree/96f91bb4f5dae9f5026ed08500dd8692f9cdf67b,https://github.com/rs/zerolo/compare/51c79ca476f01c3f6574665d041b66c8ae91fdf0...96f91bb4f5dae9f5026ed08500dd8692f9cdf67b
11,Zerolog,299ff038c1fb98b0d127137bc6a7a869b9f4ced5,6d6350a51143b5c0d0a6a3b736ee2b41315f7269,137,https://github.com/rs/zerolog/issues/137,https://github.com/rs/zerolo/tree/299ff038c1fb98b0d127137bc6a7a869b9f4ced5,https://github.com/rs/zerolo/tree/6d6350a51143b5c0d0a6a3b736ee2b41315f7269,https://github.com/rs/zerolo/compare/299ff038c1fb98b0d127137bc6a7a869b9f4ced5...6d6350a51143b5c0d0a6a3b736ee2b41315f7269
12,Zerolog,ffd0e9625da4db1671b8af46ea9b10e23224048b,1a2c7daec4a73dc46b8718326046c56491dd09e2,140,https://github.com/rs/zerolog/issues/140,https://github.com/rs/zerolo/tree/ffd0e9625da4db1671b8af46ea9b10e23224048b,https://github.com/rs/zerolo/tree/1a2c7daec4a73dc46b8718326046c56491dd09e2,https://github.com/rs/zerolo/compare/ffd0e9625da4db1671b8af46ea9b10e23224048b...1a2c7daec4a73dc46b8718326046c56491dd09e2
13,Zerolog,1a2c7daec4a73dc46b8718326046c56491dd09e2,9938a23cba397691dbdc7a963304dbfedbe3a84c,152,https://github.com/rs/zerolog/issues/152,https://github.com/rs/zerolo/tree/1a2c7daec4a73dc46b8718326046c56491dd09e2,https://github.com/rs/zerolo/tree/9938a23cba397691dbdc7a963304dbfedbe3a84c,https://github.com/rs/zerolo/compare/1a2c7daec4a73dc46b8718326046c56491dd09e2...9938a23cba397691dbdc7a963304dbfedbe3a84c
14,Zerolog,f83de79b81aaf837343796c21e4b988b62c73055,63767a55ec2dec570ee7cc48060f95feada32f2c,73,https://github.com/rs/zerolog/issues/73,https://github.com/rs/zerolo/tree/f83de79b81aaf837343796c21e4b988b62c73055,https://github.com/rs/zerolo/tree/63767a55ec2dec570ee7cc48060f95feada32f2c,https://github.com/rs/zerolo/compare/f83de79b81aaf837343796c21e4b988b62c73055...63767a55ec2dec570ee7cc48060f95feada32f2c
15,Zerolog,4f50ae2ed060b877dac885c21dedad0e0c19e875,a8f5328bb7c784b044cc9649643d56d97ad2334c,281,https://github.com/rs/zerolog/issues/281,https://github.com/rs/zerolo/tree/4f50ae2ed060b877dac885c21dedad0e0c19e875,https://github.com/rs/zerolo/tree/a8f5328bb7c784b044cc9649643d56d97ad2334c,https://github.com/rs/zerolo/compare/4f50ae2ed060b877dac885c21dedad0e0c19e875...a8f5328bb7c784b044cc9649643d56d97ad2334c
16,Zerolog,7a3aa8746f6f9f744220cf29e9f03d6d2b64cf06,7ccd4c940bf8a02fcc5f10e5475f9d3daff04d57,291,https://github.com/rs/zerolog/issues/291,https://github.com/rs/zerolo/tree/7a3aa8746f6f9f744220cf29e9f03d6d2b64cf06,https://github.com/rs/zerolo/tree/7ccd4c940bf8a02fcc5f10e5475f9d3daff04d57,https://github.com/rs/zerolo/compare/7a3aa8746f6f9f744220cf29e9f03d6d2b64cf06...7ccd4c940bf8a02fcc5f10e5475f9d3daff04d57
