bug.id,project_id,revision.id.buggy,revision.id.fixed,report.id,report.url,buggy_commit_url,fixed_commit_url,compare_url
1,Zip4j,596292a0ffad3eaea97754553c16e7dad17898c7,c2a027fe1b515f232e8b571771bacdf274a20093,6,https://github.com/srikanth-lingala/zip4j/issues/6,https://github.com/srikanth-lingala/zip4j/tree/596292a0ffad3eaea97754553c16e7dad17898c7,https://github.com/srikanth-lingala/zip4j/tree/c2a027fe1b515f232e8b571771bacdf274a20093,https://github.com/srikanth-lingala/zip4j/compare/596292a0ffad3eaea97754553c16e7dad17898c7...c2a027fe1b515f232e8b571771bacdf274a20093
2,Zip4j,aee7f6baa5087db7e2c4b5380b8731a1f76910cb,3cc6f3bac693f75f69d455310ebf689fcc4b371c,5,https://github.com/srikanth-lingala/zip4j/issues/5,https://github.com/srikanth-lingala/zip4j/tree/aee7f6baa5087db7e2c4b5380b8731a1f76910cb,https://github.com/srikanth-lingala/zip4j/tree/3cc6f3bac693f75f69d455310ebf689fcc4b371c,https://github.com/srikanth-lingala/zip4j/compare/aee7f6baa5087db7e2c4b5380b8731a1f76910cb...3cc6f3bac693f75f69d455310ebf689fcc4b371c
3,Zip4j,3cc6f3bac693f75f69d455310ebf689fcc4b371c,84eab0d95c92d0fb68e6340b7698e705b704340d,8,https://github.com/srikanth-lingala/zip4j/issues/8,https://github.com/srikanth-lingala/zip4j/tree/3cc6f3bac693f75f69d455310ebf689fcc4b371c,https://github.com/srikanth-lingala/zip4j/tree/84eab0d95c92d0fb68e6340b7698e705b704340d,https://github.com/srikanth-lingala/zip4j/compare/3cc6f3bac693f75f69d455310ebf689fcc4b371c...84eab0d95c92d0fb68e6340b7698e705b704340d
4,Zip4j,a7c24fcda17910d5c2c5967876d27232753d9e82,261b98cf79722ad7261cf68c3d67a1c7ee4986ee,9,https://github.com/srikanth-lingala/zip4j/issues/9,https://github.com/srikanth-lingala/zip4j/tree/a7c24fcda17910d5c2c5967876d27232753d9e82,https://github.com/srikanth-lingala/zip4j/tree/261b98cf79722ad7261cf68c3d67a1c7ee4986ee,https://github.com/srikanth-lingala/zip4j/compare/a7c24fcda17910d5c2c5967876d27232753d9e82...261b98cf79722ad7261cf68c3d67a1c7ee4986ee
5,Zip4j,261b98cf79722ad7261cf68c3d67a1c7ee4986ee,5c75973031371a3078bbebb35d19f44d2a3b9d8a,9,https://github.com/srikanth-lingala/zip4j/issues/9,https://github.com/srikanth-lingala/zip4j/tree/261b98cf79722ad7261cf68c3d67a1c7ee4986ee,https://github.com/srikanth-lingala/zip4j/tree/5c75973031371a3078bbebb35d19f44d2a3b9d8a,https://github.com/srikanth-lingala/zip4j/compare/261b98cf79722ad7261cf68c3d67a1c7ee4986ee...5c75973031371a3078bbebb35d19f44d2a3b9d8a
6,Zip4j,4a8e7175caba940de63987c4ce0df859527a1d9b,6e65b561fdacfd018d499154638335f980478713,10,https://github.com/srikanth-lingala/zip4j/issues/10,https://github.com/srikanth-lingala/zip4j/tree/4a8e7175caba940de63987c4ce0df859527a1d9b,https://github.com/srikanth-lingala/zip4j/tree/6e65b561fdacfd018d499154638335f980478713,https://github.com/srikanth-lingala/zip4j/compare/4a8e7175caba940de63987c4ce0df859527a1d9b...6e65b561fdacfd018d499154638335f980478713
7,Zip4j,6e65b561fdacfd018d499154638335f980478713,498a1256a85155927f26dfd70a55b6bd1fb98e98,12,https://github.com/srikanth-lingala/zip4j/issues/12,https://github.com/srikanth-lingala/zip4j/tree/6e65b561fdacfd018d499154638335f980478713,https://github.com/srikanth-lingala/zip4j/tree/498a1256a85155927f26dfd70a55b6bd1fb98e98,https://github.com/srikanth-lingala/zip4j/compare/6e65b561fdacfd018d499154638335f980478713...498a1256a85155927f26dfd70a55b6bd1fb98e98
8,Zip4j,d9817ffb812f49c680367aacf3443ab7eee98167,37a49d09056962a598cd854d2218e8b155893657,14,https://github.com/srikanth-lingala/zip4j/issues/14,https://github.com/srikanth-lingala/zip4j/tree/d9817ffb812f49c680367aacf3443ab7eee98167,https://github.com/srikanth-lingala/zip4j/tree/37a49d09056962a598cd854d2218e8b155893657,https://github.com/srikanth-lingala/zip4j/compare/d9817ffb812f49c680367aacf3443ab7eee98167...37a49d09056962a598cd854d2218e8b155893657
9,Zip4j,37a49d09056962a598cd854d2218e8b155893657,5e418a623cd316174e91835a5ea7e0c4b2a763ca,13,https://github.com/srikanth-lingala/zip4j/issues/13,https://github.com/srikanth-lingala/zip4j/tree/37a49d09056962a598cd854d2218e8b155893657,https://github.com/srikanth-lingala/zip4j/tree/5e418a623cd316174e91835a5ea7e0c4b2a763ca,https://github.com/srikanth-lingala/zip4j/compare/37a49d09056962a598cd854d2218e8b155893657...5e418a623cd316174e91835a5ea7e0c4b2a763ca
10,Zip4j,5e418a623cd316174e91835a5ea7e0c4b2a763ca,3c7b8000fefa1516c949bd1049d700e58e2dc46b,16,https://github.com/srikanth-lingala/zip4j/issues/16,https://github.com/srikanth-lingala/zip4j/tree/5e418a623cd316174e91835a5ea7e0c4b2a763ca,https://github.com/srikanth-lingala/zip4j/tree/3c7b8000fefa1516c949bd1049d700e58e2dc46b,https://github.com/srikanth-lingala/zip4j/compare/5e418a623cd316174e91835a5ea7e0c4b2a763ca...3c7b8000fefa1516c949bd1049d700e58e2dc46b
11,Zip4j,2cfcc4b0e375d2d92ab4a38b06bddcbb9a15ce11,e995f9d8b9012d579fb6bb3635ce551c83a57c62,17,https://github.com/srikanth-lingala/zip4j/issues/17,https://github.com/srikanth-lingala/zip4j/tree/2cfcc4b0e375d2d92ab4a38b06bddcbb9a15ce11,https://github.com/srikanth-lingala/zip4j/tree/e995f9d8b9012d579fb6bb3635ce551c83a57c62,https://github.com/srikanth-lingala/zip4j/compare/2cfcc4b0e375d2d92ab4a38b06bddcbb9a15ce11...e995f9d8b9012d579fb6bb3635ce551c83a57c62
12,Zip4j,e995f9d8b9012d579fb6bb3635ce551c83a57c62,668ab0327868d1ddccf344323459b8fb58a5ac4f,19,https://github.com/srikanth-lingala/zip4j/issues/19,https://github.com/srikanth-lingala/zip4j/tree/e995f9d8b9012d579fb6bb3635ce551c83a57c62,https://github.com/srikanth-lingala/zip4j/tree/668ab0327868d1ddccf344323459b8fb58a5ac4f,https://github.com/srikanth-lingala/zip4j/compare/e995f9d8b9012d579fb6bb3635ce551c83a57c62...668ab0327868d1ddccf344323459b8fb58a5ac4f
13,Zip4j,668ab0327868d1ddccf344323459b8fb58a5ac4f,36bac3df2e69af9cb1217658bb46defdaa4c1115,18,https://github.com/srikanth-lingala/zip4j/issues/18,https://github.com/srikanth-lingala/zip4j/tree/668ab0327868d1ddccf344323459b8fb58a5ac4f,https://github.com/srikanth-lingala/zip4j/tree/36bac3df2e69af9cb1217658bb46defdaa4c1115,https://github.com/srikanth-lingala/zip4j/compare/668ab0327868d1ddccf344323459b8fb58a5ac4f...36bac3df2e69af9cb1217658bb46defdaa4c1115
14,Zip4j,36bac3df2e69af9cb1217658bb46defdaa4c1115,c4bf27e28adea27b49b5eb11df7a59c9c9639619,20,https://github.com/srikanth-lingala/zip4j/issues/20,https://github.com/srikanth-lingala/zip4j/tree/36bac3df2e69af9cb1217658bb46defdaa4c1115,https://github.com/srikanth-lingala/zip4j/tree/c4bf27e28adea27b49b5eb11df7a59c9c9639619,https://github.com/srikanth-lingala/zip4j/compare/36bac3df2e69af9cb1217658bb46defdaa4c1115...c4bf27e28adea27b49b5eb11df7a59c9c9639619
