bug.id,project_id,revision.id.buggy,revision.id.fixed,report.id,report.url,buggy_commit_url,fixed_commit_url,compare_url
1,Zookeeper,2fe9f3757664cef42a7ba17f932a94aad6f02e9a,920bd81fef8128e6f1bb5c59b8a7e36b1211fd87,ZOOKEEPER-53,https://issues.apache.org/jira/browse/ZOOKEEPER-53,https://github.com/apache/zookeeper/tree/2fe9f3757664cef42a7ba17f932a94aad6f02e9a,https://github.com/apache/zookeeper/tree/920bd81fef8128e6f1bb5c59b8a7e36b1211fd87,https://github.com/apache/zookeeper/compare/2fe9f3757664cef42a7ba17f932a94aad6f02e9a...920bd81fef8128e6f1bb5c59b8a7e36b1211fd87
2,Zookeeper,33e143dd200dd67984d6a83fb58e0eebca4c3c97,0da7e6a3a699284df263484496fa16ca0f67e32a,ZOOKEEPER-68,https://issues.apache.org/jira/browse/ZOOKEEPER-68,https://github.com/apache/zookeeper/tree/33e143dd200dd67984d6a83fb58e0eebca4c3c97,https://github.com/apache/zookeeper/tree/0da7e6a3a699284df263484496fa16ca0f67e32a,https://github.com/apache/zookeeper/compare/33e143dd200dd67984d6a83fb58e0eebca4c3c97...0da7e6a3a699284df263484496fa16ca0f67e32a
3,Zookeeper,0da7e6a3a699284df263484496fa16ca0f67e32a,31d99a300ad9b0c66905333c7775321a58345ed6,ZOOKEEPER-75,https://issues.apache.org/jira/browse/ZOOKEEPER-75,https://github.com/apache/zookeeper/tree/0da7e6a3a699284df263484496fa16ca0f67e32a,https://github.com/apache/zookeeper/tree/31d99a300ad9b0c66905333c7775321a58345ed6,https://github.com/apache/zookeeper/compare/0da7e6a3a699284df263484496fa16ca0f67e32a...31d99a300ad9b0c66905333c7775321a58345ed6
4,Zookeeper,dcb4215e8a27f66f92a48c2d35e6e1ac454deccb,774bda809bf4c17941eacddccf6298d57f1737a9,ZOOKEEPER-105,https://issues.apache.org/jira/browse/ZOOKEEPER-105,https://github.com/apache/zookeeper/tree/dcb4215e8a27f66f92a48c2d35e6e1ac454deccb,https://github.com/apache/zookeeper/tree/774bda809bf4c17941eacddccf6298d57f1737a9,https://github.com/apache/zookeeper/compare/dcb4215e8a27f66f92a48c2d35e6e1ac454deccb...774bda809bf4c17941eacddccf6298d57f1737a9
5,Zookeeper,774bda809bf4c17941eacddccf6298d57f1737a9,3740b7c730e6e4ccccd78c35694689292bca4ddb,ZOOKEEPER-48,https://issues.apache.org/jira/browse/ZOOKEEPER-48,https://github.com/apache/zookeeper/tree/774bda809bf4c17941eacddccf6298d57f1737a9,https://github.com/apache/zookeeper/tree/3740b7c730e6e4ccccd78c35694689292bca4ddb,https://github.com/apache/zookeeper/compare/774bda809bf4c17941eacddccf6298d57f1737a9...3740b7c730e6e4ccccd78c35694689292bca4ddb
6,Zookeeper,dbd65f592ba1398b9b8ac371917cb2b9e65eaff2,8a22ee2a08d3d00a2085459c5f1941648a12ec98,ZOOKEEPER-108,https://issues.apache.org/jira/browse/ZOOKEEPER-108,https://github.com/apache/zookeeper/tree/dbd65f592ba1398b9b8ac371917cb2b9e65eaff2,https://github.com/apache/zookeeper/tree/8a22ee2a08d3d00a2085459c5f1941648a12ec98,https://github.com/apache/zookeeper/compare/dbd65f592ba1398b9b8ac371917cb2b9e65eaff2...8a22ee2a08d3d00a2085459c5f1941648a12ec98
7,Zookeeper,509ded419f592b49d0886bdc30a27fe5b8560a3a,4f99cd940ce2fa57ee12daafbd7968e2c925a05b,ZOOKEEPER-108,https://issues.apache.org/jira/browse/ZOOKEEPER-108,https://github.com/apache/zookeeper/tree/509ded419f592b49d0886bdc30a27fe5b8560a3a,https://github.com/apache/zookeeper/tree/4f99cd940ce2fa57ee12daafbd7968e2c925a05b,https://github.com/apache/zookeeper/compare/509ded419f592b49d0886bdc30a27fe5b8560a3a...4f99cd940ce2fa57ee12daafbd7968e2c925a05b
8,Zookeeper,ed70d2edcb78a7e30ae60170ea986fb85e862b4b,1ca4ea0540f3e313037d473b7cbdbcb45ea51f39,ZOOKEEPER-110,https://issues.apache.org/jira/browse/ZOOKEEPER-110,https://github.com/apache/zookeeper/tree/ed70d2edcb78a7e30ae60170ea986fb85e862b4b,https://github.com/apache/zookeeper/tree/1ca4ea0540f3e313037d473b7cbdbcb45ea51f39,https://github.com/apache/zookeeper/compare/ed70d2edcb78a7e30ae60170ea986fb85e862b4b...1ca4ea0540f3e313037d473b7cbdbcb45ea51f39
9,Zookeeper,435bc0ff5db851d341c373bc515f6a618691e6c4,a07a03d70b56ab26f4a790ef1e9941a06b478b84,ZOOKEEPER-122,https://issues.apache.org/jira/browse/ZOOKEEPER-122,https://github.com/apache/zookeeper/tree/435bc0ff5db851d341c373bc515f6a618691e6c4,https://github.com/apache/zookeeper/tree/a07a03d70b56ab26f4a790ef1e9941a06b478b84,https://github.com/apache/zookeeper/compare/435bc0ff5db851d341c373bc515f6a618691e6c4...a07a03d70b56ab26f4a790ef1e9941a06b478b84
10,Zookeeper,a07a03d70b56ab26f4a790ef1e9941a06b478b84,92c538d4d830d61fcaa4346c356e63d8f23bd2f3,ZOOKEEPER-123,https://issues.apache.org/jira/browse/ZOOKEEPER-123,https://github.com/apache/zookeeper/tree/a07a03d70b56ab26f4a790ef1e9941a06b478b84,https://github.com/apache/zookeeper/tree/92c538d4d830d61fcaa4346c356e63d8f23bd2f3,https://github.com/apache/zookeeper/compare/a07a03d70b56ab26f4a790ef1e9941a06b478b84...92c538d4d830d61fcaa4346c356e63d8f23bd2f3
11,Zookeeper,92c538d4d830d61fcaa4346c356e63d8f23bd2f3,3a6a4ba7fc538f066d7b691777320fb9b92a5f93,ZOOKEEPER-2,https://issues.apache.org/jira/browse/ZOOKEEPER-2,https://github.com/apache/zookeeper/tree/92c538d4d830d61fcaa4346c356e63d8f23bd2f3,https://github.com/apache/zookeeper/tree/3a6a4ba7fc538f066d7b691777320fb9b92a5f93,https://github.com/apache/zookeeper/compare/92c538d4d830d61fcaa4346c356e63d8f23bd2f3...3a6a4ba7fc538f066d7b691777320fb9b92a5f93
12,Zookeeper,b7ebe2b67b6b29df0bbce88e3b49f831b2973c43,e3e0db789177a2e77882545dbdd9eed9a23eb392,ZOOKEEPER-63,https://issues.apache.org/jira/browse/ZOOKEEPER-63,https://github.com/apache/zookeeper/tree/b7ebe2b67b6b29df0bbce88e3b49f831b2973c43,https://github.com/apache/zookeeper/tree/e3e0db789177a2e77882545dbdd9eed9a23eb392,https://github.com/apache/zookeeper/compare/b7ebe2b67b6b29df0bbce88e3b49f831b2973c43...e3e0db789177a2e77882545dbdd9eed9a23eb392
13,Zookeeper,4cdb4305ad4acd8189b4f771b30f05d4cf68703e,d80631f8e7bd447e684998fd59d19ef92b1f2b80,ZOOKEEPER-133,https://issues.apache.org/jira/browse/ZOOKEEPER-133,https://github.com/apache/zookeeper/tree/4cdb4305ad4acd8189b4f771b30f05d4cf68703e,https://github.com/apache/zookeeper/tree/d80631f8e7bd447e684998fd59d19ef92b1f2b80,https://github.com/apache/zookeeper/compare/4cdb4305ad4acd8189b4f771b30f05d4cf68703e...d80631f8e7bd447e684998fd59d19ef92b1f2b80
14,Zookeeper,ada5b36e3683aadd061a9e3578c9b693f0b050ab,a6078d424766ba7ca60821ae802f3acb9e2c7758,ZOOKEEPER-112,https://issues.apache.org/jira/browse/ZOOKEEPER-112,https://github.com/apache/zookeeper/tree/ada5b36e3683aadd061a9e3578c9b693f0b050ab,https://github.com/apache/zookeeper/tree/a6078d424766ba7ca60821ae802f3acb9e2c7758,https://github.com/apache/zookeeper/compare/ada5b36e3683aadd061a9e3578c9b693f0b050ab...a6078d424766ba7ca60821ae802f3acb9e2c7758
15,Zookeeper,853eb9d897af76fcaf221270776614f171abb699,1ff83d62d0464a0c21a711b2cadd549119c716ab,ZOOKEEPER-118,https://issues.apache.org/jira/browse/ZOOKEEPER-118,https://github.com/apache/zookeeper/tree/853eb9d897af76fcaf221270776614f171abb699,https://github.com/apache/zookeeper/tree/1ff83d62d0464a0c21a711b2cadd549119c716ab,https://github.com/apache/zookeeper/compare/853eb9d897af76fcaf221270776614f171abb699...1ff83d62d0464a0c21a711b2cadd549119c716ab
16,Zookeeper,217107e26bef95aeb8f669013e03191406b9c7ee,3553137b9a7e8d804fdb378be23196a74afaf731,ZOOKEEPER-131,https://issues.apache.org/jira/browse/ZOOKEEPER-131,https://github.com/apache/zookeeper/tree/217107e26bef95aeb8f669013e03191406b9c7ee,https://github.com/apache/zookeeper/tree/3553137b9a7e8d804fdb378be23196a74afaf731,https://github.com/apache/zookeeper/compare/217107e26bef95aeb8f669013e03191406b9c7ee...3553137b9a7e8d804fdb378be23196a74afaf731
17,Zookeeper,3553137b9a7e8d804fdb378be23196a74afaf731,d1fa7aa702b4c9474ecbed78da9f8ca0638b6d04,ZOOKEEPER-137,https://issues.apache.org/jira/browse/ZOOKEEPER-137,https://github.com/apache/zookeeper/tree/3553137b9a7e8d804fdb378be23196a74afaf731,https://github.com/apache/zookeeper/tree/d1fa7aa702b4c9474ecbed78da9f8ca0638b6d04,https://github.com/apache/zookeeper/compare/3553137b9a7e8d804fdb378be23196a74afaf731...d1fa7aa702b4c9474ecbed78da9f8ca0638b6d04
18,Zookeeper,d1fa7aa702b4c9474ecbed78da9f8ca0638b6d04,ad90e3700bd147bcec1691e51d40a09b43a82f8a,ZOOKEEPER-137,https://issues.apache.org/jira/browse/ZOOKEEPER-137,https://github.com/apache/zookeeper/tree/d1fa7aa702b4c9474ecbed78da9f8ca0638b6d04,https://github.com/apache/zookeeper/tree/ad90e3700bd147bcec1691e51d40a09b43a82f8a,https://github.com/apache/zookeeper/compare/d1fa7aa702b4c9474ecbed78da9f8ca0638b6d04...ad90e3700bd147bcec1691e51d40a09b43a82f8a
19,Zookeeper,ad90e3700bd147bcec1691e51d40a09b43a82f8a,d284d6fdae9c826bea44414a4f8f7b811eb0657f,ZOOKEEPER-117,https://issues.apache.org/jira/browse/ZOOKEEPER-117,https://github.com/apache/zookeeper/tree/ad90e3700bd147bcec1691e51d40a09b43a82f8a,https://github.com/apache/zookeeper/tree/d284d6fdae9c826bea44414a4f8f7b811eb0657f,https://github.com/apache/zookeeper/compare/ad90e3700bd147bcec1691e51d40a09b43a82f8a...d284d6fdae9c826bea44414a4f8f7b811eb0657f
20,Zookeeper,4bf4f51660154b8a02cd703acbf392b137387428,ad482ad24cc864686f268b71896606091d92a00f,ZOOKEEPER-21,https://issues.apache.org/jira/browse/ZOOKEEPER-21,https://github.com/apache/zookeeper/tree/4bf4f51660154b8a02cd703acbf392b137387428,https://github.com/apache/zookeeper/tree/ad482ad24cc864686f268b71896606091d92a00f,https://github.com/apache/zookeeper/compare/4bf4f51660154b8a02cd703acbf392b137387428...ad482ad24cc864686f268b71896606091d92a00f
21,Zookeeper,ad482ad24cc864686f268b71896606091d92a00f,c92694d86f381164dc73251af3060d48ef03ec16,ZOOKEEPER-6,https://issues.apache.org/jira/browse/ZOOKEEPER-6,https://github.com/apache/zookeeper/tree/ad482ad24cc864686f268b71896606091d92a00f,https://github.com/apache/zookeeper/tree/c92694d86f381164dc73251af3060d48ef03ec16,https://github.com/apache/zookeeper/compare/ad482ad24cc864686f268b71896606091d92a00f...c92694d86f381164dc73251af3060d48ef03ec16
22,Zookeeper,0254f868ca34105308ac3524c73111d8d770091e,0c6294e6cab2befc330b8a5c05ceeb156550c2fe,ZOOKEEPER-127,https://issues.apache.org/jira/browse/ZOOKEEPER-127,https://github.com/apache/zookeeper/tree/0254f868ca34105308ac3524c73111d8d770091e,https://github.com/apache/zookeeper/tree/0c6294e6cab2befc330b8a5c05ceeb156550c2fe,https://github.com/apache/zookeeper/compare/0254f868ca34105308ac3524c73111d8d770091e...0c6294e6cab2befc330b8a5c05ceeb156550c2fe
23,Zookeeper,0c6294e6cab2befc330b8a5c05ceeb156550c2fe,67c4e4533d0762ebb4cb77976df12304705fecb1,ZOOKEEPER-150,https://issues.apache.org/jira/browse/ZOOKEEPER-150,https://github.com/apache/zookeeper/tree/0c6294e6cab2befc330b8a5c05ceeb156550c2fe,https://github.com/apache/zookeeper/tree/67c4e4533d0762ebb4cb77976df12304705fecb1,https://github.com/apache/zookeeper/compare/0c6294e6cab2befc330b8a5c05ceeb156550c2fe...67c4e4533d0762ebb4cb77976df12304705fecb1
24,Zookeeper,e148a40f5fc5bbd3fcb71d1e72db9a2f5c49d441,ea54ef0825c6670cc6714e749d391f477420b118,ZOOKEEPER-136,https://issues.apache.org/jira/browse/ZOOKEEPER-136,https://github.com/apache/zookeeper/tree/e148a40f5fc5bbd3fcb71d1e72db9a2f5c49d441,https://github.com/apache/zookeeper/tree/ea54ef0825c6670cc6714e749d391f477420b118,https://github.com/apache/zookeeper/compare/e148a40f5fc5bbd3fcb71d1e72db9a2f5c49d441...ea54ef0825c6670cc6714e749d391f477420b118
25,Zookeeper,ea54ef0825c6670cc6714e749d391f477420b118,4983f6dc5fd04081d5320f8a9db3b65498bf8c2a,ZOOKEEPER-154,https://issues.apache.org/jira/browse/ZOOKEEPER-154,https://github.com/apache/zookeeper/tree/ea54ef0825c6670cc6714e749d391f477420b118,https://github.com/apache/zookeeper/tree/4983f6dc5fd04081d5320f8a9db3b65498bf8c2a,https://github.com/apache/zookeeper/compare/ea54ef0825c6670cc6714e749d391f477420b118...4983f6dc5fd04081d5320f8a9db3b65498bf8c2a
